Time_Step,BESS_Power_x1_kW
0,76.36805673758926
1,33.63005673758928
2,-65.45794326241071
3,-106.26594326241073
4,-145.64194326241076
5,-147.8219432624108
6,-157.55594326241086
7,-162.33194326241085
8,-164.65394326241076
9,-168.30394326241085
10,-129.0319432624109
11,-111.10594326241068
12,-113.50794326241076
13,-105.21194326241088
14,192.00002836879463
15,52.07402836879449
16,-37.62997163120554
17,-122.29797163120551
18,-325.3299716312056
19,-493.5799716312056
20,-606.8179716312055
21,-761.1179716312055
22,-900.8039716312055
23,-902.0119716312055
24,-923.2739716312057
25,-946.2119716312055
26,-983.2239716312055
27,-1019.1039716312056
28,-639.9727943262411
29,-551.0187943262412
30,-342.48679432624107
31,-133.67279432624102
32,1.4792056737588077
33,206.87920567375878
34,485.6592056737589
35,868.7652056737587
36,1081.0632056737588
37,1212.397205673759
38,1205.145205673759
39,1215.1332056737588
40,893.0480283687945
41,904.9280283687946
42,858.1300283687946
43,903.5840283687943
44,464.71405673758875
45,327.14205673758886
46,190.10205673758884
47,93.20405673758874
48,-486.7349268292681
49,-559.6169268292683
50,-643.1869268292681
51,-684.3369268292681
52,-658.5049268292681
53,-685.6549268292682
54,-669.0909268292684
55,-676.1729268292681
56,-672.9369268292681
57,-684.3689268292682
58,-684.4549268292681
59,-656.8489268292681
60,-648.4409268292683
61,-646.6909268292684
62,-108.80146341463404
63,-193.65746341463424
64,-241.89546341463418
65,-366.23946341463414
66,-522.8814634146341
67,-611.7954634146341
68,-440.82946341463406
69,-429.6694634146342
70,-353.7954634146342
71,-398.68146341463415
72,-280.5814634146343
73,-164.49146341463435
74,-129.63946341463438
75,-1.5540303320012306e-12
76,523.9839166666667
77,760.9999166666665
78,896.2019166666665
79,1011.8459166666668
80,1215.2939166666665
81,1597.141916666667
82,1918.4919166666668
83,2266.5939166666667
84,2548.579916666667
85,2620.139916666667
86,2755.0379166666667
87,2806.1319166666667
88,903.825583333334
89,844.2715833333338
90,632.8235833333335
91,513.6515833333334
92,-2207.474833333333
93,-2468.0928333333327
94,-2847.0268333333333
95,-2992.420833333333
96,524.4056737588652
97,474.3536737588653
98,364.2096737588653
99,252.67567375886514
100,250.46967375886535
101,236.37967375886512
102,161.4296737588653
103,86.71767375886527
104,40.937673758864996
105,6.843673758865169
106,-44.65032624113497
107,-125.00232624113482
108,-200.61032624113489
109,-191.25232624113497
110,195.3868368794326
111,4.412836879432531
112,-73.3171631205675
113,-160.66916312056756
114,-295.73316312056755
115,-432.7051631205674
116,-487.3511631205675
117,-597.4831631205676
118,-665.0151631205674
119,-666.5331631205677
120,-712.6491631205676
121,-800.3391631205676
122,-859.6531631205676
123,-697.2251631205676
124,-351.2274326241135
125,-339.68943262411346
126,-234.24943262411355
127,-24.025432624113513
128,47.43856737588656
129,154.62456737588647
130,290.3205673758864
131,546.9585673758866
132,804.1705673758864
133,871.1625673758865
134,838.5705673758865
135,814.1365673758864
136,461.8868368794324
137,466.20283687943237
138,439.7348368794324
139,372.02083687943235
140,-111.82432624113514
141,-141.99232624113532
142,-218.02832624113518
143,-274.2243262411352
144,-170.2609929078012
145,-209.2829929078012
146,-283.40499290780105
147,-302.3949929078012
148,-292.35099290780124
149,-335.0249929078014
150,-330.20699290780135
151,-349.8529929078013
152,-348.2229929078013
153,-373.3249929078013
154,-320.51699290780124
155,-298.51699290780135
156,-237.8209929078013
157,-220.55699290780137
158,204.77950354609933
159,126.19750354609928
160,60.151503546099185
161,20.339503546099216
162,20.059503546099236
163,-79.16449645390071
164,-214.18249645390077
165,-178.74049645390082
166,-247.48449645390073
167,-279.15049645390076
168,-385.5344964539007
169,-351.3144964539007
170,-302.5484964539007
171,-285.0244964539008
172,-32.644099290780105
173,-49.97209929078019
174,-55.652099290780136
175,-0.7280992907801557
176,34.75190070921986
177,114.29390070921988
178,342.0779007092198
179,569.0139007092199
180,657.5159007092199
181,707.5739007092199
182,784.2939007092198
183,837.4199007092197
184,575.7675035460992
185,571.5175035460992
186,544.6135035460992
187,468.9155035460992
188,56.00300709219844
189,34.26900709219823
190,-64.51499290780171
191,-131.15899290780163
