Time_Step,BESS_Power_x1_kW
0,89.13888888888894
1,89.13888888888896
2,89.13888888888894
3,89.13888888888894
4,89.13888888888894
5,89.13888888888897
6,89.1388888888889
7,89.13888888888891
8,89.13888888888896
9,89.13888888888894
10,89.13888888888894
11,89.13888888888896
12,1419.138888888889
13,1234.4166666666667
14,1226.9166666666665
15,1042.1944444444443
16,-472.52777777777777
17,-657.2500000000001
18,-841.9722222222222
19,-1026.6944444444446
20,-1211.4166666666667
21,-1396.138888888889
22,-1580.8611111111113
23,-1765.5833333333337
24,-1950.3055555555554
25,-1765.5833333333328
26,-1580.8611111111113
27,-1396.138888888889
28,-1069.6388888888887
29,-884.9166666666666
30,-700.1944444444445
31,-515.4722222222221
32,-330.74999999999994
33,-146.02777777777774
34,1358.7449494949497
35,1543.467171717172
36,1728.189393939394
37,1728.189393939394
38,1728.189393939394
39,1728.189393939394
40,1546.6136363636365
41,1546.6136363636365
42,216.61363636363652
43,216.61363636363652
44,-10.35606060606023
45,-10.356060606060195
46,-10.356060606060222
47,-10.356060606060193
48,89.13888888888894
49,89.13888888888896
50,89.13888888888894
51,89.13888888888894
52,89.13888888888894
53,89.13888888888897
54,89.1388888888889
55,89.13888888888891
56,89.13888888888896
57,89.13888888888894
58,89.13888888888894
59,89.13888888888896
60,1419.138888888889
61,1234.4166666666667
62,1226.9166666666665
63,1042.1944444444443
64,-472.52777777777777
65,-657.2500000000001
66,-841.9722222222222
67,-1026.6944444444446
68,-1211.4166666666667
69,-1396.138888888889
70,-1580.8611111111113
71,-1765.5833333333337
72,-1950.3055555555554
73,-1765.5833333333328
74,-1580.8611111111113
75,-1396.138888888889
76,-1069.6388888888887
77,-884.9166666666666
78,-700.1944444444445
79,-515.4722222222221
80,-330.74999999999994
81,-146.02777777777774
82,1358.7449494949497
83,1543.467171717172
84,1728.189393939394
85,1728.189393939394
86,1728.189393939394
87,1728.189393939394
88,1546.6136363636365
89,1546.6136363636365
90,216.61363636363652
91,216.61363636363652
92,-10.35606060606023
93,-10.356060606060195
94,-10.356060606060222
95,-10.356060606060193
96,89.13888888888894
97,89.13888888888896
98,89.13888888888894
99,89.13888888888894
100,89.13888888888894
101,89.13888888888897
102,89.1388888888889
103,89.13888888888891
104,89.13888888888896
105,89.13888888888894
106,89.13888888888894
107,89.13888888888896
108,1419.138888888889
109,1234.4166666666667
110,1226.9166666666665
111,1042.1944444444443
112,-472.52777777777777
113,-657.2500000000001
114,-841.9722222222222
115,-1026.6944444444446
116,-1211.4166666666667
117,-1396.138888888889
118,-1580.8611111111113
119,-1765.5833333333337
120,-1950.3055555555554
121,-1765.5833333333328
122,-1580.8611111111113
123,-1396.138888888889
124,-1069.6388888888887
125,-884.9166666666666
126,-700.1944444444445
127,-515.4722222222221
128,-330.74999999999994
129,-146.02777777777774
130,1358.7449494949497
131,1543.467171717172
132,1728.189393939394
133,1728.189393939394
134,1728.189393939394
135,1728.189393939394
136,1546.6136363636365
137,1546.6136363636365
138,216.61363636363652
139,216.61363636363652
140,-10.35606060606023
141,-10.356060606060195
142,-10.356060606060222
143,-10.356060606060193
144,89.13888888888894
145,89.13888888888896
146,89.13888888888894
147,89.13888888888894
148,89.13888888888894
149,89.13888888888897
150,89.1388888888889
151,89.13888888888891
152,89.13888888888896
153,89.13888888888894
154,89.13888888888894
155,89.13888888888896
156,1419.138888888889
157,1234.4166666666667
158,1226.9166666666665
159,1042.1944444444443
160,-472.52777777777777
161,-657.2500000000001
162,-841.9722222222222
163,-1026.6944444444446
164,-1211.4166666666667
165,-1396.138888888889
166,-1580.8611111111113
167,-1765.5833333333337
168,-1950.3055555555554
169,-1765.5833333333328
170,-1580.8611111111113
171,-1396.138888888889
172,-1069.6388888888887
173,-884.9166666666666
174,-700.1944444444445
175,-515.4722222222221
176,-330.74999999999994
177,-146.02777777777774
178,1358.7449494949497
179,1543.467171717172
180,1728.189393939394
181,1728.189393939394
182,1728.189393939394
183,1728.189393939394
184,1546.6136363636365
185,1546.6136363636365
186,216.61363636363652
187,216.61363636363652
188,-10.35606060606023
189,-10.356060606060195
190,-10.356060606060222
191,-10.356060606060193
