Time_Step,BESS_Power_x1_kW
0,76.3680567375892
1,33.6300567375893
2,-65.45794326241067
3,-106.26594326241059
4,-145.64194326241068
5,-147.82194326241068
6,-157.55594326241078
7,-162.33194326241073
8,-164.65394326241054
9,-168.3039432624108
10,-129.03194326241083
11,-111.10594326241068
12,-113.50794326241073
13,-105.21194326241078
14,192.0000283687947
15,52.07402836879455
16,-37.62997163120554
17,-122.29797163120548
18,-325.3299716312055
19,-493.5799716312055
20,-606.8179716312054
21,-761.1179716312054
22,-900.8039716312055
23,-902.0119716312055
24,-923.2739716312057
25,-946.2119716312055
26,-983.2239716312055
27,-1019.1039716312055
28,-639.9727943262411
29,-551.0187943262412
30,-342.48679432624107
31,-133.672794326241
32,1.4792056737588155
33,206.87920567375878
34,485.6592056737589
35,868.7652056737587
36,1081.0632056737588
37,1212.397205673759
38,1205.145205673759
39,1215.1332056737588
40,893.0480283687946
41,904.9280283687946
42,858.1300283687947
43,903.5840283687943
44,464.7140567375888
45,327.1420567375889
46,190.10205673758898
47,93.20405673758893
48,-486.7349268292685
49,-559.6169268292683
50,-643.1869268292686
51,-684.3369268292682
52,-658.5049268292682
53,-685.6549268292682
54,-669.0909268292683
55,-676.1729268292681
56,-672.9369268292684
57,-684.3689268292684
58,-684.4549268292683
59,-656.8489268292683
60,-648.4409268292684
61,-646.6909268292686
62,-108.80146341463421
63,-193.65746341463432
64,-241.89546341463426
65,-366.2394634146343
66,-522.8814634146341
67,-611.7954634146342
68,-440.829463414634
69,-429.6694634146342
70,-353.7954634146341
71,-398.68146341463415
72,-280.58146341463424
73,-164.49146341463432
74,-129.63946341463446
75,-1.3317419159273975e-12
76,523.9839166666667
77,760.9999166666665
78,896.2019166666665
79,1011.8459166666668
80,1215.2939166666663
81,1597.1419166666667
82,1918.4919166666666
83,2266.5939166666667
84,2548.579916666667
85,2620.139916666667
86,2755.0379166666667
87,2806.1319166666667
88,903.8255833333335
89,844.2715833333336
90,632.8235833333333
91,513.6515833333332
92,-2207.4748333333337
93,-2468.0928333333322
94,-2847.0268333333333
95,-2992.420833333334
96,524.4056737588651
97,474.35367375886517
98,364.20967375886516
99,252.67567375886517
100,250.46967375886518
101,236.37967375886507
102,161.42967375886525
103,86.71767375886535
104,40.937673758864975
105,6.843673758865093
106,-44.65032624113493
107,-125.00232624113492
108,-200.61032624113486
109,-191.25232624113502
110,195.38683687943254
111,4.412836879432549
112,-73.31716312056754
113,-160.66916312056756
114,-295.7331631205676
115,-432.7051631205674
116,-487.35116312056755
117,-597.4831631205676
118,-665.0151631205675
119,-666.5331631205677
120,-712.6491631205676
121,-800.3391631205676
122,-859.6531631205676
123,-697.2251631205676
124,-351.22743262411353
125,-339.6894326241135
126,-234.24943262411355
127,-24.025432624113517
128,47.43856737588654
129,154.62456737588647
130,290.3205673758864
131,546.9585673758866
132,804.1705673758864
133,871.1625673758865
134,838.5705673758865
135,814.1365673758864
136,461.88683687943234
137,466.2028368794323
138,439.73483687943235
139,372.02083687943235
140,-111.82432624113525
141,-141.9923262411353
142,-218.02832624113512
143,-274.22432624113515
144,-170.26099290780124
145,-209.28299290780132
146,-283.40499290780116
147,-302.3949929078014
148,-292.3509929078013
149,-335.0249929078013
150,-330.20699290780124
151,-349.8529929078014
152,-348.2229929078014
153,-373.32499290780146
154,-320.5169929078013
155,-298.51699290780135
156,-237.8209929078014
157,-220.55699290780143
158,204.77950354609928
159,126.19750354609926
160,60.151503546099235
161,20.339503546099223
162,20.05950354609924
163,-79.16449645390072
164,-214.18249645390077
165,-178.74049645390085
166,-247.48449645390076
167,-279.1504964539007
168,-385.5344964539008
169,-351.31449645390074
170,-302.5484964539008
171,-285.0244964539008
172,-32.6440992907801
173,-49.97209929078019
174,-55.65209929078014
175,-0.7280992907801661
176,34.75190070921985
177,114.29390070921988
178,342.0779007092198
179,569.0139007092199
180,657.5159007092199
181,707.5739007092199
182,784.2939007092198
183,837.4199007092197
184,575.7675035460992
185,571.5175035460992
186,544.6135035460992
187,468.91550354609916
188,56.00300709219833
189,34.26900709219823
190,-64.51499290780174
191,-131.1589929078017
192,-182.0696603773587
193,-198.95166037735876
194,-260.11166037735893
195,-290.34366037735884
196,-312.001660377359
197,-322.8616603773588
198,-299.9616603773589
199,-328.7816603773589
200,-342.5996603773589
201,-343.8516603773589
202,-302.5516603773588
203,-293.6096603773588
204,-262.9476603773587
205,-253.16966037735887
206,95.30416981132058
207,12.782169811320514
208,-190.3018301886795
209,-340.5978301886795
210,-503.32983018867947
211,-708.3338301886796
212,-911.7638301886793
213,-1013.7558301886794
214,-988.1658301886794
215,-971.9518301886795
216,-805.1078301886794
217,-881.5878301886794
218,-876.4338301886794
219,-836.1538301886796
220,-273.391566037736
221,-113.39756603773586
222,39.31219999999997
223,89.49020000000009
224,158.09019999999998
225,521.3661999999999
226,826.7402000000001
227,1088.2841999999998
228,1395.2881999999997
229,1623.4622
230,1782.7522
231,1791.4322
232,1168.317
233,1209.155
234,1086.3129999999999
235,944.0030000000002
236,31.793999999999777
237,-49.24000000000024
238,-109.84400000000028
239,-296.71600000000035
