Time_Step,BESS_Power_x1_kW
0,89.13888888888906
1,89.13888888888908
2,89.13888888888907
3,89.13888888888903
4,89.13888888888906
5,89.13888888888903
6,89.13888888888908
7,89.13888888888904
8,89.1388888888891
9,89.13888888888908
10,89.13888888888911
11,89.13888888888906
12,1419.138888888889
13,1234.4166666666667
14,1226.9166666666665
15,1042.1944444444443
16,-472.52777777777777
17,-657.25
18,-841.9722222222222
19,-1026.6944444444446
20,-1211.4166666666667
21,-1396.138888888889
22,-1580.8611111111113
23,-1765.5833333333337
24,-1950.3055555555554
25,-1765.5833333333328
26,-1580.8611111111113
27,-1396.138888888889
28,-1069.6388888888887
29,-884.9166666666666
30,-700.1944444444445
31,-515.4722222222221
32,-330.7499999999999
33,-146.02777777777774
34,1358.7449494949497
35,1543.467171717172
36,1728.189393939394
37,1728.189393939394
38,1728.189393939394
39,1728.189393939394
40,1546.6136363636365
41,1546.6136363636365
42,216.6136363636365
43,216.6136363636365
44,-10.356060606060323
45,-10.356060606060321
46,-10.3560606060603
47,-10.35606060606034
48,89.13888888888906
49,89.13888888888908
50,89.13888888888907
51,89.13888888888903
52,89.13888888888906
53,89.13888888888903
54,89.13888888888908
55,89.13888888888904
56,89.1388888888891
57,89.13888888888908
58,89.13888888888911
59,89.13888888888906
60,1419.138888888889
61,1234.4166666666667
62,1226.9166666666665
63,1042.1944444444443
64,-472.52777777777777
65,-657.25
66,-841.9722222222222
67,-1026.6944444444446
68,-1211.4166666666667
69,-1396.138888888889
70,-1580.8611111111113
71,-1765.5833333333337
72,-1950.3055555555554
73,-1765.5833333333328
74,-1580.8611111111113
75,-1396.138888888889
76,-1069.6388888888887
77,-884.9166666666666
78,-700.1944444444445
79,-515.4722222222221
80,-330.7499999999999
81,-146.02777777777774
82,1358.7449494949497
83,1543.467171717172
84,1728.189393939394
85,1728.189393939394
86,1728.189393939394
87,1728.189393939394
88,1546.6136363636365
89,1546.6136363636365
90,216.6136363636365
91,216.6136363636365
92,-10.356060606060323
93,-10.356060606060321
94,-10.3560606060603
95,-10.35606060606034
96,89.13888888888906
97,89.13888888888908
98,89.13888888888907
99,89.13888888888903
100,89.13888888888906
101,89.13888888888903
102,89.13888888888908
103,89.13888888888904
104,89.1388888888891
105,89.13888888888908
106,89.13888888888911
107,89.13888888888906
108,1419.138888888889
109,1234.4166666666667
110,1226.9166666666665
111,1042.1944444444443
112,-472.52777777777777
113,-657.25
114,-841.9722222222222
115,-1026.6944444444446
116,-1211.4166666666667
117,-1396.138888888889
118,-1580.8611111111113
119,-1765.5833333333337
120,-1950.3055555555554
121,-1765.5833333333328
122,-1580.8611111111113
123,-1396.138888888889
124,-1069.6388888888887
125,-884.9166666666666
126,-700.1944444444445
127,-515.4722222222221
128,-330.7499999999999
129,-146.02777777777774
130,1358.7449494949497
131,1543.467171717172
132,1728.189393939394
133,1728.189393939394
134,1728.189393939394
135,1728.189393939394
136,1546.6136363636365
137,1546.6136363636365
138,216.6136363636365
139,216.6136363636365
140,-10.356060606060323
141,-10.356060606060321
142,-10.3560606060603
143,-10.35606060606034
144,89.13888888888906
145,89.13888888888908
146,89.13888888888907
147,89.13888888888903
148,89.13888888888906
149,89.13888888888903
150,89.13888888888908
151,89.13888888888904
152,89.1388888888891
153,89.13888888888908
154,89.13888888888911
155,89.13888888888906
156,1419.138888888889
157,1234.4166666666667
158,1226.9166666666665
159,1042.1944444444443
160,-472.52777777777777
161,-657.25
162,-841.9722222222222
163,-1026.6944444444446
164,-1211.4166666666667
165,-1396.138888888889
166,-1580.8611111111113
167,-1765.5833333333337
168,-1950.3055555555554
169,-1765.5833333333328
170,-1580.8611111111113
171,-1396.138888888889
172,-1069.6388888888887
173,-884.9166666666666
174,-700.1944444444445
175,-515.4722222222221
176,-330.7499999999999
177,-146.02777777777774
178,1358.7449494949497
179,1543.467171717172
180,1728.189393939394
181,1728.189393939394
182,1728.189393939394
183,1728.189393939394
184,1546.6136363636365
185,1546.6136363636365
186,216.6136363636365
187,216.6136363636365
188,-10.356060606060323
189,-10.356060606060321
190,-10.3560606060603
191,-10.35606060606034
192,89.13888888888906
193,89.13888888888908
194,89.13888888888907
195,89.13888888888903
196,89.13888888888906
197,89.13888888888903
198,89.13888888888908
199,89.13888888888904
200,89.1388888888891
201,89.13888888888908
202,89.13888888888911
203,89.13888888888906
204,1419.138888888889
205,1234.4166666666667
206,1226.9166666666665
207,1042.1944444444443
208,-472.52777777777777
209,-657.25
210,-841.9722222222222
211,-1026.6944444444446
212,-1211.4166666666667
213,-1396.138888888889
214,-1580.8611111111113
215,-1765.5833333333337
216,-1950.3055555555554
217,-1765.5833333333328
218,-1580.8611111111113
219,-1396.138888888889
220,-1069.6388888888887
221,-884.9166666666666
222,-700.1944444444445
223,-515.4722222222221
224,-330.7499999999999
225,-146.02777777777774
226,1358.7449494949497
227,1543.467171717172
228,1728.189393939394
229,1728.189393939394
230,1728.189393939394
231,1728.189393939394
232,1546.6136363636365
233,1546.6136363636365
234,216.6136363636365
235,216.6136363636365
236,-10.356060606060323
237,-10.356060606060321
238,-10.3560606060603
239,-10.35606060606034
