Date,N_Customers,Profile,,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
7-Jan-13,1330,GC_Load_kW,,770.334,727.572,628.524,587.784,548.304,546.074,536.482,531.554,529.484,525.65,564.876,582.84,585.75,638.194,665.806,636.794,676.108,729.828,680.404,682.818,710.68,757.052,721.462,763.036,817.948,850.872,832.132,867.434,966.92,1001.206,1117.768,1215.124,1177.174,1190.878,1282.982,1461.024,1475.752,1447.248,1341.372,1296.616,1239.91,1251.986,1205.092,1250.378,1158.618,1021.238,884.048,787.258
7-Jan-13,1330,PV_Generation_kW,,0.128,0.104,0.144,0.212,0.108,0.058,0.2,0.048,0.3,0.116,0.07,0.108,5.42,49.568,127.012,237.926,366.944,505.332,658.94,829.604,970.704,1171.376,1275.472,1318.254,1394.428,1450.29,1468.562,1539.744,1537.734,1483.066,1391.096,1279.638,1106.536,914.84,728.164,523.1,325.53,165.692,67.068,12.324,0.068,0.264,0.168,0,0.066,0.258,0.108,0.216
8-Jan-13,1330,GC_Load_kW,,757.586,684.528,601.122,559.964,585.936,558.69,575.054,568.032,571.316,560.216,559.922,587.524,604.91,661.894,689.118,743.098,823.554,851.35,888.854,993.1,1218.084,1283.24,1446.28,1578.538,1841.69,1973.82,2069.084,2252.562,2376.652,2483.374,2550.682,2615.23,2676.102,2840.86,2979.258,3124.774,3289.958,3254.864,3290.296,3289.316,3251.492,3191.914,2980.566,2861.296,2487.95,2227.222,1848.324,1702.788
8-Jan-13,1330,PV_Generation_kW,,0.176,0,0.164,0.156,0.296,0.2,0,0.06,0.108,0.44,0.232,0.228,9.206,64.44,175.972,314.808,443.502,595.642,789.788,982.948,1036.966,1090.962,1178.128,1355.272,1500.324,1516.364,1576.776,1550.002,1383.374,1253.08,1185.186,1134.09,991.514,774.424,591.472,388.886,272.084,165.43,65.964,13.89,0.196,0.172,0.272,0.174,0.234,0.124,0.16,0.018
9-Jan-13,1330,GC_Load_kW,,1505.618,1455.584,1345.458,1233.96,1231.682,1217.866,1142.642,1068.226,1022.156,988.068,936.502,856.426,786.948,849.116,827.288,751.676,774.422,815.3,812.048,766.926,798.404,797.428,796.616,819.762,854.308,826.406,788.852,778.816,757.296,789.612,808.372,833.384,795.028,858.284,879.684,936.972,1028.216,1019.526,949.052,912.414,952.766,956.926,930.438,862.72,869.446,839.256,763.136,707.032
9-Jan-13,1330,PV_Generation_kW,,0.108,0.126,0.144,0.18,0.108,0.382,0.108,0.404,0.114,0.12,0.048,0.324,6.454,59.264,141.474,256.836,357.312,485.542,617.354,709.204,795.328,904.484,971.204,995.868,1076.53,1136.318,1158.078,985.614,1010.638,1031.416,944.736,759.524,649.704,605.774,491.478,292.128,126.16,50.478,12.596,0.392,0.452,0.296,0.276,0.272,0.166,0.144,0.06,0.152
10-Jan-13,1330,GC_Load_kW,,656.018,617.168,542.986,524.002,533.98,491.246,496.276,476.466,478.144,453.054,505.97,527.978,588.81,617.064,664.798,644.312,668.77,712.992,739.104,717.306,705.586,749.262,703.894,730.812,717.972,716.234,705.898,707.158,675.83,696.904,667.316,652.348,677.366,715.024,806.808,912.658,926.796,920.146,931.584,931.146,988.884,984.83,957.894,882.052,882.546,860.55,761.804,695.12
10-Jan-13,1330,PV_Generation_kW,,0.068,0.24,0.18,0.186,0.12,0.06,0.272,0.108,0.156,0.168,0.276,0.284,0.42,11.41,47.038,105.134,195.638,279.672,306.064,383.49,506.788,515.022,538.398,596.982,690.526,654.568,595.466,579.202,626.078,664.48,640.572,570.68,560.218,518.334,382.334,261.248,186.884,130.176,64.894,11.33,0.136,0.332,0.3,0.156,0.332,0.07,0.108,0.068
11-Jan-13,1330,GC_Load_kW,,629.392,612.534,551.462,521.032,499.568,488.504,511.488,482.736,468.922,467.622,508.934,517.744,550.676,587.486,610.37,666.526,657.222,731.04,785.292,765.574,738.922,778.774,923.732,1023.496,1128.824,1148.574,1191.026,1160.956,1312.84,1351.022,1403.594,1492.73,1449.684,1618.772,1714.354,1762.644,1871.918,1936.316,1998.146,1955.402,1932.538,1973.416,1850.426,1708.18,1560.41,1479.18,1418.988,1231.666
11-Jan-13,1330,PV_Generation_kW,,0.156,0.18,0.268,0.07,0.264,0.06,0.144,0.212,0.216,0.168,0.18,0.048,2.318,29.35,109.538,248.216,441.996,666.11,883.094,1068.38,1245.158,1387.002,1506.37,1589.92,1528.404,1624.634,1661.932,1591.582,1505.326,1383.514,1211.68,1250.638,1138.992,944.804,735.012,521.758,324.028,160.252,62.792,11.368,0.212,0.252,0.104,0.168,0.348,0.152,0.564,0.114
