v1	V(vin)	I(Rl)
-2.000000000000000e+00	-2.000000e+00	-9.939151e-03
-1.750000000000000e+00	-1.750000e+00	-8.692766e-03
-1.500000000000000e+00	-1.500000e+00	-7.446380e-03
-1.250000000000000e+00	-1.250000e+00	-6.199995e-03
-1.000000000000000e+00	-1.000000e+00	-4.953610e-03
-7.500000000000000e-01	-7.500000e-01	-3.707225e-03
-5.000000000000000e-01	-5.000000e-01	-2.460839e-03
-2.500000000000000e-01	-2.500000e-01	-1.214454e-03
0.000000000000000e+00	0.000000e+00	3.193093e-05
2.500000000000000e-01	2.500000e-01	1.278316e-03
5.000000000000000e-01	5.000000e-01	1.404029e-03
7.500000000000000e-01	7.500000e-01	1.404154e-03
1.000000000000000e+00	1.000000e+00	1.404279e-03
1.250000000000000e+00	1.250000e+00	1.404404e-03
1.500000000000000e+00	1.500000e+00	1.404529e-03
1.750000000000000e+00	1.750000e+00	1.404654e-03
2.000000000000000e+00	2.000000e+00	1.404778e-03
