v1	V(vin)	V(vo)
Step Information: Load=100  (Step: 1/2)
-2.000000000000000e+00	-2.000000e+00	-9.939151e-01
-1.750000000000000e+00	-1.750000e+00	-8.692766e-01
-1.500000000000000e+00	-1.500000e+00	-7.446380e-01
-1.250000000000000e+00	-1.250000e+00	-6.199995e-01
-1.000000000000000e+00	-1.000000e+00	-4.953610e-01
-7.500000000000000e-01	-7.500000e-01	-3.707225e-01
-5.000000000000000e-01	-5.000000e-01	-2.460840e-01
-2.500000000000000e-01	-2.500000e-01	-1.214454e-01
0.000000000000000e+00	0.000000e+00	3.193093e-03
2.500000000000000e-01	2.500000e-01	1.278316e-01
5.000000000000000e-01	5.000000e-01	1.404029e-01
7.500000000000000e-01	7.500000e-01	1.404154e-01
1.000000000000000e+00	1.000000e+00	1.404279e-01
1.250000000000000e+00	1.250000e+00	1.404404e-01
1.500000000000000e+00	1.500000e+00	1.404529e-01
1.750000000000000e+00	1.750000e+00	1.404654e-01
2.000000000000000e+00	2.000000e+00	1.404779e-01
Step Information: Load=220  (Step: 2/2)
-2.000000000000000e+00	-2.000000e+00	-2.183955e+00
-1.750000000000000e+00	-1.750000e+00	-1.910084e+00
-1.500000000000000e+00	-1.500000e+00	-1.636213e+00
-1.250000000000000e+00	-1.250000e+00	-1.362341e+00
-1.000000000000000e+00	-1.000000e+00	-1.088470e+00
-7.500000000000000e-01	-7.500000e-01	-8.145981e-01
-5.000000000000000e-01	-5.000000e-01	-5.407267e-01
-2.500000000000000e-01	-2.500000e-01	-2.668552e-01
0.000000000000000e+00	0.000000e+00	7.016266e-03
2.500000000000000e-01	2.500000e-01	2.808878e-01
5.000000000000000e-01	5.000000e-01	3.084784e-01
7.500000000000000e-01	7.500000e-01	3.085058e-01
1.000000000000000e+00	1.000000e+00	3.085333e-01
1.250000000000000e+00	1.250000e+00	3.085607e-01
1.500000000000000e+00	1.500000e+00	3.085881e-01
1.750000000000000e+00	1.750000e+00	3.086156e-01
2.000000000000000e+00	2.000000e+00	3.086430e-01
