Time,Node 645.V2_rms,Node 646.V2_rms,Node 671.V1_rms,Node 671.V2_rms,Node 671.V3_rms,Node 692.V3_rms,Node 611.V3_rms,UpperBound,LowerBound
0.0,2447.49609375,2443.5244140625,2167.584716796875,2360.9228515625,2343.741943359375,2343.741943359375,2336.149169921875,2522.0,2282.0
1.0,2447.496826171875,2443.525146484375,2167.596923828125,2360.9267578125,2345.006591796875,2345.006591796875,2336.148193359375,2522.0,2282.0
2.0,2447.496826171875,2443.525146484375,2167.597412109375,2360.92724609375,2343.739990234375,2343.739990234375,2336.14794921875,2522.0,2282.0
3.0,2447.496826171875,2443.525146484375,2167.59765625,2362.2021484375,2343.739990234375,2343.739990234375,2337.41064453125,2522.0,2282.0
4.0,2448.8193359375,2444.845703125,2167.59765625,2360.926513671875,2343.739990234375,2343.739990234375,2336.148193359375,2522.0,2282.0
5.0,2447.496826171875,2443.525146484375,2167.597900390625,2360.926025390625,2343.73974609375,2343.73974609375,2337.410400390625,2522.0,2282.0
6.0,2447.496826171875,2443.525146484375,2167.597412109375,2360.92626953125,2343.739990234375,2343.739990234375,2336.148193359375,2522.0,2282.0
7.0,2447.496826171875,2443.525146484375,2168.768798828125,2360.926513671875,2343.73974609375,2343.73974609375,2336.14794921875,2522.0,2282.0
8.0,2447.496826171875,2443.525146484375,2167.59765625,2360.926513671875,2343.73974609375,2343.73974609375,2336.14794921875,2522.0,2282.0
9.0,2447.496826171875,2443.525146484375,2167.597412109375,2360.926513671875,2343.739501953125,2343.739501953125,2336.147705078125,2522.0,2282.0
10.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
11.0,2460.8935546875,2460.8935546875,2463.7138671875,2457.900390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
12.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
13.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
14.0,2460.8935546875,2460.8935546875,2465.045166015625,2456.57275390625,2454.937255859375,2454.937255859375,2453.611328125,2522.0,2282.0
15.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
16.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
17.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
18.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
19.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
20.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
21.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
22.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
23.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
24.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
25.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2454.937255859375,2522.0,2282.0
26.0,2462.836669921875,2464.00732421875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
27.0,2462.836669921875,2464.00732421875,2465.04541015625,2456.572998046875,2454.937255859375,2454.937255859375,2453.611328125,2522.0,2282.0
28.0,2462.40380859375,2463.314453125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
29.0,2462.404052734375,2463.314453125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
30.0,2461.948974609375,2462.5859375,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
31.0,2461.948974609375,2462.5859375,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
32.0,2461.342041015625,2461.614501953125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2454.937255859375,2522.0,2282.0
33.0,2461.342041015625,2461.6142578125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
34.0,2460.9951171875,2461.058837890625,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2454.937255859375,2522.0,2282.0
35.0,2460.9951171875,2462.38916015625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
36.0,2460.4091796875,2460.120849609375,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
37.0,2460.408935546875,2460.12060546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
38.0,2459.86572265625,2459.251220703125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
39.0,2459.86572265625,2459.251220703125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
40.0,2459.30029296875,2458.34619140625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
41.0,2459.300537109375,2458.34619140625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
42.0,2458.75634765625,2457.475341796875,2463.7138671875,2457.900390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
43.0,2458.75634765625,2457.475341796875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
