Time,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
0.0,131357.421875,228146.78125,115504.0390625,212394.40625,219321.96875,207243.296875,116176.7734375,126588.3515625,125655.7890625
1.0,131346.09375,228121.25,115507.46875,212377.59375,219299.65625,207220.3125,116180.25,126575.453125,125643.0703125
2.0,131345.578125,228122.59375,115507.515625,212377.046875,219299.109375,207219.796875,116180.296875,126575.0859375,125642.8046875
3.0,131346.859375,228117.96875,115507.5703125,212377.140625,219299.125,207219.859375,116180.3515625,126575.1328125,125642.765625
4.0,131348.921875,228106.09375,115507.6796875,212377.15625,219299.09375,207219.9375,116180.4609375,126575.1171875,125642.84375
5.0,131342.9375,228116.625,115507.765625,212376.921875,219299.046875,207219.828125,116180.546875,126575.1171875,125642.7421875
6.0,131341.78125,228111.328125,115507.609375,212376.96875,219299.03125,207219.859375,116180.390625,126575.0,125642.8125
7.0,131348.6875,228127.15625,115507.515625,212377.015625,219299.125,207219.78125,116180.2890625,126575.1171875,125642.78125
8.0,131209.65625,227688.015625,115476.65625,212315.890625,218891.765625,206982.125,116148.9296875,126445.546875,125401.2265625
9.0,131345.546875,228133.203125,115507.609375,212377.234375,219299.125,207219.890625,116180.390625,126575.1484375,125642.8125
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,-165256.796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,-165256.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,-145017.578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,-145263.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,-124260.7109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,-124201.7734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,-96263.8828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,-96271.2421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,-80262.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,-80277.9140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,-53258.6171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,-53209.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,-28276.759765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,-28240.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,-2260.220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,-2257.3115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,22767.572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,22773.359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,35784.45703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,35789.44140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,41791.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,41787.82421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,45802.32421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,45798.3046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,43787.1015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,43793.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,41788.45703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,41796.8828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,37792.7890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,37784.24609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,28773.80078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,28775.78515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,31767.869140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,31778.958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,54814.90234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,54818.35546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,64833.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,64824.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,77851.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,77837.9296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,93873.796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,93835.578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,108714.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,0.0,108877.7734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,122913.890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,122880.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,144919.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,144918.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,0.0,162930.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,0.0,162928.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,0.0,136904.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,136909.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,109853.2734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,109880.4296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,83846.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,0.0,83851.1328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.0,61824.3828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,0.0,61821.31640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,0.0,40789.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,40786.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.0,29782.099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,0.0,29770.580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,0.0,19769.828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,0.0,19767.2421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,10756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,0.0,10764.4462890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,0.0,1748.0367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,0.0,1751.645751953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,0.0,-4245.2880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,-4255.49072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,-1255.0469970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,0.0,-1255.4783935546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,0.0,-9254.1923828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,-9255.373046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,-30269.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,0.0,-30274.630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,0.0,239995.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,0.0,239987.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,0.0,215962.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,0.0,215964.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,0.0,202961.265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,0.0,202898.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,0.0,189609.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,0.0,189936.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
