step,p_load_fc_kw,p_pv_fc_kw,p_load_kw,p_pv_kw,baseline_grid_kw,X1_battery_kw,battery_action,X2_grid_kw,X2_grid_forecast_kw,soc_predicted_pct,soc_measured_pct
1,300.0,0.0,49.248,0.024,49.224,213.3333,Discharge,-164.1093,86.6667,50.0,50.0
2,300.0,25.0,45.32,0.0,45.32,188.786,Discharge,-143.466,86.214,39.5425,39.72
3,300.0,50.0,41.396,0.0,41.396,163.7109,Discharge,-122.3149,86.2891,30.2883,30.44
4,300.0,75.0,43.692,0.012,43.68,138.66,Discharge,-94.98,86.34,22.2632,22.4
5,300.0,100.0,35.162,0.012,35.15,113.5256,Discharge,-78.3756,86.4744,15.4662,15.57
6,300.0,125.0,36.362,0.002,36.36,88.347,Discharge,-51.987,86.653,9.9012,9.97
7,300.0,150.0,35.708,0.0,35.708,63.42,Discharge,-27.712,86.58,5.5705,5.65
8,300.0,175.0,37.79,0.0,37.79,38.51,Discharge,-0.72,86.49,2.4616,2.55
9,300.0,200.0,36.592,0.0,36.592,12.852,Discharge,23.74,87.148,0.5739,0.63
10,300.0,225.0,36.644,0.012,36.632,0.0,Idle,36.632,75.0,0.0,0.0
11,300.0,250.0,42.512,0.0,42.512,0.0,Idle,42.512,50.0,0.0,0.0
12,300.0,275.0,46.514,0.012,46.502,0.0,Idle,46.502,25.0,0.0,0.0
13,300.0,300.0,45.304,0.324,44.98,0.0,Idle,44.98,-0.0,0.0,0.0
14,300.0,325.0,47.144,3.512,43.632,0.0,Idle,43.632,-25.0,0.0,0.0
15,300.0,350.0,48.242,9.32,38.922,0.0,Idle,38.922,-50.0,0.0,0.0
16,300.0,375.0,47.072,17.264,29.808,-0.0,Idle,29.808,-75.0,0.0,0.0
17,300.0,400.0,49.756,26.836,22.92,-10.0,Charge,32.92,-90.0,0.0,0.0
18,300.0,425.0,56.742,35.87,20.872,-35.0074,Charge,55.8794,-89.9926,0.4902,0.48
19,300.0,450.0,52.412,46.048,6.364,-60.012,Charge,66.376,-89.988,2.2062,2.19
20,300.0,475.0,53.512,59.616,-6.104,-85.0212,Charge,78.9172,-89.9788,5.148,5.12
21,300.0,500.0,54.998,70.178,-15.18,-110.0357,Charge,94.8557,-89.9643,9.3157,9.27
22,300.0,525.0,60.802,85.684,-24.882,-135.0475,Charge,110.1655,-89.9525,14.7096,14.65
23,300.0,550.0,57.856,94.466,-36.61,-160.0563,Charge,123.4463,-89.9437,21.3296,21.26
24,300.0,575.0,60.714,100.496,-39.782,-185.0618,Charge,145.2798,-89.9382,29.1755,29.1
25,300.0,600.0,65.298,110.726,-45.428,-210.0829,Charge,164.6549,-89.9171,38.2472,38.15
26,300.0,575.0,68.302,114.912,-46.61,-185.0912,Charge,138.4812,-89.9088,48.5453,48.44
27,300.0,550.0,66.218,115.398,-49.18,-160.0838,Charge,110.9038,-89.9162,57.6184,57.52
28,300.0,525.0,71.34,120.906,-49.566,-135.0807,Charge,85.5147,-89.9193,65.4657,65.37
29,300.0,500.0,73.608,121.092,-47.484,-110.0826,Charge,62.5986,-89.9174,72.0873,71.99
30,300.0,475.0,73.3,116.338,-43.038,-85.0777,Charge,42.0397,-89.9223,77.4835,77.39
31,300.0,450.0,79.654,108.952,-29.298,-60.0648,Charge,30.7668,-89.9352,81.654,81.57
32,300.0,425.0,87.28,99.974,-12.694,-34.3509,Charge,21.6569,-90.6491,84.5983,84.52
33,300.0,400.0,88.974,85.626,3.348,-8.5939,Charge,11.9419,-91.4061,86.2822,86.19
34,300.0,375.0,91.22,71.08,20.14,16.6147,Discharge,3.5253,-91.6147,86.7035,86.65
35,300.0,350.0,96.882,57.722,39.16,41.6075,Discharge,-2.4475,-91.6075,85.889,85.82
36,300.0,325.0,109.798,42.846,66.952,66.6025,Discharge,0.3495,-91.6025,83.8494,83.77
37,300.0,300.0,110.95,26.944,84.006,91.6,Discharge,-7.594,-91.6,80.5846,80.5
38,300.0,275.0,101.054,12.92,88.134,116.5951,Discharge,-28.4611,-91.5951,76.0944,76.0
39,0.0,250.0,88.364,4.61,83.754,-158.4123,Charge,242.1663,-91.5877,70.379,70.27
40,0.0,225.0,85.14,0.808,84.332,-133.4883,Charge,217.8203,-91.5117,78.1443,77.89
41,0.0,200.0,95.846,0.012,95.834,-108.4956,Charge,204.3296,-91.5044,84.6878,84.42
42,0.0,175.0,106.914,0.024,106.89,-83.5057,Charge,190.3957,-91.4943,90.0062,89.72
43,0.0,150.0,100.72,0.024,100.696,-58.485,Charge,159.181,-91.515,94.0996,93.85
44,0.0,125.0,111.68,0.0,111.68,-33.4949,Charge,145.1749,-91.5051,96.9665,96.7
45,0.0,100.0,104.822,0.002,104.82,-8.502,Charge,113.322,-91.498,98.6085,98.33
46,0.0,75.0,82.278,0.05,82.228,16.5185,Discharge,65.7095,-91.5185,99.0252,98.78
47,700.0,50.0,69.702,0.012,69.69,510.0,Discharge,-440.31,140.0,98.2155,97.96
48,700.0,25.0,58.92,0.012,58.908,510.0,Discharge,-451.092,165.0,73.2155,73.16
