Date,Node,Phase,N_Customers,Profile,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
7-Jan-13,646,Ph2,102,GC_Load_kW,49.248,45.32,41.396,43.692,35.162,36.362,35.708,37.79,36.592,36.644,42.512,46.514,45.304,47.144,48.242,47.072,49.756,56.742,52.412,53.512,54.998,60.802,57.856,60.714,65.298,68.302,66.218,71.34,73.608,73.3,79.654,87.28,88.974,91.22,96.882,109.798,110.95,101.054,88.364,85.14,95.846,106.914,100.72,111.68,104.822,82.278,69.702,58.92
7-Jan-13,646,Ph2,102,PV_Generation_kW,0.024,0,0,0.012,0.012,0.002,0,0,0,0.012,0,0.012,0.324,3.512,9.32,17.264,26.836,35.87,46.048,59.616,70.178,85.684,94.466,100.496,110.726,114.912,115.398,120.906,121.092,116.338,108.952,99.974,85.626,71.08,57.722,42.846,26.944,12.92,4.61,0.808,0.012,0.024,0.024,0,0.002,0.05,0.012,0.012
7-Jan-13,645,Ph2,63,GC_Load_kW,50.822,44.294,36.194,29.886,29.484,28.024,28.126,28.554,28.16,28.768,32.058,31.086,29.534,31.014,32.782,33.026,37.152,42.926,36.27,36.432,35.662,35.524,37.854,38.19,41.804,41.69,38.43,45.532,61.014,61.084,64.726,70.356,64.936,66.256,68.738,71.59,75.526,79.98,78.028,76.194,60.812,55.296,54.754,53.702,50.626,54.696,52.306,44.31
7-Jan-13,645,Ph2,63,PV_Generation_kW,0,0,0,0.002,0,0,0.012,0,0.024,0,0.014,0,0.394,2.768,6.952,13.382,20.468,29.38,37.358,48.802,55.284,67.642,72.484,72.102,73.454,75.706,78.514,80.806,77.902,74.532,71.036,64.644,55.788,45.522,35.528,25.256,15.218,7.806,3.586,0.766,0,0,0,0,0.002,0,0,0.012
7-Jan-13,611,Ph3,68,GC_Load_kW,31.958,32.698,30.49,27.904,25.266,25.28,23.8,24.588,24.716,23.088,22.38,24.902,28.34,33.074,32.418,31.934,33.628,31.376,32.73,32.312,33.706,34.398,33.11,37.904,41.224,44.04,46.118,42.188,42.698,44.962,53.92,59.35,62.74,60.002,57.29,66.432,63.2,57.632,58.696,58.73,53.898,52.32,53.258,49.562,46.164,43.22,36.27,33.924
7-Jan-13,611,Ph3,68,PV_Generation_kW,0,0,0.024,0.012,0.012,0.012,0.014,0.012,0.024,0,0,0.012,0.27,2.572,6.63,11.674,18.158,24.2,31.264,37.326,45.2,54.778,58.222,60.914,63.062,65.232,65.282,68.658,68.982,67.324,63.082,58.552,50.76,42.178,32.786,21.988,13.5,7.592,3.462,0.548,0,0.012,0.012,0,0,0,0,0.024
7-Jan-13,652,Ph1,46,GC_Load_kW,27.68,29.034,23.93,20.34,24.424,23.554,23.706,19.408,18.396,18.672,18.59,18.758,19.462,22.518,22.836,20.43,21.37,23.08,23.486,22.672,26.552,29.11,24.026,25.532,24.966,25.944,26.872,25.006,30.348,33.96,34.236,37.036,29.886,34.898,49.192,60.71,59.706,60.376,53.998,55.9,52.606,45.388,42.574,45.878,40.012,34.344,25.718,24.816
7-Jan-13,652,Ph1,46,PV_Generation_kW,0,0.026,0,0,0,0,0.024,0,0.012,0.002,0,0,0.204,1.706,4.004,7.996,11.878,16.692,23.23,28.61,31.34,36.94,40.692,43.032,45.024,47.858,48.894,52.42,52.928,51.478,48.292,44.254,39.172,32.474,26.164,19.032,12.622,6.872,2.69,0.508,0.002,0.012,0,0,0.012,0.002,0,0
7-Jan-13,671,A,159,GC_Load_kW,96.276,87.398,74.636,72.84,63.788,64.884,64.154,65.194,66.232,66.654,74.914,75.37,73.93,76.588,80.69,77.496,81.384,91.06,82.182,85.696,86.382,93.052,90.452,93.448,102.158,107.04,100.774,108.364,117.86,120.028,136.324,144.07,141.024,143.782,154.65,172.592,174.742,176.9,160.68,148.088,150.64,162.972,153.958,163.306,151.746,128.12,111.736,100.988
7-Jan-13,671,A,159,PV_Generation_kW,0.026,0,0.012,0.036,0.012,0.002,0,0,0.024,0.024,0.014,0.012,0.524,5.45,14.556,27.448,42.358,58.012,75.414,96.956,115.252,139.9,153.438,158.14,170.982,177.972,178.554,186.996,187.356,180.124,168.942,156.032,134.168,111.084,89.422,65.872,41.158,20.346,7.924,1.528,0.012,0.036,0.024,0,0.002,0.05,0.024,0.024
7-Jan-13,671,B,155,GC_Load_kW,86.392,88.296,76.39,68.768,70.37,68.938,66.928,63.868,64.716,62.854,61.38,62.31,64.256,73.598,82.272,73.81,78.462,78.014,77.028,73.606,80.96,84.81,77.26,84.514,88.268,91.144,93.192,93.33,105.306,112.772,131.666,148.346,139.29,135.214,144.504,172.026,174.642,166.554,157.864,156.612,138.106,128.962,127.352,126.68,116.784,109.662,95.754,84.666
7-Jan-13,671,B,155,PV_Generation_kW,0,0.026,0.036,0.038,0.012,0.012,0.05,0.012,0.06,0.014,0,0.012,0.798,6.512,15.766,29.438,45.444,63.582,83.984,101.744,118.528,139.724,150.946,155.146,159.134,164.648,167.778,177.406,177.11,171.338,160.004,146.51,127.976,105.72,82.594,57.15,35.038,18.548,8.04,1.408,0.002,0.036,0.012,0,0.014,0.002,0.012,0.024
7-Jan-13,671,C,159,GC_Load_kW,96.118,84.126,73.366,71.186,62.052,63.254,62.982,64.878,63.466,63.57,72.986,76.24,73.772,77.132,75.27,76.818,82.702,95.304,82.984,86.41,87.41,93.648,92.822,94.602,102.714,106.562,100.99,112.38,126.118,129.19,140.54,154.924,152.76,157.408,164.626,175.732,182.91,182.798,166.966,155.462,150.802,159.356,151.602,161.74,152.51,131.07,113.008,101.33
7-Jan-13,671,C,159,PV_Generation_kW,0.026,0,0,0.012,0.012,0.002,0,0,0.024,0.012,0.014,0.012,0.5,5.34,14.466,27.23,41.794,56.478,72.744,95.814,112.234,138.524,152.18,156.466,168.06,175.38,178.284,185.4,184.866,177.682,167.35,154.346,132.756,109.798,88.53,65.114,40.734,20.158,7.838,1.518,0.012,0.024,0.024,0,0.002,0.05,0.012,0.024
7-Jan-13,692,C,66,GC_Load_kW,34.79,31.848,29.824,27.068,25.412,24.01,22.562,23.656,23.326,22.66,21.754,23.856,27.11,29.8,34.474,31.452,33.142,33.292,33.71,29.786,32.504,31.374,32.244,34.85,38.724,39.904,42.208,40.972,46.586,48.4,54.134,56.068,53.812,50.736,52.294,66.426,61.778,55.7,56.164,61.51,55.278,49.522,50.684,46.992,42.34,44.458,40.438,33.79
7-Jan-13,692,C,66,PV_Generation_kW,0,0,0.024,0.014,0.012,0,0.026,0,0.024,0,0,0.012,0.458,3.278,7.868,14.044,22.21,31.122,39.63,45.982,53.448,64.024,67.548,70.856,73.198,75.044,75.79,78.574,77.35,74.664,69.298,63.608,54.594,44.18,33.488,22.348,12.94,6.642,3.158,0.502,0,0.012,0.012,0,0.002,0,0,0.024
7-Jan-13,692,B,0,GC_Load_kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Jan-13,692,B,0,PV_Generation_kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Jan-13,692,A,0,GC_Load_kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Jan-13,692,A,0,PV_Generation_kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Jan-13,675,C,119,GC_Load_kW,62.704,64.778,54.3,49.394,51.006,50.65,50.544,46.706,47.652,44.886,46.262,48.07,48.91,55.742,58.988,55.398,57.916,56.232,56.74,56.76,61.754,69.172,59.672,66.346,66.648,70.146,68.752,66.624,72.308,78.3,92.964,101.924,101.398,106.926,122.258,137.444,141.17,139.212,124.72,120.472,117.496,114.922,108.846,109.866,100.446,84.582,67.312,63.63
7-Jan-13,675,C,119,PV_Generation_kW,0.002,0.026,0.012,0.036,0.012,0.014,0.024,0.012,0.024,0.026,0,0,0.382,4.044,10.242,19.884,29.718,41.14,55.224,69.054,82.054,96.718,106.702,111.07,117.074,120.252,120.966,130.062,131.746,126.856,118.236,108.716,95.204,78.946,63.688,46.126,30.132,16.424,6.488,1.174,0.014,0.048,0,0,0.014,0.028,0.012,0
7-Jan-13,675,B,36,GC_Load_kW,21.318,20.328,15.286,17.094,12.376,13.1,12.234,13.004,12.9,14.404,15.482,15.956,15.786,16.416,17.606,15.736,18.05,22.882,18.772,17.832,20.118,24.298,22.846,23.314,25.264,26.068,25.696,24.818,21.218,18.146,22.16,25.59,26.448,29.126,32.45,37.9,40.886,32.694,30.566,29.878,27.116,35.098,32.79,28.678,33.052,28.09,32.172,26.664
7-Jan-13,675,B,36,PV_Generation_kW,0,0,0,0,0,0,0,0,0,0,0,0.012,0.114,1.254,3.144,6.052,9.682,12.91,16.594,22.422,26.024,31.924,34.834,35.348,36.614,38.876,39.638,41.22,40.26,38.754,35.654,32.078,27,21.772,16.618,11.524,6.316,3.15,1.294,0.224,0,0,0.012,0,0,0,0,0.012
7-Jan-13,675,A,191,GC_Load_kW,116.084,111.736,97.28,86.742,85.026,83.152,81.898,79.118,78.336,77.592,82.448,84.624,85.692,95.162,97.73,92.548,98.642,104.094,100.902,103.16,105.606,106.998,104.264,109.32,119.798,124.572,123.746,130.772,153.712,160.47,172.954,186.036,173.788,168.546,180.396,207.25,208.738,211.104,200.022,194.922,182.444,174.8,171.682,185.236,164.026,150.658,124.354,110.808
7-Jan-13,675,A,191,PV_Generation_kW,0.024,0.026,0.024,0.014,0.012,0.012,0.038,0.012,0.048,0.002,0.014,0.012,0.946,7.492,19.184,36.158,55.132,76.236,99.956,123.77,141.752,171.052,186.41,191.628,201.934,210.6,214.15,223.854,224.4,217.704,204.872,189.334,164.022,136.558,108.224,77.158,47.898,24.182,10.154,1.898,0.002,0.012,0.024,0,0.002,0.026,0.012,0.036
7-Jan-13,634,C,52,GC_Load_kW,26.372,25.628,22.4,22.342,22.108,22.128,22.238,22.696,23.462,21.814,21.674,20.452,20.702,22.128,26.152,25.276,25.586,24.514,24.196,23.086,24.298,26.618,23.144,26.148,27.636,25.034,23.51,25.18,28.71,32.046,42.002,45.19,39.992,43.16,43.956,54.476,55.778,58.02,52.216,46.066,39.096,40.804,38.618,40.102,38.004,34.418,31.308,28.716
