step,date_label,profile_time,p_634_A_W,p_634_B_W,p_634_C_W,p_645_B_W,p_646_B_W,p_652_A_W,p_671_A_W,p_671_B_W,p_671_C_W,p_675_A_W,p_675_B_W,p_675_C_W,p_692_C_W,p_611_C_W
1,7-Jan-13,0:30,46313.484375,24061.875,26332.78515625,50837.53125,49241.890625,27685.53125,96272.4140625,86422.8671875,96115.5546875,116083.2109375,21324.66015625,62722.22265625,34798.53125,31957.779296875
2,7-Jan-13,1:00,41062.359375,21070.326171875,25641.20703125,44308.0078125,45336.953125,29013.703125,87418.4140625,88301.546875,84146.640625,111731.9609375,20334.34765625,64759.3515625,31855.81640625,32701.716796875
3,7-Jan-13,1:30,36163.59765625,16906.9296875,22403.7890625,36205.40234375,41410.66796875,23934.72265625,74641.4296875,76381.25,73363.3515625,97275.1875,15290.7724609375,54305.5390625,29831.298828125,30475.845703125
4,7-Jan-13,2:00,32887.44921875,17639.46484375,22278.935546875,29846.482421875,43601.29296875,20343.9296875,72785.625,68606.3125,71126.3359375,86744.7578125,17072.654296875,49290.09765625,27050.392578125,27853.6171875
5,7-Jan-13,2:30,29002.380859375,12844.52734375,22118.52734375,29493.1875,35153.1796875,24428.775390625,63790.77734375,70383.1015625,62037.71875,85030.6171875,12379.8642578125,51010.4453125,25418.193359375,25262.14453125
6,7-Jan-13,3:00,29065.9921875,13685.478515625,22126.78515625,28033.001953125,36373.5703125,23558.640625,64896.75,68950.609375,63267.40625,83156.3828125,13101.201171875,50652.33203125,24015.8515625,25276.150390625
7,7-Jan-13,3:30,29000.189453125,12618.8525390625,22236.28125,28122.955078125,35720.578125,23686.65234375,64168.96875,66901.8515625,62997.26171875,81876.078125,12237.830078125,50536.27734375,22567.46875,23793.6640625
8,7-Jan-13,4:00,28712.646484375,13397.4228515625,22705.95703125,28562.951171875,37803.515625,19411.65625,65208.9609375,63869.69921875,64893.703125,79120.8984375,13008.0703125,46709.06640625,23661.728515625,24583.9296875
9,7-Jan-13,4:30,28250.802734375,13284.2763671875,23447.771484375,28138.552734375,36604.5625,18387.625,66223.453125,64679.078125,63457.4765625,78261.890625,12904.0302734375,47643.3984375,23331.765625,24699.984375
10,7-Jan-13,5:00,29517.4765625,14527.3642578125,21815.0390625,28767.84375,36645.14453125,18673.681640625,66645.546875,62862.4375,63573.51171875,77605.3046875,14408.501953125,44874.48046875,22665.53125,23095.455078125
11,7-Jan-13,5:30,35168.859375,17236.58984375,21684.677734375,32054.1015625,42526.9453125,18593.6796875,74917.484375,61401.890625,72989.78125,82450.3203125,15486.8408203125,46276.87109375,21759.302734375,22387.1953125
12,7-Jan-13,6:00,34082.75,20626.2421875,20463.59765625,31095.6796875,46519.01953125,18761.705078125,75375.5546875,62320.25390625,76246.625,84628.59375,15948.98046875,48075.44921875,23861.8359375,24892.822265625
13,7-Jan-13,6:30,32006.005859375,20589.248046875,20520.822265625,29103.55078125,44899.31640625,19261.7265625,73387.453125,63343.8046875,73222.9765625,84762.3984375,15652.42578125,48461.234375,27092.37109375,28031.369140625
14,7-Jan-13,7:00,33994.6796875,20078.162109375,20319.994140625,28255.119140625,43636.078125,20816.01171875,71120.015625,66965.28125,71743.8515625,87686.8984375,15143.0693359375,51626.83203125,29788.326171875,30459.998046875
15,7-Jan-13,7:30,28068.2421875,18130.943359375,21460.099609375,25837.958984375,38920.703125,18835.76953125,66114.34375,66529.7578125,60801.83203125,78561.71875,14466.53515625,48761.73046875,34473.48046875,25796.322265625
16,7-Jan-13,8:00,23867.591796875,13104.861328125,16785.607421875,19650.220703125,29818.7734375,12436.447265625,50059.671875,44387.85546875,49600.03515625,56401.09765625,9684.8896484375,35525.46484375,31459.65625,20266.53515625
17,7-Jan-13,8:30,18449.74609375,9822.8447265625,12395.7890625,16689.326171875,22927.75390625,9493.87109375,39035.11328125,33029.78515625,40917.9453125,43518.57421875,8368.7685546875,28207.09765625,33150.0625,15474.9921875
18,7-Jan-13,9:00,19219.44921875,10162.3720703125,5749.57763671875,13550.232421875,20879.34765625,6389.26123046875,33055.7109375,14437.1513671875,38835.4453125,27863.5,9975.1220703125,15096.8701171875,33300.1015625,7178.31591796875
19,7-Jan-13,9:30,5219.1953125,1091.218017578125,-608.558837890625,-1088.34326171875,6366.240234375,256.05084228515625,6769.576171875,-6958.48681640625,10242.4892578125,946.1864013671875,2177.987548828125,1516.4892578125,33718.1875,1466.47314453125
20,7-Jan-13,10:00,-962.2560424804688,-5909.724609375,-8010.09375,-12373.9345703125,-6106.134765625,-5939.1787109375,-11262.6240234375,-28148.044921875,-9406.287109375,-20614.08984375,-4591.4375,-12297.97265625,29785.494140625,-5015.6201171875
21,7-Jan-13,10:30,-13497.1962890625,-6593.23388671875,-14325.283203125,-19628.244140625,-15185.3369140625,-4788.94189453125,-28876.703125,-37581.41015625,-24830.0078125,-36153.11328125,-5907.84912109375,-20306.552734375,32511.869140625,-11497.7109375
22,7-Jan-13,11:00,-24233.53515625,-8322.779296875,-18089.349609375,-32128.07421875,-24890.943359375,-7831.54736328125,-46858.88671875,-54933.60546875,-44886.87109375,-64066.65625,-7628.3876953125,-27554.8984375,31381.6015625,-20386.583984375
23,7-Jan-13,11:30,-30167.232421875,-14358.884765625,-23955.00390625,-34586.765625,-36538.65625,-16669.400390625,-62971.0703125,-73553.359375,-59336.88671875,-82162.765625,-11972.9580078125,-46965.5625,32232.486328125,-25077.60546875
24,7-Jan-13,12:00,-30742.009765625,-14412.7109375,-23616.025390625,-33922.6328125,-39780.37890625,-17503.421875,-64672.359375,-70657.2265625,-61878.921875,-82324.09375,-12037.7685546875,-44738.48046875,34858.41015625,-23017.4453125
25,7-Jan-13,12:30,-32168.4375,-16456.05859375,-25499.4765625,-31659.890625,-45444.171875,-20061.98046875,-68839.578125,-70891.328125,-65361.78515625,-82152.296875,-11353.5654296875,-50425.70703125,38733.35546875,-21837.873046875
26,7-Jan-13,13:00,-35446.90234375,-14544.5615234375,-28403.498046875,-34026.80078125,-46626.25390625,-21918.34765625,-70948.4765625,-73519.953125,-68834.625,-86045.0625,-12812.0234375,-50122.18359375,39913.64453125,-21194.35546875
27,7-Jan-13,13:30,-38843.12109375,-16135.2607421875,-31253.13671875,-40096.3984375,-49197.68359375,-22026.365234375,-77798.0703125,-74612.6484375,-77312.671875,-90421.9140625,-13946.373046875,-52230.8125,42218.17578125,-19170.169921875
28,7-Jan-13,14:00,-33614.38671875,-19971.00390625,-33784.33984375,-35277.390625,-49583.953125,-27419.4375,-78650.25,-84106.03125,-73037.640625,-93100.4609375,-16407.142578125,-63458.5,40981.90234375,-26478.552734375
29,7-Jan-13,14:30,-25840.060546875,-21636.98828125,-30134.3359375,-16887.84375,-47500.73828125,-22584.447265625,-69512.109375,-71829.640625,-58745.82421875,-70702.0625,-19047.978515625,-59457.21875,46585.16015625,-26292.498046875
30,7-Jan-13,15:00,-22668.732421875,-19391.962890625,-23613.9453125,-13452.251953125,-43053.93359375,-17521.46875,-60109.953125,-58586.90625,-48503.74609375,-57245.328125,-20607.875,-48571.69921875,48411.71875,-22369.228515625
31,7-Jan-13,15:30,-19440.59375,-12089.2802734375,-9354.65234375,-6312.0380859375,-29308.16015625,-14058.7861328125,-32625.580078125,-28348.115234375,-26816.52734375,-31924.328125,-13498.2255859375,-25280.173828125,54132.046875,-9164.962890625
32,7-Jan-13,16:00,-13430.8291015625,-2302.60400390625,-1702.9825439453125,5704.84423828125,-12669.349609375,-7219.404296875,-11959.0390625,1832.69482421875,577.78564453125,-3298.652587890625,-6490.029296875,-6791.96044921875,56081.6328125,797.9952392578125
33,7-Jan-13,16:30,-4384.62255859375,8017.62109375,-986.43212890625,9150.8671875,3349.19873046875,-9287.8232421875,6857.59716796875,11318.0361328125,20008.833984375,9767.91796875,-552.1730346679688,6195.99609375,53825.01171875,11983.8603515625
34,7-Jan-13,17:00,2131.760009765625,19766.1484375,9327.4306640625,20740.486328125,20147.1328125,2424.477783203125,32705.6328125,29504.51953125,47621.57421875,31994.30859375,7356.3037109375,27989.0234375,50748.33984375,17829.748046875
35,7-Jan-13,17:30,17811.6640625,31591.451171875,16871.017578125,33220.296875,39174.1953125,23032.59765625,65208.6015625,61907.49609375,76114.6328125,72186.421875,15836.9794921875,58588.91796875,52306.8125,24511.916015625
36,7-Jan-13,18:00,38151.703125,41113.49609375,35089.90625,46338.10546875,66977.046875,41686.1953125,106745.015625,114916.984375,110645.1796875,130117.609375,26384.23828125,91328.3359375,66442.328125,44449.0703125
37,7-Jan-13,18:30,49332.26953125,45574.859375,43543.703125,60313.7578125,84036.2578125,47093.3203125,133615.3125,139653.84375,142171.015625,160871.84375,34580.78125,111073.8984375,61793.203125,49716.0703125
38,7-Jan-13,19:00,68534.3671875,41938.30078125,51669.7578125,72196.8359375,88164.5,53514.51953125,156590.734375,148000.375,162680.15625,186958.8125,29553.193359375,122827.578125,55713.68359375,50056.1328125
39,7-Jan-13,19:30,67550.640625,40313.37890625,49662.80859375,74465.109375,83783.8671875,51318.0859375,152791.796875,149877.453125,159167.125,189905.3125,29281.115234375,118270.203125,56177.81640625,55251.8515625
40,7-Jan-13,20:00,62459.68359375,44248.85546875,45645.34375,75451.25,84361.4765625,55402.80859375,146594.34375,155259.453125,153981.6875,193061.65625,29653.841796875,119336.46875,61525.06640625,58200.80078125
41,7-Jan-13,20:30,67913.515625,47861.02734375,39122.140625,60830.875,95867.921875,52614.3359375,150663.34375,138153.25,150827.09375,182477.859375,27118.421875,117519.953125,55291.6015625,53915.4140625
42,7-Jan-13,21:00,73027.5390625,52568.421875,40782.6796875,55313.796875,106913.8671875,45384.515625,162973.171875,128971.921875,159265.984375,174821.265625,35043.125,114715.2890625,49487.4921875,52235.6875
43,7-Jan-13,21:30,69277.40625,49031.453125,38642.109375,54771.19921875,100757.140625,42582.23046875,153888.859375,127385.5390625,151615.1875,171692.5,32788.3203125,108881.0546875,50696.44921875,53263.15625
44,7-Jan-13,22:00,83099.0546875,43836.2890625,40095.87109375,53719.02734375,111720.125,45886.796875,163343.4375,126725.1171875,161779.53125,185271.546875,28686.919921875,109901.296875,47003.4921875,49577.91796875
45,7-Jan-13,22:30,74450.640625,43728.03125,38015.46875,50639.62109375,104856.4921875,40007.86328125,151779.625,116811.7421875,152502.734375,164056.234375,33062.3203125,100464.09375,42339.2890625,46163.55859375
46,7-Jan-13,23:00,61016.421875,34720.90234375,34418.59375,54712.94921875,82257.296875,34348.7734375,128100.015625,109699.15625,131052.078125,150661.65625,28098.78125,84581.28125,44468.890625,43233.94921875
47,7-Jan-13,23:30,49661.7421875,34372.21875,31317.61328125,52322.2109375,69714.5078125,25723.134765625,111738.265625,95776.1953125,112994.5,124366.609375,32182.05078125,67321.734375,40447.90625,36281.7109375
48,8-Jan-13,0:00,44382.77734375,30344.947265625,28734.80859375,44302.13671875,58928.98046875,24820.919921875,100986.96875,84672.1640625,101302.3125,110793.9609375,26660.33203125,63650.3828125,33798.24609375,33910.859375
49,8-Jan-13,0:30,47060.5390625,27296.84375,24540.0078125,48208.828125,52329.7421875,27887.14453125,96305.9921875,80966.8828125,97395.59375,110755.671875,24056.216796875,60621.5390625,31301.5859375,28879.30859375
50,8-Jan-13,1:00,44244.55078125,22218.744140625,23031.265625,40716.5859375,48244.84375,27167.353515625,86854.265625,75278.8828125,85492.9453125,101386.1328125,19189.9921875,58035.71875,27008.599609375,25813.806640625
51,8-Jan-13,1:30,37429.90625,16422.611328125,21518.255859375,34889.2421875,40822.734375,22044.3046875,74157.2578125,69974.9921875,73187.90625,91698.0625,15446.826171875,48853.71484375,27666.740234375,27074.72265625
52,8-Jan-13,2:00,34307.96875,16165.2255859375,21228.38671875,29367.095703125,39572.24609375,22188.228515625,68948.5546875,65294.26953125,67637.578125,83867.984375,13624.9599609375,50116.94921875,22665.220703125,24526.19921875
53,8-Jan-13,2:30,34475.50390625,15258.1083984375,21178.0546875,30655.533203125,38920.43359375,25052.88671875,70042.2109375,70963.3046875,68404.65625,90899.734375,13696.2734375,55065.75390625,23761.7890625,27428.84375
54,8-Jan-13,3:00,32897.29296875,15478.857421875,19757.392578125,28235.044921875,38053.3359375,24442.798828125,66101.0078125,68084.296875,65495.88671875,86124.828125,13458.2041015625,54081.43359375,20865.083984375,25594.251953125
55,8-Jan-13,3:30,33542.0390625,15549.134765625,19939.185546875,31980.046875,37709.1796875,23828.455078125,67029.34375,70593.1328125,67730.375,89742.78125,13512.23046875,51790.69921875,24906.025390625,27354.818359375
56,8-Jan-13,4:00,37402.078125,14907.6845703125,19747.685546875,36679.50390625,38333.85546875,19219.6015625,71501.0390625,63399.44140625,73646.2109375,87644.828125,13816.314453125,46525.03515625,21551.33203125,23671.65234375
57,8-Jan-13,4:30,37075.89453125,14986.880859375,21780.978515625,34080.54296875,39674.109375,18153.578125,72598.9453125,64725.09765625,71861.53125,85240.796875,14492.53125,49027.8203125,22437.4765625,25236.14453125
58,8-Jan-13,5:00,38158.0546875,15178.7861328125,19570.529296875,35098.98828125,37770.76953125,18013.556640625,72330.875,62054.13671875,71543.453125,85848.9453125,13544.232421875,45614.703125,21665.287109375,23545.58984375
59,8-Jan-13,5:30,36710.78125,16917.568359375,18260.41796875,34450.7421875,39945.70703125,18121.56640625,71688.71875,60613.640625,72659.7578125,84784.6875,14924.6630859375,44751.73828125,22111.40625,23893.8671875
60,8-Jan-13,6:00,41361.9375,18658.296875,18016.9921875,35198.88671875,45694.8515625,17995.509765625,76291.7265625,60399.5625,78967.2265625,87995.15625,16045.0107421875,44975.0703125,22445.166015625,23401.56640625
61,8-Jan-13,6:30,37148.921875,21264.453125,20082.32421875,31457.765625,48776.71875,18115.4921875,77250.4375,60417.08203125,79030.953125,86998.7734375,15666.41015625,48129.67578125,26379.66015625,25436.9375
62,8-Jan-13,7:00,35009.875,20886.267578125,22059.0703125,27766.759765625,48218.828125,19077.751953125,75615.671875,64789.10546875,76152.5234375,85510.8203125,17331.4140625,50196.18359375,30977.537109375,28933.330078125
63,8-Jan-13,7:30,33131.96484375,18715.591796875,18493.57421875,20514.5546875,44219.53515625,19601.88671875,66115.0703125,53665.15625,65590.984375,73526.578125,14509.33203125,45748.765625,29555.228515625,22665.31640625
64,8-Jan-13,8:00,24985.841796875,17473.46875,14774.9033203125,11023.412109375,36570.9609375,18655.669921875,53496.48828125,47302.89453125,50926.390625,60851.96875,11427.9375,41067.23828125,37651.36328125,23421.55078125
65,8-Jan-13,8:30,25324.00390625,16636.669921875,10710.306640625,14346.5205078125,32893.80859375,17593.474609375,51540.02734375,35262.58203125,52104.1015625,53362.5390625,11609.62890625,34747.2109375,35891.3984375,16249.2392578125
66,8-Jan-13,9:00,14868.6640625,13585.115234375,4151.9248046875,3716.324462890625,24810.8515625,13032.55859375,31973.44921875,23158.978515625,35022.4921875,35789.02734375,9486.9677734375,25682.28125,40629.85546875,16337.26953125
67,8-Jan-13,9:30,8366.9052734375,7884.93115234375,2047.2572021484375,-2274.69384765625,13306.6474609375,9627.9013671875,18258.2578125,-812.2899780273438,20178.900390625,10170.0087890625,2276.71240234375,17367.607421875,35610.65234375,3050.985107421875
68,8-Jan-13,10:00,-438.2122497558594,12866.927734375,-3829.468994140625,-9154.9130859375,9455.3818359375,-276.05450439453125,10430.3564453125,-11498.1044921875,10458.541015625,-7663.51220703125,1537.9910888671875,7006.26318359375,44256.7578125,2352.760009765625
69,8-Jan-13,10:30,18656.033203125,24141.318359375,-3579.76025390625,-3857.173583984375,33137.53125,-412.0815124511719,42341.859375,-5273.88232421875,39501.609375,16035.171875,9797.06640625,13068.21875,47297.5078125,6552.1142578125
70,8-Jan-13,11:00,18562.537109375,25507.208984375,-2448.95458984375,-2386.75634765625,33980.73828125,-1220.242431640625,45078.5078125,-7171.705078125,43376.54296875,15547.0546875,7950.48681640625,15347.7275390625,50080.13671875,8544.9619140625
71,8-Jan-13,11:30,23301.71875,29997.736328125,-9906.302734375,3415.0693359375,42895.2578125,-1184.2340087890625,48985.40625,446.1592712402344,58788.33984375,34432.8046875,9865.0849609375,15545.0263671875,59362.484375,14784.7802734375
72,8-Jan-13,12:00,24070.7578125,25698.072265625,-14778.490234375,6197.93896484375,34469.60546875,-3230.636962890625,41099.60546875,-1316.469970703125,53819.0390625,35386.9765625,1811.728759765625,14310.2724609375,61554.44140625,13607.2392578125
