step,date_label,profile_time,p_634_A_W,p_634_B_W,p_634_C_W,p_645_B_W,p_646_B_W,p_652_A_W,p_671_A_W,p_671_B_W,p_671_C_W,p_675_A_W,p_675_B_W,p_675_C_W,p_692_C_W,p_611_C_W
1,7-Jan-13,0:30,46289.21484375,24061.912109375,26332.82421875,50826.78125,49241.140625,27685.56640625,96221.34375,86422.8984375,96088.7109375,116083.328125,21324.66796875,62722.328125,34798.578125,31968.3203125
2,7-Jan-13,1:00,41062.296875,21070.30859375,25641.203125,44308.203125,45335.74609375,29013.705078125,87418.328125,88301.53125,84146.7265625,111732.1953125,20334.33203125,64751.65625,31855.87890625,32697.828125
3,7-Jan-13,1:30,36163.64453125,16906.916015625,22403.791015625,36205.33984375,41410.5234375,23934.68359375,74641.3046875,76381.28125,73383.984375,97275.03125,15290.759765625,54294.24609375,29823.578125,30469.5078125
4,7-Jan-13,2:00,32887.40625,17630.404296875,22316.6484375,29892.96484375,43694.6484375,20343.978515625,72820.859375,68754.5234375,71191.3984375,86744.96875,17099.322265625,49373.9765625,27067.0078125,27901.02734375
5,7-Jan-13,2:30,29002.375,12844.51171875,22118.53125,29493.275390625,35153.5390625,24428.771484375,63790.71484375,70383.09375,62037.77734375,85030.609375,12379.8515625,51010.4921875,25418.216796875,25262.16796875
6,7-Jan-13,3:00,29065.99609375,13685.4677734375,22138.453125,28032.5703125,36367.64453125,23558.61328125,64896.99609375,68950.59375,63249.75390625,83156.28125,13104.08203125,50652.375,24009.64453125,25276.173828125
7,7-Jan-13,3:30,29000.1875,12618.841796875,22236.318359375,28122.548828125,35715.03125,23686.7578125,64134.85546875,66901.890625,62981.16015625,81876.4453125,12235.1064453125,50536.35546875,22567.55859375,23793.701171875
8,7-Jan-13,4:00,28712.6484375,13397.4150390625,22705.947265625,28563.060546875,37803.89453125,19411.830078125,65209.18359375,63878.8046875,64893.875,79121.609375,13003.92578125,46709.1015625,23661.791015625,24583.94921875
9,7-Jan-13,4:30,28250.814453125,13284.255859375,23447.76953125,28144.841796875,36604.68359375,18387.46875,66223.140625,64669.76953125,63457.41796875,78302.765625,12904.0263671875,47643.40625,23331.671875,24699.986328125
10,7-Jan-13,5:00,29517.453125,14527.353515625,21815.0546875,28777.19140625,36645.21875,18673.5234375,66645.234375,62853.40234375,63573.44921875,77604.6328125,14408.4951171875,44874.51171875,22665.509765625,23095.46875
11,7-Jan-13,5:30,35168.8515625,17236.57421875,21684.703125,32054.02734375,42527.18359375,18593.68359375,74917.4140625,61401.88671875,72989.8515625,82450.3359375,15486.8251953125,46276.91015625,21759.32421875,22387.21484375
