step,date_label,profile_time,v_632_A_rms_V,v_632_B_rms_V,v_632_C_rms_V,v_633_A_rms_V,v_633_B_rms_V,v_633_C_rms_V,v_634_A_rms_V,v_634_B_rms_V,v_634_C_rms_V,v_645_B_rms_V,v_645_C_rms_V,v_646_B_rms_V,v_646_C_rms_V,v_652_A_rms_V,v_671_A_rms_V,v_671_B_rms_V,v_671_C_rms_V,v_675_A_rms_V,v_675_B_rms_V,v_675_C_rms_V,v_680_A_rms_V,v_680_B_rms_V,v_680_C_rms_V,v_684_A_rms_V,v_684_C_rms_V,v_692_A_rms_V,v_692_B_rms_V,v_692_C_rms_V,v_611_C_rms_V
1,7-Jan-13,0:30,2460.8935546875,2460.8935546875,2462.223388671875,2459.71630859375,2460.397705078125,2461.617919921875,282.9690856933594,283.4507751464844,283.4039306640625,2457.2109375,2461.369140625,2456.568115234375,2460.734619140625,2357.62939453125,2360.82568359375,2448.468505859375,2427.21728515625,2357.5751953125,2448.93212890625,2426.07421875,2360.82568359375,2448.46875,2427.21728515625,2360.017333984375,2426.290283203125,2360.82568359375,2448.46875,2427.21484375,2425.28271484375
2,7-Jan-13,1:00,2460.8935546875,2460.8935546875,2460.8935546875,2459.8583984375,2460.466552734375,2460.283203125,283.08001708984375,283.5124206542969,283.4157409667969,2457.6318359375,2460.097412109375,2457.0400390625,2459.493896484375,2363.82470703125,2367.1767578125,2449.009765625,2427.223876953125,2364.081298828125,2449.48828125,2425.982421875,2367.1767578125,2449.009765625,2427.223876953125,2366.3291015625,2426.27685546875,2367.175537109375,2449.009765625,2427.223876953125,2426.557861328125
3,7-Jan-13,1:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.978759765625,2460.562255859375,2460.3486328125,283.18206787109375,283.59814453125,283.4814147949219,2458.1337890625,2460.1494140625,2457.59326171875,2459.602783203125,2377.743408203125,2380.48046875,2450.548828125,2430.542724609375,2377.7763671875,2451.0224609375,2430.823486328125,2380.48046875,2450.548583984375,2430.542724609375,2379.794921875,2430.968017578125,2380.48046875,2450.548583984375,2431.85791015625,2428.697509765625
4,7-Jan-13,2:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.075927734375,2460.530517578125,2460.34326171875,283.2522277832031,283.5808410644531,283.48236083984375,2458.408203125,2460.0751953125,2457.838134765625,2459.5009765625,2385.466552734375,2387.77294921875,2449.858642578125,2432.695556640625,2385.396240234375,2450.18017578125,2431.766357421875,2387.77294921875,2449.858642578125,2432.695556640625,2387.197021484375,2431.8779296875,2387.774658203125,2449.858642578125,2432.695556640625,2431.0029296875
5,7-Jan-13,2:30,2462.223388671875,2460.8935546875,2460.8935546875,2461.50341796875,2460.657470703125,2460.32275390625,283.3333435058594,283.68194580078125,283.4835205078125,2458.614990234375,2460.2568359375,2458.156494140625,2459.7958984375,2387.844970703125,2390.63427734375,2451.609619140625,2432.908447265625,2388.295654296875,2452.074462890625,2431.888916015625,2390.63427734375,2451.609619140625,2432.909912109375,2389.923583984375,2432.184814453125,2390.63427734375,2451.609619140625,2432.909912109375,2431.391357421875
6,7-Jan-13,3:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.174560546875,2460.63330078125,2460.3251953125,283.3323059082031,283.66412353515625,283.4836730957031,2458.663330078125,2460.224853515625,2458.188720703125,2459.742919921875,2388.9833984375,2391.667724609375,2451.2646484375,2433.1337890625,2389.39208984375,2451.69384765625,2432.118896484375,2391.667724609375,2451.2646484375,2433.133544921875,2390.98486328125,2432.406005859375,2391.667724609375,2451.2646484375,2433.133544921875,2431.6123046875
7,7-Jan-13,3:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.173583984375,2460.664306640625,2460.318603515625,283.3333740234375,283.6867980957031,283.48095703125,2458.6728515625,2460.2392578125,2458.206787109375,2459.783935546875,2389.910400390625,2392.610595703125,2451.546142578125,2433.568115234375,2390.370849609375,2451.99267578125,2432.544189453125,2392.610595703125,2451.546142578125,2433.568115234375,2391.91943359375,2432.88720703125,2392.609619140625,2451.546142578125,2433.568115234375,2432.1396484375
8,7-Jan-13,4:00,2460.8935546875,2462.223388671875,2460.8935546875,2460.185791015625,2461.97216796875,2460.306396484375,283.3399353027344,283.8236083984375,283.47113037109375,2458.60498046875,2460.1962890625,2459.43994140625,2459.722412109375,2392.581298828125,2394.77490234375,2452.37109375,2434.249267578125,2392.609375,2451.427978515625,2433.332763671875,2394.77490234375,2452.37109375,2434.249267578125,2394.200439453125,2433.532958984375,2394.7529296875,2452.37109375,2434.249267578125,2432.76220703125
9,7-Jan-13,4:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.201171875,2460.646484375,2460.283447265625,283.3500061035156,283.6728210449219,283.60833740234375,2458.6533203125,2460.22021484375,2458.17578125,2459.7333984375,2393.731201171875,2395.81787109375,2450.78125,2434.1025390625,2393.6826171875,2451.166748046875,2433.151611328125,2395.81787109375,2450.78125,2434.1025390625,2395.298095703125,2433.380126953125,2395.81787109375,2450.780029296875,2434.1025390625,2432.60546875
10,7-Jan-13,5:00,2460.8935546875,2460.8935546875,2462.223388671875,2460.1630859375,2460.609375,2461.66748046875,283.3228454589844,283.6462707519531,283.4907531738281,2458.619140625,2460.221923828125,2458.14111328125,2459.754638671875,2394.94873046875,2397.072509765625,2450.54736328125,2435.01904296875,2393.658447265625,2450.864990234375,2434.16015625,2395.778076171875,2450.54736328125,2435.01904296875,2395.245361328125,2434.347412109375,2395.778076171875,2450.54736328125,2435.01904296875,2433.623291015625
