step,date_label,profile_time,v_632_A_rms_V,v_632_B_rms_V,v_632_C_rms_V,v_633_A_rms_V,v_633_B_rms_V,v_633_C_rms_V,v_634_A_rms_V,v_634_B_rms_V,v_634_C_rms_V,v_645_B_rms_V,v_645_C_rms_V,v_646_B_rms_V,v_646_C_rms_V,v_652_A_rms_V,v_671_A_rms_V,v_671_B_rms_V,v_671_C_rms_V,v_675_A_rms_V,v_675_B_rms_V,v_675_C_rms_V,v_680_A_rms_V,v_680_B_rms_V,v_680_C_rms_V,v_684_A_rms_V,v_684_C_rms_V,v_692_A_rms_V,v_692_B_rms_V,v_692_C_rms_V,v_611_C_rms_V
1,7-Jan-13,0:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.717041015625,2460.397705078125,2461.61767578125,282.9696044921875,283.4507751464844,283.4039001464844,2457.2109375,2461.368896484375,2456.568115234375,2460.728271484375,2357.62744140625,2360.82568359375,2448.468505859375,2427.215087890625,2357.5751953125,2448.931884765625,2426.07080078125,2360.82666015625,2448.468505859375,2427.21240234375,2360.0185546875,2426.28515625,2360.832275390625,2448.47021484375,2427.214111328125,2425.281005859375
2,7-Jan-13,1:00,2460.8935546875,2460.8935546875,2460.8935546875,2459.8583984375,2460.46630859375,2460.283203125,283.08001708984375,283.51239013671875,283.4157409667969,2457.6318359375,2460.097412109375,2457.0400390625,2460.855224609375,2363.83203125,2367.176513671875,2449.009765625,2427.223876953125,2364.080078125,2449.48828125,2425.982421875,2367.175537109375,2449.009765625,2427.223876953125,2366.3291015625,2426.27685546875,2367.175537109375,2449.010009765625,2427.223876953125,2426.557861328125
3,7-Jan-13,1:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.978515625,2460.562255859375,2460.3486328125,283.18206787109375,283.59814453125,283.4814147949219,2458.1337890625,2460.1494140625,2457.59326171875,2459.61279296875,2377.734619140625,2380.480712890625,2450.548828125,2431.85791015625,2377.77685546875,2451.022705078125,2429.510498046875,2380.480712890625,2450.548828125,2430.54296875,2379.795166015625,2429.653564453125,2380.477294921875,2450.548828125,2430.54296875,2430.008544921875
4,7-Jan-13,2:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.076171875,2460.53076171875,2460.34326171875,283.2522277832031,283.5810241699219,283.48236083984375,2458.408203125,2460.07666015625,2457.837890625,2459.51318359375,2385.45751953125,2387.774658203125,2449.858642578125,2432.695556640625,2385.398193359375,2450.18017578125,2431.766357421875,2387.774658203125,2449.858642578125,2432.695556640625,2387.19873046875,2433.191162109375,2387.774658203125,2449.858642578125,2434.00927734375,2431.002197265625
5,7-Jan-13,2:30,2462.223388671875,2460.8935546875,2460.8935546875,2461.50341796875,2460.657470703125,2460.32275390625,283.3333435058594,283.68194580078125,283.4835510253906,2458.614990234375,2460.2568359375,2458.155029296875,2459.796875,2387.8447265625,2390.63427734375,2451.609619140625,2432.909912109375,2388.295654296875,2452.074462890625,2431.890380859375,2390.628662109375,2451.609619140625,2432.909912109375,2389.91796875,2432.18505859375,2390.628662109375,2451.60791015625,2432.909912109375,2431.391357421875
6,7-Jan-13,3:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.1748046875,2460.63330078125,2460.32470703125,283.3323059082031,283.66412353515625,283.4834289550781,2458.663330078125,2460.224853515625,2458.188720703125,2459.755126953125,2388.97265625,2391.667724609375,2451.2646484375,2433.133544921875,2389.391845703125,2451.693603515625,2432.119140625,2391.677001953125,2451.264892578125,2433.1337890625,2390.994384765625,2432.40771484375,2391.672607421875,2451.264892578125,2433.13525390625,2431.61376953125
7,7-Jan-13,3:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.173583984375,2460.664306640625,2460.318603515625,283.3333740234375,283.840087890625,283.48095703125,2458.6728515625,2460.2392578125,2458.206787109375,2459.77294921875,2389.904541015625,2392.610595703125,2451.546142578125,2433.56787109375,2390.369873046875,2451.99267578125,2432.5439453125,2392.609619140625,2451.546142578125,2433.56787109375,2391.91943359375,2432.886962890625,2392.609619140625,2451.548828125,2433.56787109375,2432.139404296875
8,7-Jan-13,4:00,2460.8935546875,2462.223388671875,2460.8935546875,2460.185791015625,2461.97216796875,2460.306396484375,283.3399353027344,283.6703186035156,283.47113037109375,2459.934326171875,2460.1962890625,2459.44140625,2459.710693359375,2392.568603515625,2394.77490234375,2452.37109375,2434.249267578125,2392.586181640625,2452.753173828125,2433.33154296875,2394.752197265625,2451.046875,2434.247802734375,2394.199462890625,2433.531494140625,2394.752197265625,2451.046875,2434.24755859375,2432.760498046875
9,7-Jan-13,4:30,2460.8935546875,2462.223388671875,2460.8935546875,2460.201171875,2460.646484375,2460.283447265625,283.3500061035156,283.6728210449219,283.4551696777344,2459.981201171875,2460.220458984375,2459.503173828125,2459.74267578125,2393.766357421875,2395.84033203125,2450.780029296875,2434.104248046875,2393.706298828125,2451.165283203125,2433.153076171875,2395.84033203125,2452.105224609375,2434.104248046875,2395.32080078125,2433.381591796875,2395.84033203125,2452.105224609375,2434.10400390625,2432.60693359375
10,7-Jan-13,5:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.1630859375,2460.609375,2460.337890625,283.3228454589844,283.6462707519531,283.6439514160156,2459.948486328125,2460.221923828125,2458.141845703125,2459.74951171875,2393.681884765625,2395.80029296875,2451.871337890625,2435.020263671875,2393.68212890625,2450.864501953125,2434.161376953125,2395.80029296875,2451.871337890625,2435.020263671875,2395.24609375,2434.348876953125,2395.77880859375,2451.871337890625,2435.020263671875,2433.624755859375
