step,day,k,p_load_fc_646_kw,p_pv_fc_646_kw,p_load_646_kw,p_pv_646_kw,baseline_grid_646_kw,battery_646_kw,battery_action,grid_646_kw,grid_646_forecast_kw,soc_predicted_pct,soc_measured_pct,feeder_baseline_grid_kw,feeder_grid_with_cil_kw,mpc_status
1,1,1,49.248,0.024,49.248,0.024,49.224,-19.715,Charge,68.939,68.939,50.9664,50.0,770.206,789.921,optimal
2,1,2,45.32,0.0,45.32,0.0,45.32,-23.7292,Charge,69.0492,69.0492,51.1632,50.0,727.468,751.1972,optimal
3,1,3,41.396,0.0,41.396,0.0,41.396,-27.7563,Charge,69.1523,69.1523,51.3606,50.0,628.38,656.1363,optimal
4,1,4,43.692,0.012,43.692,0.012,43.68,-25.4515,Charge,69.1315,69.1315,51.2476,50.0,587.572,613.0235,optimal
5,1,5,35.162,0.012,35.162,0.012,35.15,-33.8384,Charge,68.9884,68.9884,51.6587,50.0,548.196,582.0344,optimal
6,1,6,36.362,0.002,36.362,0.002,36.36,-32.7619,Charge,69.1219,69.1219,51.606,50.0,546.016,578.7779,optimal
7,1,7,35.708,0.0,35.708,0.0,35.708,-33.4735,Charge,69.1815,69.1815,51.6409,50.0,536.282,569.7555,optimal
8,1,8,37.79,0.0,37.79,0.0,37.79,-31.462,Charge,69.252,69.252,51.5423,50.0,531.506,562.968,optimal
9,1,9,36.592,0.0,36.592,0.0,36.592,-32.6788,Charge,69.2708,69.2708,51.6019,50.0,529.184,561.8628,optimal
10,1,10,36.644,0.012,36.644,0.012,36.632,-32.7476,Charge,69.3796,69.3796,51.6053,50.0,525.534,558.2816,optimal
11,1,11,42.512,0.0,42.512,0.0,42.512,-26.9075,Charge,69.4195,69.4195,51.319,50.0,564.806,591.7135,optimal
12,1,12,46.514,0.012,46.514,0.012,46.502,-22.826,Charge,69.328,69.328,51.1189,50.0,582.732,605.558,optimal
13,1,13,45.304,0.324,45.304,0.324,44.98,-24.3188,Charge,69.2988,69.2988,51.1921,50.0,580.33,604.6488,optimal
14,1,14,47.144,3.512,47.144,3.512,43.632,-25.8013,Charge,69.4333,69.4333,51.2648,50.0,588.626,614.4273,optimal
