Node,Phase,Nominal_V,Min_V,Min_pu,Max_V,Max_pu,UnderVoltage,OverVoltage,WorstType,WorstVoltage_V,WorstTime,RelevantLimit_V,ViolationMagnitude_V
634,A,277,280.402160644531,1.01228216839181,284.255737304688,1.02619399748985,0,0,NONE,NaN,NaT,NaN,0
634,B,277,281.678558349609,1.01689010234516,284.068328857422,1.02551743269827,0,0,NONE,NaN,NaT,NaN,0
634,C,277,281.746643066406,1.01713589554659,284.244415283203,1.02615312376608,0,0,NONE,NaN,NaT,NaN,0
611,C,2401,2285.03637695312,0.951701947918836,2454.93725585938,1.02246449640124,0,0,NONE,NaN,NaT,NaN,0
632,B,2401,2460.89331054688,1.02494515224776,2462.22338867188,1.02549912064635,0,0,NONE,NaN,NaT,NaN,0
632,A,2401,2460.89331054688,1.02494515224776,2462.22338867188,1.02549912064635,0,0,NONE,NaN,NaT,NaN,0
632,C,2401,2460.89331054688,1.02494515224776,2462.22338867188,1.02549912064635,0,0,NONE,NaN,NaT,NaN,0
633,A,2401,2456.57373046875,1.02314607682997,2462.55395507812,1.02563679928285,0,0,NONE,NaN,NaT,NaN,0
633,B,2401,2458.34008789062,1.02388175255753,2462.20458984375,1.02549129106362,0,0,NONE,NaN,NaT,NaN,0
633,C,2401,2458.63208007812,1.02400336529701,2462.66625976562,1.02568357341342,0,0,NONE,NaN,NaT,NaN,0
645,B,2401,2446.169921875,1.01881296204706,2462.22338867188,1.02549912064635,0,0,NONE,NaN,NaT,NaN,0
645,C,2401,2457.11108398438,1.02336988087646,2463.30053710938,1.02594774556825,0,0,NONE,NaN,NaT,NaN,0
646,B,2401,2442.07861328125,1.0171089601338,2462.22338867188,1.02549912064635,0,0,NONE,NaN,NaT,NaN,0
646,C,2401,2454.29077148438,1.02219524010178,2464.39233398438,1.02640247146371,0,0,NONE,NaN,NaT,NaN,0
652,A,2401,1946.15698242188,0.810561008922064,2465.04711914062,1.02667518498152,1,0,UNDER,1946.15698242188,09-Jan-0013 01:22:30,2280.95,334.793017578125
671,A,2401,1962.87194824219,0.817522677318695,2465.04516601562,1.02667437151838,1,0,UNDER,1962.87194824219,09-Jan-0013 01:22:30,2280.95,318.078051757812
671,B,2401,2360.89868164062,0.983298076485058,2457.900390625,1.02369862166806,0,0,NONE,NaN,NaT,NaN,0
671,C,2401,2294.61596679688,0.955691781256508,2454.93725585938,1.02246449640124,0,0,NONE,NaN,NaT,NaN,0
675,A,2401,1945.25964355469,0.810187273450515,2465.04516601562,1.02667437151838,1,0,UNDER,1945.25964355469,09-Jan-0013 01:22:30,2280.95,335.690356445312
675,B,2401,2358.57006835938,0.982328225055966,2457.900390625,1.02369862166806,0,0,NONE,NaN,NaT,NaN,0
675,C,2401,2290.63159179688,0.954032316450177,2454.93725585938,1.02246449640124,0,0,NONE,NaN,NaT,NaN,0
680,A,2401,1962.87194824219,0.817522677318695,2465.04516601562,1.02667437151838,1,0,UNDER,1962.87194824219,09-Jan-0013 01:22:30,2280.95,318.078051757812
680,B,2401,2360.89868164062,0.983298076485058,2457.900390625,1.02369862166806,0,0,NONE,NaN,NaT,NaN,0
680,C,2401,2294.61596679688,0.955691781256508,2454.93725585938,1.02246449640124,0,0,NONE,NaN,NaT,NaN,0
684,A,2401,1958.34008789062,0.815635188625833,2465.04516601562,1.02667437151838,1,0,UNDER,1958.34008789062,09-Jan-0013 01:22:30,2280.95,322.609912109375
684,C,2401,2290.27075195312,0.953882029134996,2454.93725585938,1.02246449640124,0,0,NONE,NaN,NaT,NaN,0
692,A,2401,1962.87194824219,0.817522677318695,2465.04516601562,1.02667437151838,1,0,UNDER,1962.87194824219,09-Jan-0013 01:22:30,2280.95,318.078051757812
692,B,2401,2360.89868164062,0.983298076485058,2457.900390625,1.02369862166806,0,0,NONE,NaN,NaT,NaN,0
692,C,2401,2294.61596679688,0.955691781256508,2454.93725585938,1.02246449640124,0,0,NONE,NaN,NaT,NaN,0
