StartTime,EndTime
07-Jan-0013 10:45:00,08-Jan-0013 01:30:00
09-Jan-0013 11:00:00,09-Jan-0013 11:00:00
09-Jan-0013 11:45:00,09-Jan-0013 12:15:00
09-Jan-0013 12:45:00,09-Jan-0013 13:15:00
09-Jan-0013 14:00:00,09-Jan-0013 14:00:00
09-Jan-0013 15:15:00,09-Jan-0013 15:30:00
09-Jan-0013 16:45:00,09-Jan-0013 16:45:00
09-Jan-0013 17:30:00,09-Jan-0013 23:15:00
09-Jan-0013 23:45:00,09-Jan-0013 23:45:00
10-Jan-0013 00:30:00,10-Jan-0013 00:30:00
10-Jan-0013 01:00:00,10-Jan-0013 01:00:00
10-Jan-0013 10:45:00,10-Jan-0013 10:45:00
10-Jan-0013 11:15:00,10-Jan-0013 12:15:00
10-Jan-0013 12:45:00,10-Jan-0013 12:45:00
10-Jan-0013 13:15:00,10-Jan-0013 15:00:00
10-Jan-0013 15:30:00,10-Jan-0013 15:30:00
10-Jan-0013 16:00:00,10-Jan-0013 23:15:00
10-Jan-0013 23:45:00,11-Jan-0013 00:45:00
11-Jan-0013 01:15:00,11-Jan-0013 01:15:00
11-Jan-0013 10:30:00,11-Jan-0013 10:30:00
11-Jan-0013 11:00:00,11-Jan-0013 14:00:00
11-Jan-0013 14:30:00,11-Jan-0013 14:45:00
11-Jan-0013 15:15:00,11-Jan-0013 15:45:00
11-Jan-0013 16:15:00,11-Jan-0013 23:15:00
