Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
0.0,125268.0546875,15199.3232421875,15232.5068359375,15200.3173828125,131203.390625,227682.1875,115899.1171875,208526.796875
0.25,125474.890625,15213.8134765625,15235.017578125,15235.5908203125,131447.671875,228291.546875,115482.34375,207382.34375
0.5,125414.796875,15219.2177734375,15227.322265625,15228.2861328125,131381.84375,228171.65625,115497.7734375,207274.859375
0.75,125394.8125,15221.2890625,15224.6982421875,15225.8759765625,131360.34375,228138.453125,115503.84375,207238.703125
1.0,125386.375,15222.0830078125,15223.736328125,15224.849609375,131350.03125,228124.3125,115506.15625,207223.296875
1.25,125383.0859375,15222.3876953125,15223.3115234375,15224.4521484375,131347.640625,228124.859375,115507.03125,207217.375
1.5,125381.8125,15222.5009765625,15223.1650390625,15224.30078125,131348.109375,228123.203125,115507.2421875,207214.984375
1.75,125381.3203125,15222.5439453125,15223.1103515625,15224.2412109375,131346.515625,228119.921875,115507.4453125,207214.171875
2.0,125140.25,15217.69921875,15207.6015625,15194.927734375,131213.796875,227691.078125,115476.6875,206973.1875
2.25,125381.0625,15222.5771484375,15223.0673828125,15224.2109375,131343.765625,228117.390625,115507.671875,207213.859375
2.5,125381.03125,15222.578125,15223.06640625,15224.208984375,131348.59375,228120.96875,115507.7421875,207213.84375
2.75,125381.0625,15222.578125,15223.0693359375,15224.2119140625,131349.84375,228124.1875,115507.5625,207213.65625
3.0,125381.0390625,15222.5751953125,15223.0703125,15224.208984375,131351.1875,228112.84375,115507.328125,207213.65625
3.25,125381.0390625,15222.57421875,15223.072265625,15224.2060546875,131353.5,228117.203125,115507.609375,207213.578125
3.5,125381.0625,15222.5712890625,15223.0751953125,15224.2060546875,131350.28125,228112.71875,115507.53125,207213.5
3.75,125381.015625,15222.572265625,15223.0732421875,15224.2080078125,131345.0,228114.40625,115507.484375,207213.609375
4.0,125381.015625,15222.5732421875,15223.07421875,15224.2021484375,131343.546875,228114.609375,115507.515625,207213.578125
4.25,125381.046875,15222.5791015625,15223.0625,15224.2099609375,131341.109375,228112.359375,115507.4609375,207213.65625
4.5,125381.1015625,15222.5771484375,15223.064453125,15224.2119140625,131350.0,228115.5,115507.59375,207213.765625
4.75,125381.0546875,15222.5751953125,15223.0673828125,15224.2109375,131349.171875,228115.953125,115507.59375,207213.734375
5.0,125381.0703125,15222.5732421875,15223.068359375,15224.2001953125,131346.359375,228107.640625,115507.7109375,207213.65625
5.25,125381.0546875,15222.5712890625,15223.0712890625,15224.208984375,131345.0625,228110.03125,115507.453125,207213.59375
5.5,125381.046875,15222.5732421875,15223.0703125,15224.2060546875,131347.859375,228114.84375,115507.4921875,207213.65625
5.75,125381.0078125,15222.5732421875,15223.072265625,15224.2060546875,131343.734375,228117.3125,115507.5703125,207213.46875
6.0,125381.015625,15222.5732421875,15223.0751953125,15224.2109375,131348.46875,228125.578125,115507.4375,207213.4375
6.25,125381.0390625,15222.5703125,15223.0791015625,15224.20703125,131344.9375,228115.53125,115507.53125,207213.5625
6.5,125140.140625,15217.7060546875,15207.5947265625,15194.9208984375,131214.578125,227698.5,115476.546875,206972.953125
6.75,125381.0546875,15222.572265625,15223.0673828125,15224.2119140625,131344.109375,228117.71875,115507.6328125,207213.796875
7.0,125381.015625,15222.5712890625,15223.0693359375,15224.208984375,131349.234375,228114.5,115507.6328125,207213.59375
7.25,125381.03125,15222.572265625,15223.0673828125,15224.2021484375,131347.984375,228110.015625,115507.5234375,207213.65625
7.5,125381.0546875,15222.572265625,15223.0673828125,15224.2099609375,131344.90625,228116.1875,115507.5546875,207213.625
7.75,125381.046875,15222.5703125,15223.0732421875,15224.2109375,131350.640625,228118.578125,115507.5625,207213.546875
8.0,125381.0546875,15222.568359375,15223.076171875,15224.2109375,131347.984375,228121.890625,115507.5625,207213.671875
8.25,125381.0546875,15222.5654296875,15223.0791015625,15224.2158203125,131347.875,228113.5,115507.625,207213.5625
8.5,125381.0234375,15222.564453125,15223.080078125,15224.2080078125,131345.375,228111.8125,115507.5078125,207213.484375
8.75,125140.1328125,15217.703125,15207.59375,15194.91796875,131213.484375,227691.5625,115476.390625,206972.9375
9.0,125381.03125,15222.572265625,15223.06640625,15224.208984375,131346.859375,228122.828125,115507.609375,207213.703125
