Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
0.0,212791.890625,126422.6953125,218718.203125,208187.59375,116572.0,125532.078125
0.25,212502.078125,126670.8828125,219463.3125,207388.359375,116154.9296875,125737.140625
0.5,212425.28125,126609.65625,219358.59375,207281.015625,116170.421875,125676.7265625
0.75,212395.703125,126588.3671875,219321.96875,207244.859375,116176.5703125,125656.640625
1.0,212384.421875,126580.625,219308.578125,207229.4375,116178.9140625,125648.1640625
1.25,212380.09375,126577.140625,219302.546875,207223.5,116179.8125,125644.859375
1.5,212378.234375,126575.9609375,219300.515625,207221.15625,116180.0234375,125643.578125
1.75,212377.71875,126575.515625,219299.75,207220.234375,116180.2265625,125643.078125
2.0,212316.328125,126445.7109375,218892.015625,206982.21875,116148.9609375,125401.34375
2.25,212377.484375,126575.1640625,219299.1875,207219.96875,116180.453125,125642.8203125
2.5,212377.53125,126575.109375,219299.125,207219.96875,116180.515625,125642.796875
2.75,212377.21875,126575.1328125,219299.171875,207219.75,116180.34375,125642.8203125
3.0,212376.9375,126575.1484375,219299.171875,207219.78125,116180.109375,125642.796875
3.25,212377.328125,126575.2421875,219299.21875,207219.75,116180.3984375,125642.796875
3.5,212377.234375,126575.234375,219299.234375,207219.609375,116180.3125,125642.8203125
3.75,212377.234375,126575.1953125,219299.203125,207219.734375,116180.265625,125642.7734375
4.0,212377.21875,126575.203125,219299.25,207219.6875,116180.2890625,125642.78125
4.25,212377.09375,126575.140625,219299.15625,207219.734375,116180.234375,125642.8125
4.5,212377.265625,126575.1328125,219299.140625,207219.875,116180.3828125,125642.859375
4.75,212377.171875,126575.125,219299.140625,207219.859375,116180.375,125642.8125
5.0,212377.375,126575.1640625,219299.140625,207219.765625,116180.4921875,125642.828125
5.25,212377.328125,126575.15625,219299.203125,207219.6875,116180.234375,125642.8125
5.5,212377.3125,126575.15625,219299.21875,207219.765625,116180.2734375,125642.8046875
5.75,212377.234375,126575.234375,219299.25,207219.59375,116180.3515625,125642.7734375
6.0,212377.0,126575.203125,219299.234375,207219.5625,116180.2109375,125642.7734375
6.25,212377.265625,126575.234375,219299.25,207219.71875,116180.3203125,125642.796875
6.5,212315.859375,126445.6015625,218891.796875,206981.984375,116148.828125,125401.2421875
6.75,212377.28125,126575.109375,219299.125,207219.953125,116180.4140625,125642.8125
7.0,212377.328125,126575.109375,219299.09375,207219.6875,116180.40625,125642.7734375
7.25,212377.109375,126575.140625,219299.203125,207219.78125,116180.296875,125642.796875
7.5,212377.265625,126575.140625,219299.1875,207219.765625,116180.328125,125642.8203125
7.75,212377.203125,126575.2109375,219299.234375,207219.65625,116180.34375,125642.8046875
8.0,212377.328125,126575.171875,219299.171875,207219.796875,116180.3515625,125642.8125
8.25,212377.390625,126575.203125,219299.1875,207219.6875,116180.40625,125642.8125
8.5,212377.234375,126575.2109375,219299.203125,207219.625,116180.2890625,125642.78125
8.75,212315.734375,126445.609375,218891.90625,206981.96875,116148.6640625,125401.2265625
9.0,212377.296875,126575.109375,219299.125,207219.828125,116180.3828125,125642.7890625
9.25,212377.140625,126575.125,219299.203125,207219.78125,116180.3125,125642.8125
9.5,212377.140625,126575.09375,219299.15625,207219.671875,116180.375,125642.828125
9.75,212377.25,126575.1953125,219299.25,207219.859375,116180.328125,125642.828125
10.0,212377.59375,126575.2265625,219299.234375,207219.859375,116180.5078125,125642.8359375
10.25,212377.390625,126575.1875,219299.140625,207219.78125,116180.3828125,125642.765625
10.5,212377.203125,126575.1640625,219299.171875,207219.625,116180.25,125642.7734375
10.75,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0
12.75,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
13.25,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0
13.75,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
14.25,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0,0.0,0.0,0.0
14.75,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
15.25,0.0,0.0,0.0,0.0,0.0,0.0
15.5,83053.15625,18294.87890625,74126.375,81670.8359375,101965.21875,52015.78125
15.75,85016.3359375,18451.771484375,74974.6875,85014.171875,103323.359375,54049.63671875
16.0,85007.578125,18451.2578125,74998.8984375,84987.3515625,103320.546875,54050.63671875
16.25,85005.2734375,18444.890625,74999.65625,85015.375,103318.0078125,54028.52734375
16.5,85006.2421875,18451.125,75000.0,85017.609375,103320.78125,54050.85546875
16.75,85004.8984375,18451.58203125,74999.5390625,85015.3984375,103316.4453125,54049.68359375
17.0,85005.9453125,18451.34375,74999.734375,85015.5,103319.21875,54050.21484375
17.25,85000.5390625,18451.333984375,74999.7578125,85016.1640625,103318.7421875,54050.23046875
17.5,80967.1484375,18450.6328125,81972.8671875,78015.890625,105275.1328125,60053.23828125
17.75,80938.84375,18435.580078125,81910.984375,77903.21875,105230.4765625,59976.125
18.0,80999.7734375,18451.4765625,81981.7578125,78005.8515625,105319.875,60058.73046875
18.25,80999.578125,18451.330078125,81992.7421875,77979.234375,105320.84375,60058.16015625
18.5,80998.6875,18451.375,82009.046875,78005.0546875,105319.2890625,60034.04296875
18.75,80999.4609375,18447.966796875,82008.5703125,78003.84375,105320.359375,60055.546875
19.0,80999.8984375,18451.4921875,82009.40625,78005.765625,105319.4921875,60057.92578125
19.25,81000.8125,18451.361328125,82009.4140625,78005.84375,105322.140625,60058.18359375
19.5,80997.5,16447.037109375,82014.3203125,79017.8203125,104322.3828125,58045.30859375
19.75,80962.828125,16448.810546875,82009.3671875,79008.1953125,104268.6796875,58055.03515625
20.0,80945.359375,16434.5234375,81911.46875,78903.3828125,104239.1875,57977.3828125
20.25,80999.9375,16448.900390625,81981.3671875,78993.25,104318.890625,58056.29296875
20.5,81001.0,16448.85546875,81992.6953125,78980.5859375,104320.2109375,58055.84765625
