Time,Node 632.Probe1
0.0,1631454.25
1.0,1584805.5
2.0,1753473.0
3.0,1553897.0
4.0,1762403.0
5.0,1551904.25
6.0,1636941.75
7.0,1709977.0
8.0,1586303.5
9.0,1585217.0
10.0,194017.40625
11.0,226262.4375
12.0,232075.109375
13.0,223820.25
14.0,232264.53125
15.0,114134.78125
16.0,121181.8046875
17.0,254204.078125
18.0,243609.015625
19.0,272505.53125
20.0,218702.328125
21.0,264689.25
22.0,274949.25
23.0,203378.78125
24.0,132313.65625
25.0,270336.46875
26.0,258180.953125
27.0,274132.6875
28.0,200212.953125
29.0,177267.78125
30.0,115236.1171875
31.0,227284.078125
32.0,271188.5
33.0,198069.1875
34.0,278393.53125
35.0,269732.625
36.0,229265.1875
37.0,227304.921875
38.0,272589.875
39.0,194407.84375
40.0,139558.375
41.0,102120.390625
42.0,114807.0859375
43.0,-135822.546875
44.0,-176221.953125
45.0,-103456.9453125
46.0,-179112.546875
47.0,-140208.3125
48.0,-36212.4375
49.0,-73611.171875
50.0,-158482.25
51.0,-177076.34375
52.0,-15336.98046875
53.0,-16659.646484375
54.0,-106195.484375
55.0,-168401.796875
56.0,-145443.125
57.0,-149162.5625
58.0,-17795.64453125
59.0,-180446.859375
60.0,-47772.08984375
61.0,-32870.921875
62.0,-27121.03125
63.0,-176413.453125
64.0,-113150.5078125
65.0,-90033.203125
66.0,-78058.5546875
67.0,-148566.5625
68.0,-63179.1796875
69.0,-64133.015625
70.0,-103092.6640625
71.0,-294596.375
72.0,-401773.75
73.0,-384739.09375
74.0,-403528.1875
75.0,-371662.21875
76.0,-399476.4375
77.0,-318647.71875
78.0,-417122.0625
79.0,-394466.84375
80.0,-288188.46875
81.0,-270645.78125
82.0,-285644.5
83.0,-349630.3125
84.0,-342652.4375
85.0,-339074.90625
86.0,-406924.375
87.0,-401674.375
88.0,-283693.21875
89.0,-387042.875
90.0,-241580.625
91.0,-310160.21875
92.0,-250490.140625
93.0,-241514.046875
94.0,-358759.25
95.0,-85790.71875
96.0,-12060.4072265625
97.0,-15809.044921875
98.0,-46403.81640625
99.0,-54640.78515625
100.0,-50192.9296875
101.0,-73712.0625
102.0,-80043.3359375
103.0,259302.25
104.0,136811.859375
105.0,145254.28125
106.0,123791.453125
107.0,112376.9921875
108.0,106313.5078125
109.0,129806.7109375
110.0,272031.4375
111.0,593461.0625
112.0,571593.125
113.0,742014.3125
114.0,610152.625
115.0,644659.6875
116.0,726496.9375
117.0,592967.125
118.0,562469.6875
119.0,581820.0
120.0,651249.25
121.0,701888.375
122.0,559278.6875
123.0,657229.375
124.0,736346.625
125.0,742299.0625
126.0,638683.6875
127.0,725577.3125
128.0,707193.1875
129.0,745040.875
130.0,701831.9375
131.0,579160.0
132.0,733054.625
133.0,569358.1875
134.0,711421.4375
135.0,725708.9375
136.0,701891.0625
137.0,697917.9375
138.0,571590.0625
139.0,46976.65625
140.0,112497.9453125
141.0,142272.640625
142.0,165498.71875
143.0,55736.984375
144.0,212932.453125
145.0,114585.3046875
146.0,50117.77734375
147.0,43854.7109375
148.0,144392.21875
149.0,79871.6015625
150.0,52512.69921875
151.0,89391.8046875
152.0,58259.41015625
153.0,164574.296875
154.0,190243.078125
155.0,209210.03125
156.0,132541.3125
157.0,153917.53125
158.0,51326.875
159.0,127907.4765625
160.0,182703.59375
161.0,76948.265625
162.0,53381.09375
163.0,112181.015625
164.0,107121.359375
165.0,147320.984375
166.0,231773.28125
167.0,303750.25
168.0,258426.953125
169.0,330564.03125
170.0,326248.03125
171.0,378517.9375
172.0,268204.9375
173.0,330210.46875
174.0,334950.5
175.0,239403.234375
176.0,359864.3125
177.0,212688.5625
178.0,248486.25
179.0,249292.84375
180.0,297763.8125
181.0,381904.96875
182.0,216273.890625
183.0,319512.5625
184.0,375705.71875
185.0,277518.59375
186.0,367312.4375
187.0,200160.90625
188.0,261677.171875
189.0,283449.8125
190.0,308270.25
191.0,2173905.0
192.0,2274840.5
193.0,2339703.0
194.0,2351418.25
195.0,2347376.75
196.0,2268004.0
197.0,2148123.25
198.0,2294381.75
199.0,2119329.75
200.0,2147990.5
201.0,2151233.5
202.0,2358017.0
203.0,2106322.0
204.0,2298469.0
205.0,2349833.25
206.0,2191946.75
207.0,491339.71875
208.0,436213.09375
209.0,407319.59375
210.0,358699.1875
211.0,416277.875
212.0,507906.25
213.0,346580.03125
214.0,352162.0625
215.0,503226.96875
216.0,353625.09375
217.0,507163.40625
218.0,380849.40625
219.0,432292.15625
220.0,362403.75
221.0,371912.125
222.0,417870.375
223.0,495562.3125
224.0,417510.90625
225.0,436703.15625
226.0,490192.8125
227.0,391699.65625
228.0,421860.09375
229.0,429926.84375
230.0,478882.625
231.0,410347.34375
232.0,468135.53125
233.0,510602.90625
234.0,485212.90625
235.0,70251.0390625
236.0,-21844.724609375
237.0,11589.4248046875
238.0,104324.375
239.0,-9582.7177734375
240.0,-35405.33203125
241.0,-3559.337158203125
242.0,68980.0546875
243.0,-8250.02734375
244.0,-11968.25390625
245.0,-6987.8134765625
246.0,74374.703125
247.0,104044.78125
248.0,-51372.6015625
249.0,25796.828125
250.0,35354.90625
251.0,64493.1796875
252.0,33387.6640625
253.0,-20546.95703125
254.0,-58272.83203125
255.0,18464.466796875
256.0,69546.7578125
257.0,110469.4765625
258.0,93998.015625
259.0,-35344.48828125
260.0,35883.15625
261.0,70841.2578125
262.0,-64635.171875
263.0,-389342.96875
264.0,-269882.21875
265.0,-387545.0
266.0,-315970.8125
267.0,-335852.03125
268.0,-385965.9375
269.0,-287910.03125
270.0,-369804.9375
271.0,-222332.34375
272.0,-350256.90625
273.0,-246324.15625
274.0,-221341.703125
275.0,-362131.25
276.0,-212604.46875
277.0,-383620.09375
278.0,-315374.53125
279.0,-221565.3125
280.0,-214640.609375
281.0,-216583.609375
282.0,-263465.5
283.0,-248994.265625
284.0,-301083.1875
285.0,-315474.65625
286.0,34605.5859375
287.0,-61842.83984375
288.0,57555.1484375
289.0,99461.578125
290.0,-26580.7109375
291.0,84242.03125
292.0,-50695.609375
293.0,36765.82421875
294.0,398037.1875
295.0,389416.625
296.0,497461.125
297.0,423408.78125
298.0,504878.8125
299.0,428904.21875
300.0,389807.03125
301.0,484202.375
302.0,388521.375
303.0,252877.3125
304.0,221158.46875
305.0,363281.9375
306.0,306130.375
307.0,228725.859375
308.0,356710.375
309.0,385726.9375
310.0,245120.0625
311.0,318931.96875
312.0,386414.5625
313.0,270747.28125
314.0,387171.46875
315.0,233999.265625
316.0,339746.90625
317.0,218324.65625
318.0,368684.25
319.0,387488.9375
320.0,389919.53125
321.0,321325.90625
322.0,261848.671875
323.0,263953.1875
324.0,219458.75
325.0,391698.75
326.0,384439.4375
327.0,295213.40625
328.0,269354.5
329.0,217641.4375
330.0,39583.6328125
331.0,-75948.546875
332.0,42004.2578125
333.0,-113700.421875
334.0,-64269.15625
335.0,-47137.89453125
336.0,-66281.6953125
337.0,-64483.796875
338.0,25346.677734375
339.0,-124183.953125
340.0,40397.01171875
341.0,-117083.03125
342.0,-124478.0390625
343.0,-91393.1875
344.0,-129620.625
345.0,-18414.96484375
346.0,-52748.44921875
347.0,-64946.765625
348.0,-56103.5625
349.0,40707.42578125
350.0,-103755.703125
351.0,27801.830078125
352.0,-121082.0546875
353.0,-87680.8515625
354.0,-5148.2578125
355.0,-87570.6953125
356.0,-120493.234375
357.0,-11526.5751953125
358.0,-227205.84375
359.0,-375900.5
360.0,-400425.53125
361.0,-329819.875
362.0,-262695.03125
363.0,-240854.1875
364.0,-343969.9375
365.0,-233196.546875
366.0,-379322.5
367.0,-391269.96875
368.0,-288659.4375
369.0,-392632.71875
370.0,-243374.921875
371.0,-340688.0625
372.0,-285216.0625
373.0,-239108.1875
374.0,-401280.1875
375.0,-320551.90625
376.0,-309686.875
377.0,-371852.3125
378.0,-352683.15625
379.0,-319400.25
380.0,-394066.59375
381.0,-242242.796875
382.0,28018.615234375
383.0,-126491.015625
384.0,-123932.546875
385.0,-31080.46875
386.0,-105883.453125
