StartTime,EndTime
07-Jan-0013 07:30:00,07-Jan-0013 22:15:00
09-Jan-0013 07:45:00,09-Jan-0013 07:45:00
09-Jan-0013 08:30:00,09-Jan-0013 09:00:00
09-Jan-0013 09:30:00,09-Jan-0013 10:00:00
09-Jan-0013 10:45:00,09-Jan-0013 10:45:00
09-Jan-0013 12:00:00,09-Jan-0013 12:15:00
09-Jan-0013 13:30:00,09-Jan-0013 13:30:00
09-Jan-0013 14:15:00,09-Jan-0013 20:00:00
09-Jan-0013 20:30:00,09-Jan-0013 20:30:00
09-Jan-0013 21:15:00,09-Jan-0013 21:15:00
09-Jan-0013 21:45:00,09-Jan-0013 21:45:00
10-Jan-0013 07:30:00,10-Jan-0013 07:30:00
10-Jan-0013 08:00:00,10-Jan-0013 09:00:00
10-Jan-0013 09:30:00,10-Jan-0013 09:30:00
10-Jan-0013 10:00:00,10-Jan-0013 11:45:00
10-Jan-0013 12:15:00,10-Jan-0013 12:15:00
10-Jan-0013 12:45:00,10-Jan-0013 20:00:00
10-Jan-0013 20:30:00,10-Jan-0013 21:30:00
10-Jan-0013 22:00:00,10-Jan-0013 22:00:00
11-Jan-0013 07:15:00,11-Jan-0013 07:15:00
11-Jan-0013 07:45:00,11-Jan-0013 10:45:00
11-Jan-0013 11:15:00,11-Jan-0013 11:30:00
11-Jan-0013 12:00:00,11-Jan-0013 12:30:00
11-Jan-0013 13:00:00,11-Jan-0013 20:00:00
