Node,Phase,ReverseFlow,MinimumPower_kW,MaximumPower_kW,WorstReverseTime
611,C,1,-12.7683505859375,159.396875,07-Jan-0013 19:22:30
634,A,1,-10.052068359375,167.141640625,07-Jan-0013 17:15:00
634,B,1,-1.857142578125,108.7153203125,07-Jan-0013 15:18:45
634,C,1,-6.8598154296875,107.19846875,09-Jan-0013 15:30:00
645,B,1,-2.19258471679687,153.989421875,10-Jan-0013 14:56:15
646,B,1,-10.266509765625,236.982046875,07-Jan-0013 20:03:45
652,A,1,-9.8274853515625,116.3119609375,07-Jan-0013 16:41:15
692,C,1,-14.4480546875,152.75309375,11-Jan-0013 14:15:00
671,A,1,-1.09354382324219,365.2413125,07-Jan-0013 20:22:30
675,B,1,-6.57486474609375,87.5251953125,07-Jan-0013 15:33:45
671,B,1,-4.09344091796875,354.2786875,11-Jan-0013 14:15:00
675,A,1,-0.817153747558594,462.54746875,10-Jan-0013 14:22:30
675,C,1,-5.01965673828125,267.3055,07-Jan-0013 14:45:00
