Node,Phase,StartTime,EndTime
611,C,07-Jan-0013 17:37:30,07-Jan-0013 20:26:15
611,C,09-Jan-0013 16:22:30,09-Jan-0013 16:48:45
611,C,09-Jan-0013 17:22:30,09-Jan-0013 18:48:45
611,C,09-Jan-0013 19:22:30,09-Jan-0013 20:18:45
611,C,10-Jan-0013 15:52:30,10-Jan-0013 16:48:45
611,C,10-Jan-0013 17:22:30,10-Jan-0013 18:18:45
611,C,11-Jan-0013 16:15:00,11-Jan-0013 20:11:15
634,A,07-Jan-0013 15:37:30,07-Jan-0013 19:00:00
634,A,07-Jan-0013 20:00:00,07-Jan-0013 20:26:15
634,A,09-Jan-0013 15:30:00,09-Jan-0013 16:18:45
634,A,10-Jan-0013 15:22:30,10-Jan-0013 15:48:45
634,A,10-Jan-0013 17:22:30,10-Jan-0013 17:48:45
634,A,11-Jan-0013 14:45:00,11-Jan-0013 15:11:15
634,A,11-Jan-0013 16:15:00,11-Jan-0013 16:41:15
634,A,11-Jan-0013 18:15:00,11-Jan-0013 18:41:15
634,B,07-Jan-0013 15:07:30,07-Jan-0013 16:03:45
634,B,07-Jan-0013 19:30:00,07-Jan-0013 19:56:15
634,C,07-Jan-0013 14:37:30,07-Jan-0013 15:33:45
634,C,07-Jan-0013 16:37:30,07-Jan-0013 17:03:45
634,C,07-Jan-0013 17:37:30,07-Jan-0013 18:03:45
634,C,07-Jan-0013 20:00:00,07-Jan-0013 20:26:15
634,C,08-Jan-0013 12:30:00,08-Jan-0013 13:26:15
634,C,09-Jan-0013 14:30:00,09-Jan-0013 16:18:45
634,C,09-Jan-0013 18:22:30,09-Jan-0013 19:48:45
634,C,10-Jan-0013 19:52:30,10-Jan-0013 20:18:45
634,C,11-Jan-0013 14:15:00,11-Jan-0013 17:11:15
634,C,11-Jan-0013 18:45:00,11-Jan-0013 20:11:15
645,B,10-Jan-0013 14:22:30,10-Jan-0013 16:18:45
645,B,10-Jan-0013 16:52:30,10-Jan-0013 17:18:45
646,B,07-Jan-0013 15:07:30,07-Jan-0013 16:33:45
646,B,07-Jan-0013 18:07:30,07-Jan-0013 20:26:15
646,B,11-Jan-0013 17:45:00,11-Jan-0013 20:11:15
652,A,07-Jan-0013 14:37:30,07-Jan-0013 15:03:45
652,A,07-Jan-0013 15:37:30,07-Jan-0013 17:33:45
652,A,11-Jan-0013 14:15:00,11-Jan-0013 15:41:15
692,C,07-Jan-0013 15:07:30,07-Jan-0013 15:33:45
692,C,07-Jan-0013 16:07:30,07-Jan-0013 20:26:15
692,C,09-Jan-0013 14:30:00,09-Jan-0013 18:18:45
692,C,09-Jan-0013 19:22:30,09-Jan-0013 20:18:45
692,C,10-Jan-0013 14:22:30,10-Jan-0013 17:18:45
692,C,10-Jan-0013 19:52:30,10-Jan-0013 20:18:45
692,C,11-Jan-0013 14:15:00,11-Jan-0013 18:11:15
692,C,11-Jan-0013 18:45:00,11-Jan-0013 20:11:15
671,A,07-Jan-0013 20:00:00,07-Jan-0013 20:26:15
675,B,07-Jan-0013 14:37:30,07-Jan-0013 17:03:45
675,B,07-Jan-0013 19:03:45,07-Jan-0013 20:26:15
671,B,09-Jan-0013 14:30:00,09-Jan-0013 14:56:15
671,B,09-Jan-0013 19:22:30,09-Jan-0013 19:48:45
671,B,10-Jan-0013 14:22:30,10-Jan-0013 14:48:45
671,B,11-Jan-0013 14:15:00,11-Jan-0013 15:11:15
675,A,10-Jan-0013 14:22:30,10-Jan-0013 14:48:45
675,C,07-Jan-0013 14:37:30,07-Jan-0013 15:33:45
675,C,09-Jan-0013 19:22:30,09-Jan-0013 19:48:45
675,C,10-Jan-0013 19:22:30,10-Jan-0013 20:18:45
675,C,11-Jan-0013 14:15:00,11-Jan-0013 15:11:15
