Node,Phase,Type,StartTime,EndTime
652,A,UNDER,08-Jan-0013 00:30:00,08-Jan-0013 07:26:15
652,A,UNDER,08-Jan-0013 20:30:00,09-Jan-0013 00:26:15
652,A,UNDER,11-Jan-0013 22:15:00,11-Jan-0013 23:41:15
671,A,UNDER,08-Jan-0013 00:30:00,08-Jan-0013 07:26:15
671,A,UNDER,08-Jan-0013 20:30:00,09-Jan-0013 00:26:15
671,A,UNDER,11-Jan-0013 22:15:00,11-Jan-0013 23:41:15
675,A,UNDER,08-Jan-0013 00:30:00,08-Jan-0013 07:26:15
675,A,UNDER,08-Jan-0013 20:30:00,09-Jan-0013 00:26:15
675,A,UNDER,09-Jan-0013 01:00:00,09-Jan-0013 01:11:15
675,A,UNDER,09-Jan-0013 01:22:30,09-Jan-0013 01:26:15
675,A,UNDER,11-Jan-0013 22:15:00,11-Jan-0013 23:41:15
680,A,UNDER,08-Jan-0013 00:30:00,08-Jan-0013 07:26:15
680,A,UNDER,08-Jan-0013 20:30:00,09-Jan-0013 00:26:15
680,A,UNDER,11-Jan-0013 22:15:00,11-Jan-0013 23:41:15
684,A,UNDER,08-Jan-0013 00:30:00,08-Jan-0013 07:26:15
684,A,UNDER,08-Jan-0013 20:30:00,09-Jan-0013 00:26:15
684,A,UNDER,11-Jan-0013 22:15:00,11-Jan-0013 23:41:15
692,A,UNDER,08-Jan-0013 00:30:00,08-Jan-0013 07:26:15
692,A,UNDER,08-Jan-0013 20:30:00,09-Jan-0013 00:26:15
692,A,UNDER,11-Jan-0013 22:15:00,11-Jan-0013 23:41:15
