Time,Node 646.V2_rms,Node 646.V3_rms,Node 652.V1_rms,Node 671.V1_rms,Node 671.V2_rms,Node 671.V3_rms,Node 675.V1_rms,Node 675.V2_rms,Node 675.V3_rms,UpperBound,LowerBound
0.0,2443.53955078125,2455.597412109375,2153.079345703125,2166.892822265625,2360.921875,2343.9609375,2164.426513671875,2358.60400390625,2341.339599609375,2522.0,2282.0
0.25,2443.519775390625,2455.60595703125,2152.5087890625,2167.504150390625,2360.898681640625,2343.75439453125,2165.028564453125,2358.570068359375,2341.12353515625,2522.0,2282.0
0.5,2443.523193359375,2455.6123046875,2152.548583984375,2167.5615234375,2360.9169921875,2343.745361328125,2165.0849609375,2358.59130859375,2341.114990234375,2522.0,2282.0
0.75,2443.5244140625,2455.6123046875,2152.5576171875,2167.58349609375,2360.92333984375,2343.741943359375,2166.276611328125,2358.5986328125,2341.111572265625,2522.0,2282.0
1.0,2443.52490234375,2455.618408203125,2152.5625,2168.76318359375,2360.92626953125,2343.740966796875,2165.11474609375,2358.60205078125,2341.110595703125,2522.0,2282.0
1.25,2443.52490234375,2455.62646484375,2152.572265625,2167.59521484375,2360.927001953125,2343.740234375,2165.117919921875,2359.877685546875,2341.10986328125,2522.0,2282.0
1.5,2443.525146484375,2454.290771484375,2152.573974609375,2167.595947265625,2362.203125,2343.739990234375,2165.11865234375,2358.603515625,2341.10986328125,2522.0,2282.0
1.75,2443.525146484375,2455.608642578125,2152.55712890625,2167.5966796875,2360.927490234375,2343.740234375,2165.119384765625,2358.603759765625,2342.375244140625,2522.0,2282.0
2.0,2443.525146484375,2455.6201171875,2152.5810546875,2167.596923828125,2360.92724609375,2343.73974609375,2165.11962890625,2358.603271484375,2341.109619140625,2522.0,2282.0
2.25,2443.525146484375,2455.611083984375,2152.569580078125,2167.5966796875,2360.927490234375,2343.739501953125,2165.119384765625,2358.603515625,2341.109375,2522.0,2282.0
2.5,2444.845703125,2455.614990234375,2152.614990234375,2167.59716796875,2360.927978515625,2343.73974609375,2165.119873046875,2358.604248046875,2341.109619140625,2522.0,2282.0
2.75,2443.525146484375,2455.60498046875,2152.593017578125,2167.596923828125,2360.927978515625,2343.73974609375,2165.11962890625,2358.60400390625,2341.109619140625,2522.0,2282.0
