Time,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
0.0,131358.328125,228142.359375,115503.90625,212394.453125,219322.0,207243.4375,116176.640625,126588.421875,125655.8203125
1.0,131346.4375,228112.6875,115507.3828125,212377.515625,219299.6875,207220.328125,116180.15625,126575.4375,125643.1328125
2.0,131343.359375,228110.296875,115507.5625,212377.03125,219299.140625,207219.859375,116180.34375,126575.1015625,125642.8203125
3.0,131346.875,228112.046875,115507.6015625,212377.234375,219299.140625,207219.9375,116180.3828125,126575.140625,125642.78125
4.0,131343.578125,228113.015625,115507.46875,212376.96875,219299.15625,207219.875,116180.25,126575.0625,125642.8515625
5.0,131346.34375,228110.65625,115507.453125,212376.9375,219299.234375,207219.796875,116180.2265625,126575.140625,125642.8203125
6.0,131345.78125,228128.171875,115507.5703125,212377.03125,219299.15625,207219.859375,116180.3515625,126575.1328125,125642.8359375
7.0,131349.078125,228122.0625,115507.5859375,212377.109375,219299.140625,207219.9375,116180.375,126575.15625,125642.8359375
8.0,131346.8125,228119.484375,115507.6015625,212377.09375,219299.109375,207220.015625,116180.375,126575.03125,125642.84375
9.0,131351.4375,228111.0,115507.75,212377.359375,219299.15625,207219.890625,116180.53125,126575.109375,125642.828125
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,-165254.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,-165258.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,-144254.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,-144246.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,-123064.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,-123262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,-95261.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,-95278.3359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,-79266.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,-53179.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,-53266.5859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,-27949.478515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,-28276.041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,-1238.78271484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,-1259.2581787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,-1237.39990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,22762.826171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,35164.91796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,35791.4765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,41795.859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,41790.7265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,45794.91015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,45800.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,43800.640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,43799.26171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,41786.09765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,41799.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,37775.578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,37752.41796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,28781.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,28776.83203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,31785.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,31779.060546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,54815.72265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,54806.453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,64828.30078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,64800.18359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,77844.2890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,77820.8828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,93861.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,93864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,108879.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,108883.9453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,122895.2890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,122898.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,0.0,144893.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,144908.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,162886.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,162932.859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,136904.265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,0.0,136913.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,0.0,109883.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,0.0,109880.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,83847.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,83850.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,61824.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,61823.24609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,0.0,40740.8203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.0,40797.234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,0.0,29792.275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,0.0,29779.08984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,20766.294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.0,20758.640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,0.0,11761.2705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,0.0,11750.0546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,0.0,3755.872802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,3746.63623046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,0.0,-2251.368408203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,0.0,-2257.89794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,0.0,748.2675170898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,0.0,750.936279296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,-7264.130859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,-7252.75439453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,0.0,-28266.92578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,0.0,-28275.369140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,241977.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,241904.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,0.0,217572.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,0.0,217917.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,0.0,204962.296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,0.0,204963.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,0.0,190957.671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,0.0,190950.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,0.0,159929.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,0.0,159933.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,0.0,145912.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,0.0,145924.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,0.0,113847.234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,0.0,113885.9296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,0.0,80826.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,0.0,80739.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,0.0,-441282.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,0.0,-441293.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,0.0,-452287.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,0.0,-452290.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,0.0,-459293.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.0,-459293.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,0.0,-21276.244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,0.0,-21274.33984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,0.0,-3261.927001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,0.0,-3253.4150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,0.0,20763.599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,0.0,20766.216796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,0.0,44799.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,0.0,44779.37890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,0.0,68828.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,0.0,68826.3046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.0,0.0,93862.6328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,0.0,93860.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.0,0.0,118897.9453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,0.0,118899.546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.0,0.0,145908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.0,0.0,145917.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.0,0.0,168900.859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.0,0.0,168642.609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139.0,0.0,-104268.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,0.0,-104262.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.0,0.0,-73274.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.0,0.0,-73276.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143.0,0.0,-46274.9296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144.0,0.0,-46268.9765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.0,0.0,-21272.068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146.0,0.0,-21262.212890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.0,0.0,750.9635009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,0.0,754.074462890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.0,0.0,16767.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,0.0,16762.525390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.0,0.0,38796.97265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152.0,0.0,38799.91015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153.0,0.0,54815.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154.0,0.0,54813.75390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155.0,0.0,68830.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156.0,0.0,68831.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157.0,0.0,90841.6796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158.0,0.0,90856.5859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,0.0,138881.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,0.0,138682.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.0,0.0,164891.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.0,0.0,164935.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.0,0.0,198954.546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164.0,0.0,198963.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.0,0.0,214976.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166.0,0.0,214975.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167.0,0.0,250992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.0,0.0,250931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169.0,0.0,236978.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170.0,0.0,236995.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171.0,0.0,214979.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.0,0.0,214962.328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173.0,0.0,197951.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.0,0.0,197957.703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175.0,0.0,185946.671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.0,0.0,185949.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.0,0.0,176906.859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.0,0.0,176646.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.0,0.0,164927.828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,0.0,164936.796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.0,0.0,151925.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.0,0.0,151925.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.0,0.0,145918.296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.0,0.0,145915.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.0,0.0,152924.578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.0,0.0,152920.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.0,0.0,179630.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.0,0.0,179889.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189.0,0.0,201584.953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.0,0.0,201963.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191.0,0.0,210970.578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.0,0.0,210956.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.0,0.0,212967.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194.0,0.0,212969.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.0,0.0,228929.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196.0,0.0,228551.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.0,0.0,233978.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.0,0.0,233986.828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199.0,0.0,206961.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,206971.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201.0,0.0,173940.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,0.0,173935.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,0.0,143913.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204.0,0.0,143886.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205.0,0.0,100869.9609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206.0,0.0,100834.2734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.0,0.0,58749.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208.0,0.0,58807.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209.0,0.0,13756.6630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,0.0,13752.0703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211.0,0.0,-39269.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.0,0.0,-39270.3671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213.0,0.0,-84272.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.0,0.0,-84269.359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
