Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
0.0,125872.65625,15198.2265625,15219.7861328125,15287.6982421875,131458.390625,228703.53125,115252.7421875,207493.125
0.25,125440.9296875,15216.9716796875,15230.177734375,15231.478515625,131408.421875,228224.34375,115491.3515625,207322.09375
0.5,125416.9609375,15219.2138671875,15227.333984375,15228.5537109375,131382.53125,228171.0,115497.7734375,207274.703125
0.75,125394.7578125,15221.2822265625,15224.7119140625,15225.8818359375,131357.15625,228138.953125,115503.6953125,207237.0625
1.0,125383.9453125,15222.2939453125,15223.4306640625,15224.5595703125,131350.96875,228119.5625,115506.7578125,207219.0625
1.25,125382.890625,15222.390625,15223.3271484375,15224.4306640625,131348.0625,228118.0,115506.9453125,207217.0
1.5,125381.7421875,15222.4931640625,15223.185546875,15224.2939453125,131353.1875,228122.703125,115507.2265625,207214.90625
1.75,125381.2421875,15222.5361328125,15223.1240234375,15224.2265625,131344.375,228119.765625,115507.40625,207213.96875
2.0,125140.859375,15217.8017578125,15207.423828125,15195.0048828125,131209.078125,227695.53125,115476.5,206973.140625
2.25,125381.0,15222.5693359375,15223.080078125,15224.2041015625,131347.125,228124.0,115507.6171875,207213.6875
2.5,125380.9609375,15222.5712890625,15223.078125,15224.201171875,131346.75,228114.265625,115507.5390625,207213.71875
2.75,125380.9765625,15222.5693359375,15223.0830078125,15224.2060546875,131347.078125,228111.359375,115507.6484375,207213.609375
3.0,125381.0078125,15222.5673828125,15223.0859375,15224.203125,131346.609375,228118.5,115507.53125,207213.484375
3.25,125380.9609375,15222.564453125,15223.0869140625,15224.2001953125,131346.203125,228117.875,115507.578125,207213.59375
3.5,125380.921875,15222.564453125,15223.0869140625,15224.1962890625,131342.09375,228118.6875,115507.59375,207213.578125
3.75,125380.890625,15222.564453125,15223.0888671875,15224.1962890625,131344.765625,228111.828125,115507.4765625,207213.3125
4.0,125140.8046875,15217.81640625,15207.40625,15194.998046875,131205.90625,227696.3125,115476.5234375,206973.09375
4.25,125380.9765625,15222.5712890625,15223.078125,15224.205078125,131345.25,228115.1875,115507.484375,207213.578125
4.5,125380.9765625,15222.5693359375,15223.0810546875,15224.2060546875,131350.0,228122.28125,115507.640625,207213.65625
4.75,125381.0078125,15222.5654296875,15223.083984375,15224.205078125,131342.125,228121.796875,115507.515625,207213.6875
5.0,125380.9453125,15222.5634765625,15223.083984375,15224.1982421875,131346.890625,228122.8125,115507.4765625,207213.546875
5.25,125380.9765625,15222.564453125,15223.0849609375,15224.1982421875,131346.46875,228117.640625,115507.671875,207213.640625
5.5,125380.9375,15222.564453125,15223.0849609375,15224.1982421875,131344.015625,228113.015625,115507.515625,207213.546875
5.75,125380.96875,15222.5634765625,15223.0888671875,15224.2001953125,131347.484375,228114.8125,115507.546875,207213.5
6.0,125380.9375,15222.5634765625,15223.091796875,15224.201171875,131349.65625,228115.015625,115507.484375,207213.59375
6.25,125380.9140625,15222.560546875,15223.09375,15224.201171875,131347.65625,228110.8125,115507.5546875,207213.46875
6.5,125380.9609375,15222.5654296875,15223.0830078125,15224.1953125,131346.890625,228119.21875,115507.5390625,207213.671875
6.75,125380.9453125,15222.5634765625,15223.08203125,15224.205078125,131350.203125,228119.28125,115507.578125,207213.640625
7.0,125380.9921875,15222.564453125,15223.083984375,15224.1953125,131349.4375,228119.65625,115507.640625,207213.640625
7.25,125380.953125,15222.564453125,15223.08203125,15224.2060546875,131348.453125,228121.203125,115507.578125,207213.578125
7.5,125380.9765625,15222.560546875,15223.0908203125,15224.20703125,131341.609375,228119.9375,115507.3984375,207213.5625
7.75,125380.9765625,15222.560546875,15223.08984375,15224.1962890625,131348.375,228121.234375,115507.515625,207213.53125
8.0,125380.953125,15222.56640625,15223.080078125,15224.205078125,131345.84375,228121.546875,115507.421875,207213.65625
8.25,125381.0,15222.5634765625,15223.083984375,15224.2080078125,131346.671875,228124.015625,115507.4375,207213.625
8.5,125380.9609375,15222.5595703125,15223.0869140625,15224.2109375,131347.703125,228116.59375,115507.4921875,207213.515625
8.75,125381.0,15222.556640625,15223.087890625,15224.19921875,131350.84375,228117.40625,115507.5078125,207213.59375
9.0,125380.96875,15222.5546875,15223.091796875,15224.205078125,131345.9375,228119.921875,115507.578125,207213.5625
9.25,125380.9609375,15222.5546875,15223.091796875,15224.2080078125,131337.84375,228115.28125,115507.4140625,207213.453125
9.5,125380.9296875,15222.556640625,15223.0908203125,15224.2021484375,131342.9375,228118.875,115507.5859375,207213.4375
9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.75,37011.81640625,50826.63671875,26960.63671875,29949.8125,56017.359375,57020.40234375,31006.474609375,40010.1796875
14.0,37011.984375,50826.62890625,26960.646484375,29949.810546875,56017.328125,57012.44140625,31006.15625,39999.5078125
14.25,36949.00390625,50826.4375,26918.462890625,29899.28125,55930.07421875,56897.6640625,31005.498046875,39983.3203125
14.5,37011.9609375,50826.6328125,26960.626953125,29949.83203125,56017.046875,57020.6796875,31006.0703125,40009.76953125
14.75,37011.95703125,50826.6328125,26960.630859375,29949.828125,56017.49609375,57020.41015625,31006.11328125,40009.84765625
15.0,37011.98828125,50826.6328125,26960.6328125,29949.82421875,56017.734375,57020.38671875,31006.09375,40009.85546875
15.25,36999.70703125,50826.62890625,26960.638671875,29949.822265625,56017.625,57020.2578125,31006.017578125,40009.80078125
15.5,37011.91015625,50826.62890625,26960.638671875,29949.818359375,56004.37890625,57020.38671875,31006.103515625,40009.796875
15.75,40012.90625,48026.921875,26013.873046875,32010.00390625,51015.40625,56019.8359375,34006.71484375,39009.58203125
