StartSimHour,EndSimHour,StartWhen,EndWhen
4,23.5,Day 1 04:00,Day 1 23:30
42,42,Day 2 18:00,Day 2 18:00
42.5,43,Day 2 18:30,Day 2 19:00
43.75,44,Day 2 19:45,Day 2 20:00
44.5,44.5,Day 2 20:30,Day 2 20:30
45,45,Day 2 21:00,Day 2 21:00
45.5,45.75,Day 2 21:30,Day 2 21:45
46.25,47.5,Day 2 22:15,Day 2 23:30
58.75,59,Day 3 10:45,Day 3 11:00
59.5,59.75,Day 3 11:30,Day 3 11:45
60.25,60.5,Day 3 12:15,Day 3 12:30
61.25,62,Day 3 13:15,Day 3 14:00
62.5,63,Day 3 14:30,Day 3 15:00
63.5,63.75,Day 3 15:30,Day 3 15:45
64.5,64.5,Day 3 16:30,Day 3 16:30
65,65,Day 3 17:00,Day 3 17:00
65.5,72,Day 3 17:30,Day 4 00:00
72.75,73.25,Day 4 00:45,Day 4 01:15
82.5,82.75,Day 4 10:30,Day 4 10:45
83.25,84.25,Day 4 11:15,Day 4 12:15
85,85.25,Day 4 13:00,Day 4 13:15
85.75,86,Day 4 13:45,Day 4 14:00
86.5,86.75,Day 4 14:30,Day 4 14:45
87.25,88.5,Day 4 15:15,Day 4 16:30
89,95.25,Day 4 17:00,Day 4 23:15
95.75,95.75,Day 4 23:45,Day 4 23:45
