Node,Phase,StartSimHour,EndSimHour,StartWhen,EndWhen
611,C,21.1875,23.75,Day 1 21:11,Day 1 23:45
611,C,42.25,42.6875,Day 2 18:15,Day 2 18:41
611,C,67.6875,68.125,Day 3 19:41,Day 3 20:08
611,C,68.6875,70.125,Day 3 20:41,Day 3 22:08
611,C,70.6875,71.625,Day 3 22:41,Day 3 23:38
611,C,91.1875,92.125,Day 4 19:11,Day 4 20:08
611,C,92.6875,93.625,Day 4 20:41,Day 4 21:38
634,A,19.1875,22.625,Day 1 19:11,Day 1 22:38
634,A,66.75,67.625,Day 3 18:45,Day 3 19:38
634,A,90.6875,91.125,Day 4 18:41,Day 4 19:08
634,A,92.6875,93.125,Day 4 20:41,Day 4 21:08
634,B,18.1875,19.625,Day 1 18:11,Day 1 19:38
634,B,70.6875,71.125,Day 3 22:41,Day 3 23:08
634,C,17.6875,19.125,Day 1 17:41,Day 1 19:08
634,C,20.1875,20.625,Day 1 20:11,Day 1 20:38
634,C,21.1875,21.625,Day 1 21:11,Day 1 21:38
634,C,39.75,40.6875,Day 2 15:45,Day 2 16:41
634,C,41.75,44.1875,Day 2 17:45,Day 2 20:11
634,C,65.75,67.625,Day 3 17:45,Day 3 19:38
634,C,69.6875,71.125,Day 3 21:41,Day 3 23:08
634,C,95.1875,95.625,Day 4 23:11,Day 4 23:38
645,B,14.6875,15.125,Day 1 14:41,Day 1 15:08
645,B,17.1875,17.625,Day 1 17:11,Day 1 17:38
645,B,89.6875,91.625,Day 4 17:41,Day 4 19:38
645,B,92.1875,92.625,Day 4 20:11,Day 4 20:38
646,B,18.1875,20.125,Day 1 18:11,Day 1 20:08
646,B,21.6875,22.125,Day 1 21:41,Day 1 22:08
646,B,22.6875,23.75,Day 1 22:41,Day 1 23:45
646,B,68.1875,68.625,Day 3 20:11,Day 3 20:38
652,A,18.1875,18.625,Day 1 18:11,Day 1 18:38
652,A,19.1875,21.125,Day 1 19:11,Day 1 21:08
692,C,12.6875,13.125,Day 1 12:41,Day 1 13:08
692,C,13.6875,14.125,Day 1 13:41,Day 1 14:08
692,C,14.6875,16.125,Day 1 14:41,Day 1 16:08
692,C,18.1875,23.25,Day 1 18:11,Day 1 23:15
692,C,41.75,43.6875,Day 2 17:45,Day 2 19:41
692,C,65.75,69.625,Day 3 17:45,Day 3 21:38
692,C,70.6875,71.625,Day 3 22:41,Day 3 23:38
692,C,89.6875,92.625,Day 4 17:41,Day 4 20:38
692,C,95.1875,95.625,Day 4 23:11,Day 4 23:38
671,A,19.6875,20.125,Day 1 19:41,Day 1 20:08
675,B,18.1875,20.625,Day 1 18:11,Day 1 20:38
675,B,22.6875,23.75,Day 1 22:41,Day 1 23:45
675,B,45.25,47.1875,Day 2 21:15,Day 2 23:11
675,B,68.1875,68.625,Day 3 20:11,Day 3 20:38
671,B,18.1875,18.625,Day 1 18:11,Day 1 18:38
671,B,65.75,66.6875,Day 3 17:45,Day 3 18:41
671,B,67.6875,68.125,Day 3 19:41,Day 3 20:08
671,B,68.6875,69.125,Day 3 20:41,Day 3 21:08
671,B,70.6875,71.125,Day 3 22:41,Day 3 23:08
671,B,89.6875,90.125,Day 4 17:41,Day 4 18:08
675,A,89.6875,90.125,Day 4 17:41,Day 4 18:08
675,C,18.1875,19.125,Day 1 18:11,Day 1 19:08
675,C,70.6875,71.125,Day 3 22:41,Day 3 23:08
675,C,94.6875,95.625,Day 4 22:41,Day 4 23:38
