StartSimHour,EndSimHour,StartWhen,EndWhen
0,17.25,Day 1 00:00,Day 1 17:15
35.75,35.75,Day 2 11:45,Day 2 11:45
36.25,36.75,Day 2 12:15,Day 2 12:45
37.5,37.75,Day 2 13:30,Day 2 13:45
38.25,38.25,Day 2 14:15,Day 2 14:15
38.75,38.75,Day 2 14:45,Day 2 14:45
39.25,39.5,Day 2 15:15,Day 2 15:30
40,41.25,Day 2 16:00,Day 2 17:15
52.5,52.75,Day 3 04:30,Day 3 04:45
53.25,53.5,Day 3 05:15,Day 3 05:30
54,54.25,Day 3 06:00,Day 3 06:15
55,55.75,Day 3 07:00,Day 3 07:45
56.25,56.75,Day 3 08:15,Day 3 08:45
57.25,57.5,Day 3 09:15,Day 3 09:30
58.25,58.25,Day 3 10:15,Day 3 10:15
58.75,58.75,Day 3 10:45,Day 3 10:45
59.25,65.75,Day 3 11:15,Day 3 17:45
66.5,67,Day 3 18:30,Day 3 19:00
76.25,76.5,Day 4 04:15,Day 4 04:30
77,78,Day 4 05:00,Day 4 06:00
78.75,79,Day 4 06:45,Day 4 07:00
79.5,79.75,Day 4 07:30,Day 4 07:45
80.25,80.5,Day 4 08:15,Day 4 08:30
81,82.25,Day 4 09:00,Day 4 10:15
82.75,89,Day 4 10:45,Day 4 17:00
89.5,89.5,Day 4 17:30,Day 4 17:30
90.25,90.25,Day 4 18:15,Day 4 18:15
90.75,90.75,Day 4 18:45,Day 4 18:45
