Node,Phase,StartSimHour,EndSimHour,StartWhen,EndWhen
611,C,14.9375,17.5,Day 1 14:56,Day 1 17:30
611,C,36,36.4375,Day 2 12:00,Day 2 12:26
611,C,61.4375,61.875,Day 3 13:26,Day 3 13:53
611,C,62.4375,63.875,Day 3 14:26,Day 3 15:53
611,C,64.4375,65.375,Day 3 16:26,Day 3 17:23
611,C,84.9375,85.875,Day 4 12:56,Day 4 13:53
611,C,86.4375,87.375,Day 4 14:26,Day 4 15:23
634,A,12.9375,16.375,Day 1 12:56,Day 1 16:23
634,A,60.5,61.375,Day 3 12:30,Day 3 13:23
634,A,84.4375,84.875,Day 4 12:26,Day 4 12:53
634,A,86.4375,86.875,Day 4 14:26,Day 4 14:53
634,B,11.9375,13.375,Day 1 11:56,Day 1 13:23
634,B,64.4375,64.875,Day 3 16:26,Day 3 16:53
634,C,11.4375,12.875,Day 1 11:26,Day 1 12:53
634,C,13.9375,14.375,Day 1 13:56,Day 1 14:23
634,C,14.9375,15.375,Day 1 14:56,Day 1 15:23
634,C,33.5,34.4375,Day 2 09:30,Day 2 10:26
634,C,35.5,37.9375,Day 2 11:30,Day 2 13:56
634,C,59.5,61.375,Day 3 11:30,Day 3 13:23
634,C,63.4375,64.875,Day 3 15:26,Day 3 16:53
634,C,88.9375,89.375,Day 4 16:56,Day 4 17:23
645,B,8.4375,8.875,Day 1 08:26,Day 1 08:53
645,B,10.9375,11.375,Day 1 10:56,Day 1 11:23
645,B,83.4375,85.375,Day 4 11:26,Day 4 13:23
645,B,85.9375,86.375,Day 4 13:56,Day 4 14:23
646,B,11.9375,13.875,Day 1 11:56,Day 1 13:53
646,B,15.4375,15.875,Day 1 15:26,Day 1 15:53
646,B,16.4375,17.5,Day 1 16:26,Day 1 17:30
646,B,61.9375,62.375,Day 3 13:56,Day 3 14:23
652,A,11.9375,12.375,Day 1 11:56,Day 1 12:23
652,A,12.9375,14.875,Day 1 12:56,Day 1 14:53
692,C,6.4375,6.875,Day 1 06:26,Day 1 06:53
692,C,7.4375,7.875,Day 1 07:26,Day 1 07:53
692,C,8.4375,9.875,Day 1 08:26,Day 1 09:53
692,C,11.9375,17,Day 1 11:56,Day 1 17:00
692,C,35.5,37.4375,Day 2 11:30,Day 2 13:26
692,C,59.5,63.375,Day 3 11:30,Day 3 15:23
692,C,64.4375,65.375,Day 3 16:26,Day 3 17:23
692,C,83.4375,86.375,Day 4 11:26,Day 4 14:23
692,C,88.9375,89.375,Day 4 16:56,Day 4 17:23
671,A,13.4375,13.875,Day 1 13:26,Day 1 13:53
675,B,11.9375,14.375,Day 1 11:56,Day 1 14:23
675,B,16.4375,17.5,Day 1 16:26,Day 1 17:30
675,B,39,40.9375,Day 2 15:00,Day 2 16:56
675,B,61.9375,62.375,Day 3 13:56,Day 3 14:23
671,B,11.9375,12.375,Day 1 11:56,Day 1 12:23
671,B,59.5,60.4375,Day 3 11:30,Day 3 12:26
671,B,61.4375,61.875,Day 3 13:26,Day 3 13:53
671,B,62.4375,62.875,Day 3 14:26,Day 3 14:53
671,B,64.4375,64.875,Day 3 16:26,Day 3 16:53
671,B,83.4375,83.875,Day 4 11:26,Day 4 11:53
675,A,83.4375,83.875,Day 4 11:26,Day 4 11:53
675,C,11.9375,12.875,Day 1 11:56,Day 1 12:53
675,C,64.4375,64.875,Day 3 16:26,Day 3 16:53
675,C,88.4375,89.375,Day 4 16:26,Day 4 17:23
