Node,Phase,Type,StartSimHour,EndSimHour,StartWhen,EndWhen
652,A,UNDER,19.5625,28.4375,07-Jan-2013 19:33,08-Jan-2013 04:26
652,A,UNDER,41.5,49.4375,08-Jan-2013 17:30,09-Jan-2013 01:26
671,A,UNDER,19.5625,28.4375,07-Jan-2013 19:33,08-Jan-2013 04:26
671,A,UNDER,41.5,48.9375,08-Jan-2013 17:30,09-Jan-2013 00:56
675,A,UNDER,19.5625,28.4375,07-Jan-2013 19:33,08-Jan-2013 04:26
675,A,UNDER,41.5,49.4375,08-Jan-2013 17:30,09-Jan-2013 01:26
680,A,UNDER,19.5625,28.4375,07-Jan-2013 19:33,08-Jan-2013 04:26
680,A,UNDER,41.5,48.9375,08-Jan-2013 17:30,09-Jan-2013 00:56
684,A,UNDER,19.5625,28.4375,07-Jan-2013 19:33,08-Jan-2013 04:26
684,A,UNDER,41.5,48.9375,08-Jan-2013 17:30,09-Jan-2013 00:56
692,A,UNDER,19.5625,28.4375,07-Jan-2013 19:33,08-Jan-2013 04:26
692,A,UNDER,41.5,48.9375,08-Jan-2013 17:30,09-Jan-2013 00:56
