Time,Node 632.Probe1
0.0,1693589.25
1.0,1753759.5
2.0,1626993.375
3.0,1564119.125
4.0,1734281.75
5.0,1762593.5
6.0,1723025.5
7.0,1613780.375
8.0,1562435.875
9.0,1561682.375
10.0,231204.40625
11.0,181984.96875
12.0,180240.359375
13.0,197197.59375
14.0,180105.640625
15.0,223113.375
16.0,-268748.71875
17.0,-281396.71875
18.0,-269165.28125
19.0,-263957.875
20.0,-251535.53125
21.0,-239614.796875
22.0,-162280.578125
23.0,-187156.265625
24.0,-72727.7578125
25.0,-74232.0390625
26.0,-64859.890625
27.0,-87028.3125
28.0,-72527.640625
29.0,-52478.30078125
30.0,-169419.03125
31.0,-143676.296875
32.0,-204383.828125
33.0,-209341.703125
34.0,-23757.849609375
35.0,-65719.6171875
36.0,-67466.484375
37.0,-42610.640625
38.0,-101204.359375
39.0,-26534.126953125
40.0,-148570.703125
41.0,-75399.921875
42.0,-47326.18359375
43.0,-161018.421875
44.0,-209765.171875
45.0,-265110.96875
46.0,-275741.78125
47.0,-293866.90625
48.0,-203620.96875
49.0,-173831.421875
50.0,-192874.4375
51.0,-193254.515625
52.0,-132314.0
53.0,-284795.53125
54.0,-289667.0
55.0,-152830.453125
56.0,-167928.65625
57.0,-275918.0625
58.0,-183461.5625
59.0,-300093.15625
60.0,-299070.875
61.0,-263544.125
62.0,-192774.609375
63.0,-254964.921875
64.0,-226859.421875
65.0,-174735.65625
66.0,-137132.15625
67.0,-134341.265625
68.0,-156527.203125
69.0,-257511.890625
70.0,-222701.1875
71.0,-138744.015625
72.0,-345909.1875
73.0,-307430.4375
74.0,-428120.5
75.0,-405677.3125
76.0,-374137.8125
77.0,-386107.78125
78.0,-429722.78125
79.0,-335308.625
80.0,-374328.34375
81.0,-417285.75
82.0,-285240.96875
83.0,-414903.75
84.0,-414528.3125
85.0,-273008.96875
86.0,-397737.875
87.0,-408708.5
88.0,-369711.96875
89.0,-280426.96875
90.0,-340830.65625
91.0,-297220.84375
92.0,-345029.125
93.0,-281549.84375
94.0,-245925.90625
95.0,250856.1875
96.0,155315.046875
97.0,142130.34375
98.0,163033.0625
99.0,190121.796875
100.0,171218.484375
101.0,279769.8125
102.0,232786.296875
103.0,850435.5
104.0,825330.9375
105.0,869068.3125
106.0,874726.75
107.0,887304.4375
108.0,780216.875
109.0,706154.9375
110.0,715691.6875
111.0,879150.3125
112.0,775544.4375
113.0,863491.875
114.0,741938.75
115.0,867204.75
116.0,722902.1875
117.0,837318.875
118.0,731214.3125
119.0,717384.8125
120.0,825296.75
121.0,718133.6875
122.0,793947.75
123.0,709417.5
124.0,883562.875
125.0,703934.625
126.0,704682.8125
127.0,820445.0625
128.0,832753.6875
129.0,820066.5
130.0,839895.25
131.0,786588.9375
132.0,728241.75
133.0,715286.375
134.0,820427.9375
135.0,773383.4375
136.0,793175.5625
137.0,698346.125
138.0,821971.75
139.0,156381.875
140.0,271891.84375
141.0,106593.7265625
142.0,208906.359375
143.0,113618.203125
144.0,248385.609375
145.0,193699.40625
146.0,235284.8125
147.0,175214.28125
148.0,281143.28125
149.0,137567.234375
150.0,259539.171875
151.0,227990.8125
152.0,277071.71875
153.0,288695.46875
154.0,218383.671875
155.0,192600.828125
156.0,236358.453125
157.0,223018.4375
158.0,154862.609375
159.0,174338.640625
160.0,200646.3125
161.0,172342.015625
162.0,120004.2734375
163.0,184372.0625
164.0,179225.828125
165.0,217050.21875
166.0,271509.6875
167.0,4075.87646484375
168.0,-3790.513916015625
169.0,3896.35546875
170.0,-49668.5546875
171.0,-59914.3203125
172.0,-149733.625
173.0,20107.265625
174.0,19158.064453125
175.0,-49722.8828125
176.0,-77661.6875
177.0,2903.3916015625
178.0,-80087.3125
179.0,15654.1591796875
180.0,-52336.0234375
181.0,6317.39501953125
182.0,-14473.7578125
183.0,-16048.37890625
184.0,11966.927734375
185.0,-51105.3515625
