Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
0.0,125268.7890625,15198.2265625,15230.7216796875,15201.2900390625,131197.640625,227669.671875,115252.8125,208527.15625
0.25,125474.9375,15213.8154296875,15234.0693359375,15235.607421875,131444.59375,228269.828125,115482.34375,207382.34375
0.5,125416.9453125,15219.2138671875,15227.61328125,15228.5537109375,131387.203125,228184.484375,115497.7109375,207278.84375
0.75,125394.7734375,15221.2822265625,15224.7119140625,15225.873046875,131355.046875,228146.515625,115503.765625,207238.625
1.0,125386.28125,15222.0751953125,15223.75,15224.8525390625,131352.828125,228120.609375,115506.09375,207223.125
1.25,125383.015625,15222.3798828125,15223.326171875,15224.435546875,131349.703125,228123.40625,115507.015625,207217.3125
1.5,125381.7265625,15222.4931640625,15223.185546875,15224.2939453125,131349.484375,228113.9375,115507.34375,207214.9375
1.75,125381.2578125,15222.5361328125,15223.1240234375,15224.234375,131349.4375,228117.71875,115507.390625,207214.0625
2.0,125140.875,15217.8017578125,15207.423828125,15195.0068359375,131208.890625,227693.578125,115476.5546875,206973.1875
2.25,125381.0,15222.5693359375,15223.0810546875,15224.2041015625,131345.03125,228123.890625,115507.46875,207213.703125
2.5,125380.96875,15222.5712890625,15223.078125,15224.2021484375,131349.53125,228120.046875,115507.453125,207213.65625
2.75,125380.984375,15222.5693359375,15223.083984375,15224.20703125,131346.34375,228121.71875,115507.4375,207213.515625
3.0,125380.9765625,15222.5673828125,15223.0849609375,15224.2021484375,131345.625,228119.125,115507.3359375,207213.46875
3.25,125380.953125,15222.56640625,15223.0859375,15224.201171875,131349.296875,228123.0625,115507.59375,207213.609375
3.5,125380.9453125,15222.5625,15223.0869140625,15224.1962890625,131344.921875,228123.125,115507.4296875,207213.46875
3.75,125380.9140625,15222.5634765625,15223.0888671875,15224.201171875,131346.890625,228119.984375,115507.640625,207213.546875
4.0,125380.8984375,15222.5654296875,15223.087890625,15224.1953125,131347.546875,228115.234375,115507.515625,207213.46875
4.25,125140.7421875,15217.8125,15207.412109375,15194.994140625,131212.0,227690.296875,115476.5703125,206972.9375
4.5,125380.9765625,15222.5693359375,15223.0791015625,15224.205078125,131346.859375,228120.21875,115507.640625,207213.71875
4.75,125380.984375,15222.5673828125,15223.08203125,15224.2021484375,131344.8125,228114.234375,115507.53125,207213.640625
5.0,125380.953125,15222.564453125,15223.083984375,15224.1943359375,131347.390625,228120.1875,115507.53125,207213.5625
5.25,125380.9609375,15222.564453125,15223.0849609375,15224.2041015625,131344.578125,228115.5625,115507.46875,207213.546875
5.5,125380.9296875,15222.564453125,15223.083984375,15224.201171875,131347.359375,228121.734375,115507.4375,207213.484375
5.75,125380.9453125,15222.5654296875,15223.0859375,15224.1982421875,131344.96875,228125.21875,115507.421875,207213.40625
6.0,125380.953125,15222.564453125,15223.0888671875,15224.201171875,131348.890625,228115.015625,115507.375,207213.484375
6.25,125380.9375,15222.5615234375,15223.0927734375,15224.2001953125,131347.078125,228120.1875,115507.421875,207213.359375
6.5,125140.7734375,15217.80859375,15207.4169921875,15194.986328125,131210.109375,227688.921875,115476.5625,206972.96875
6.75,125380.9765625,15222.5634765625,15223.080078125,15224.2060546875,131346.0,228113.5,115507.59375,207213.640625
7.0,125380.96875,15222.5634765625,15223.083984375,15224.2392578125,131347.734375,228113.046875,115507.5625,207213.65625
7.25,125380.953125,15222.564453125,15223.0810546875,15224.2001953125,131346.75,228112.71875,115507.6015625,207213.546875
7.5,125380.9453125,15222.5625,15223.0830078125,15224.203125,131346.90625,228117.46875,115507.453125,207213.53125
7.75,125380.9921875,15222.5625,15223.0859375,15224.205078125,131344.78125,228119.484375,115507.3359375,207213.46875
8.0,125380.953125,15222.5595703125,15223.0908203125,15224.2041015625,131349.828125,228116.78125,115507.546875,207213.4375
8.25,125380.9453125,15222.5576171875,15223.0927734375,15224.208984375,131348.734375,228119.015625,115507.5546875,207213.546875
8.5,125380.9296875,15222.556640625,15223.09375,15224.2021484375,131343.703125,228114.96875,115507.546875,207213.5
