Step,SimHour,Battery646_kW,BatteryAction,SoC_Predicted_pct,SoC_Measured_pct,SoC_Error_pctPoint
1,0.5,33.8329,Discharge,48.3415,49.83,1.48849999999999
2,1,29.6957,Discharge,48.3743,48.2,-0.174299999999995
3,1.5,24.4894,Discharge,46.9995,46.76,-0.2395
4,2,25.7526,Discharge,45.4976,45.57,0.0724000000000018
5,2.5,16.5048,Discharge,44.7609,44.34,-0.420899999999996
6,3,16.6915,Discharge,43.5218,43.51,-0.0118000000000009
7,3.5,15.3795,Discharge,42.7561,42.68,-0.0761000000000038
8,4,16.7906,Discharge,41.8569,41.94,0.0830999999999946
9,4.5,15.0385,Discharge,41.2028,41.11,-0.092800000000004
10,5,14.3692,Discharge,40.4056,40.38,-0.0255999999999972
11,5.5,19.6812,Discharge,39.4152,39.67,0.254800000000003
12,6,23.2491,Discharge,38.5303,38.67,0.139700000000005
13,6.5,21.0329,Discharge,37.639,37.56,-0.0790000000000006
14,7,18.7475,Discharge,36.641,36.54,-0.100999999999999
15,7.5,26.1547,Discharge,35.2579,35.57,0.312100000000001
16,8,16.5962,Discharge,34.7565,34.34,-0.416499999999999
17,8.5,9.1436,Discharge,33.8918,33.55,-0.341800000000006
18,9,6.6332,Discharge,33.2248,33.11,-0.114800000000002
19,9.5,-8.1036,Charge,33.5072,32.84,-0.667199999999994
20,10,-20.8173,Charge,33.8605,33.3,-0.560500000000005
21,10.5,-30.1035,Charge,34.7757,34.37,-0.405700000000003
22,11,-40.1492,Charge,36.3381,35.89,-0.448099999999997
23,11.5,-52.3709,Charge,38.4572,37.91,-0.547200000000004
24,12,-56.2216,Charge,40.666,40.48,-0.186
25,12.5,-62.2545,Charge,43.5317,43.26,-0.271700000000003
26,13,-64.0325,Charge,46.3988,46.31,-0.0887999999999991
27,13.5,-67.3279,Charge,49.6104,49.46,-0.150399999999998
28,14,-68.4944,Charge,52.8176,52.75,-0.0675999999999988
29,14.5,-51.2468,Charge,55.2621,56,0.737900000000003
30,15,-47.0193,Charge,58.3049,58.48,0.175099999999993
31,15.5,-33.5938,Charge,60.1268,60.72,0.593199999999996
32,16,-17.3197,Charge,61.569,62.3,0.730999999999995
33,16.5,-1.6377,Charge,62.3803,63.06,0.679700000000004
34,17,14.7243,Discharge,62.3382,63.07,0.7318
35,17.5,33.2696,Discharge,61.4391,62.25,0.810899999999997
36,18,60.4984,Discharge,59.2844,60.5,1.2156
37,18.5,76.9431,Discharge,56.7283,57.48,0.7517
38,19,80.398,Discharge,53.5389,53.69,0.1511
39,19.5,75.2975,Discharge,49.9989,49.79,-0.2089
40,20,75.0744,Discharge,46.1099,46.11,9.99999999962142e-05
41,20.5,44.3165,Discharge,43.9376,42.59,-1.3476
42,21,51.9678,Discharge,40.0426,40.39,0.3474
43,21.5,45.9185,Discharge,38.1391,37.87,-0.269100000000002
44,22,56.7881,Discharge,35.0863,35.56,0.473700000000001
45,22.5,-4.8025,Charge,35.7954,33.07,-2.7254
46,23,-29.8656,Charge,34.534,33.44,-1.094
47,23.5,-43.4416,Charge,35.5695,34.97,-0.599499999999999
48,24,-54.8097,Charge,37.6568,37.14,-0.516799999999996
49,24.5,-61.9128,Charge,40.1749,39.87,-0.304900000000004
50,25,-66.3442,Charge,43.1222,42.93,-0.1922
51,25.5,-73.982,Charge,46.5566,46.2,-0.3566
52,26,-75.5739,Charge,49.9046,49.84,-0.0645999999999987
53,26.5,-76.3843,Charge,53.5843,53.57,-0.0142999999999986
54,27,-77.2797,Charge,57.3582,57.3,-0.0581999999999994
55,27.5,-77.7086,Charge,61.1092,61.08,-0.029200000000003
56,28,-77.1305,Charge,64.8609,64.9,0.0391000000000048
57,28.5,-75.724,Charge,68.612,68.67,0.0580000000000069
58,29,-77.5184,Charge,72.4699,72.4,-0.0698999999999899
59,29.5,-75.487,Charge,76.1003,76.21,0.109699999999989
60,30,-69.4924,Charge,79.6165,79.86,0.243499999999997
61,30.5,-65.7775,Charge,83.0844,83.23,0.145600000000002
62,31,-65.9171,Charge,86.4612,86.46,-0.00120000000001141
63,31.5,-12.7357,Charge,87.0843,89.44,2.3557
64,32,-15.618,Charge,90.2056,90.09,-0.115600000000001
65,32.5,-19.556,Charge,91.0486,90.89,-0.158599999999993
66,33,-28.0405,Charge,92.2645,91.91,-0.354500000000002
67,33.5,-40.5737,Charge,93.8989,93.35,-0.548900000000003
68,34,-46.29,Charge,95.6191,95.38,-0.239100000000008
69,34.5,-23.5587,Charge,96.5348,97.53,0.995199999999997
70,35,-17.6825,Charge,98.3968,98.68,0.283200000000008
71,35.5,-6.8447,Charge,99.0155,99.51,0.494500000000002
72,36,-9.996,Charge,100,99.86,-0.140000000000001
73,36.5,-2.856,Charge,100,100,0
74,37,-0,Idle,100,100,0
75,37.5,0,Idle,100,100,0
76,38,0,Idle,100,100,0
77,38.5,53.0117,Discharge,97.4014,99.73,2.32860000000001
