Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
0.0,212792.03125,126779.828125,220082.1875,207766.484375,115932.0234375,126140.03125
0.25,212494.96875,126664.9609375,219444.84375,207380.625,116155.265625,125730.7578125
0.5,212425.234375,126609.59375,219358.53125,207280.796875,116170.3125,125676.6953125
0.75,212395.859375,126588.390625,219322.015625,207243.09375,116176.546875,125655.828125
1.0,212384.25,126580.234375,219307.90625,207228.6875,116178.8203125,125647.7578125
1.25,212379.984375,126577.1328125,219302.546875,207223.03125,116179.703125,125644.6796875
1.5,212378.34375,126575.953125,219300.46875,207221.0625,116180.1015625,125643.46875
1.75,212377.359375,126575.4375,219299.65625,207220.046875,116179.953125,125643.03125
2.0,212316.046875,126445.65625,218892.0,206982.15625,116148.7890625,125401.328125
2.25,212377.25,126575.1328125,219299.1875,207219.84375,116180.3125,125642.8203125
2.5,212377.171875,126575.125,219299.1875,207219.765625,116180.3125,125642.8046875
2.75,212377.09375,126575.140625,219299.171875,207219.640625,116180.1953125,125642.7734375
3.0,212377.296875,126575.1484375,219299.09375,207219.65625,116180.3203125,125642.7734375
3.25,212377.34375,126575.1953125,219299.125,207219.6875,116180.3828125,125642.7734375
3.5,212377.109375,126575.21875,219299.140625,207219.71875,116180.2890625,125642.7421875
3.75,212377.234375,126575.1484375,219299.171875,207219.609375,116180.265625,125642.734375
4.0,212377.390625,126575.171875,219299.171875,207219.6875,116180.4140625,125642.734375
4.25,212377.171875,126575.0625,219299.125,207219.734375,116180.28125,125642.8203125
4.5,212377.09375,126575.078125,219299.0625,207219.78125,116180.2890625,125642.78125
4.75,212377.203125,126575.125,219299.140625,207219.703125,116180.296875,125642.796875
5.0,212377.359375,126575.1640625,219299.140625,207219.6875,116180.4140625,125642.8046875
5.25,212377.375,126575.21875,219299.15625,207219.6875,116180.421875,125642.75
