Node,Phase,Type,StartTime,EndTime
652,A,UNDER,07-Jan-0013 00:00:00,07-Jan-0013 02:37:30
652,A,UNDER,08-Jan-0013 03:45:00,08-Jan-0013 10:41:15
652,A,UNDER,08-Jan-0013 23:45:00,09-Jan-0013 03:41:15
671,A,UNDER,07-Jan-0013 00:00:00,07-Jan-0013 02:37:30
671,A,UNDER,08-Jan-0013 03:45:00,08-Jan-0013 10:41:15
671,A,UNDER,08-Jan-0013 23:45:00,09-Jan-0013 03:41:15
675,A,UNDER,07-Jan-0013 00:00:00,07-Jan-0013 02:37:30
675,A,UNDER,08-Jan-0013 03:45:00,08-Jan-0013 10:41:15
675,A,UNDER,08-Jan-0013 23:45:00,09-Jan-0013 03:41:15
675,A,UNDER,09-Jan-0013 04:15:00,09-Jan-0013 04:26:15
675,A,UNDER,09-Jan-0013 04:37:30,09-Jan-0013 04:41:15
680,A,UNDER,07-Jan-0013 00:00:00,07-Jan-0013 02:37:30
680,A,UNDER,08-Jan-0013 03:45:00,08-Jan-0013 10:41:15
680,A,UNDER,08-Jan-0013 23:45:00,09-Jan-0013 03:41:15
684,A,UNDER,07-Jan-0013 00:00:00,07-Jan-0013 02:37:30
684,A,UNDER,08-Jan-0013 03:45:00,08-Jan-0013 10:41:15
684,A,UNDER,08-Jan-0013 23:45:00,09-Jan-0013 03:41:15
692,A,UNDER,07-Jan-0013 00:00:00,07-Jan-0013 02:37:30
692,A,UNDER,08-Jan-0013 03:45:00,08-Jan-0013 10:41:15
692,A,UNDER,08-Jan-0013 23:45:00,09-Jan-0013 03:41:15
