Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
0.0,125274.984375,15198.2265625,15230.7216796875,15201.294921875,131196.078125,227667.453125,115279.9453125,208228.234375
0.25,125474.984375,15213.8154296875,15234.0693359375,15235.607421875,131441.96875,228271.28125,115482.8515625,207374.578125
0.5,125414.765625,15219.2138671875,15227.333984375,15228.2919921875,131382.9375,228177.5,115497.890625,207274.671875
0.75,125393.96875,15221.36328125,15224.7119140625,15225.7705078125,131360.28125,228144.765625,115504.09375,207237.0
1.0,125385.9921875,15222.10546875,15223.7099609375,15224.8037109375,131352.296875,228131.96875,115506.0234375,207222.40625
1.25,125383.0625,15222.3798828125,15223.326171875,15224.4404296875,131351.265625,228124.71875,115506.8515625,207216.875
1.5,125381.71875,15222.4931640625,15223.1796875,15224.287109375,131344.015625,228124.890625,115507.2109375,207214.6875
1.75,125381.265625,15222.5380859375,15223.125,15224.2294921875,131346.71875,228115.640625,115507.421875,207213.828125
2.0,125140.921875,15217.8017578125,15207.42578125,15195.0048828125,131214.015625,227689.234375,115477.2734375,206975.6875
2.25,125381.0390625,15222.5693359375,15223.0810546875,15224.2041015625,131349.21875,228115.359375,115507.4140625,207213.625
2.5,125381.0234375,15222.5712890625,15223.0791015625,15224.2041015625,131343.9375,228113.609375,115507.6484375,207213.46875
2.75,125381.015625,15222.5703125,15223.08203125,15224.2021484375,131348.671875,228112.0625,115507.390625,207213.375
3.0,125381.015625,15222.5673828125,15223.0849609375,15224.2021484375,131346.78125,228117.984375,115507.5078125,207213.4375
3.25,125381.0,15222.56640625,15223.0859375,15224.2001953125,131348.328125,228123.59375,115507.546875,207213.375
3.5,125380.96875,15222.564453125,15223.087890625,15224.1982421875,131341.90625,228118.984375,115507.4375,207213.328125
3.75,125380.9921875,15222.5634765625,15223.087890625,15224.1982421875,131348.875,228116.15625,115507.390625,207213.34375
4.0,125380.96875,15222.5654296875,15223.087890625,15224.1962890625,131346.421875,228117.359375,115507.4609375,207213.25
4.25,125381.0078125,15222.5712890625,15223.0771484375,15224.2021484375,131344.953125,228114.28125,115507.4296875,207213.4375
4.5,125381.0234375,15222.5693359375,15223.0810546875,15224.2099609375,131348.65625,228113.125,115507.5234375,207213.46875
4.75,125381.0078125,15222.5673828125,15223.08203125,15224.205078125,131342.390625,228113.59375,115507.421875,207213.40625
5.0,125381.0390625,15222.564453125,15223.0830078125,15224.197265625,131344.84375,228114.40625,115507.5703125,207213.484375
5.25,125381.015625,15222.564453125,15223.0849609375,15224.2021484375,131345.578125,228117.984375,115507.5859375,207213.46875
5.5,125380.96875,15222.564453125,15223.0849609375,15224.201171875,131344.390625,228120.0,115507.671875,207213.5
5.75,125380.9765625,15222.564453125,15223.0869140625,15224.19921875,131351.015625,228113.328125,115507.546875,207213.40625
6.0,125380.984375,15222.564453125,15223.08984375,15224.1826171875,131344.953125,228115.703125,115507.5703125,207213.421875
6.25,125380.984375,15222.560546875,15223.09375,15224.2001953125,131344.296875,228120.796875,115507.484375,207213.3125
