Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
0.0,212796.71875,126417.4140625,218723.375,208202.4375,115959.8671875,125539.21875
0.25,212502.109375,126664.9921875,219453.953125,207380.890625,116155.4375,125737.234375
0.5,212425.265625,126609.7890625,219358.625,207280.96875,116170.5390625,125676.6953125
0.75,212394.640625,126588.5625,219322.09375,207243.328125,116176.828125,125655.796875
1.0,212383.734375,126580.4140625,219308.03125,207228.71875,116178.7890625,125647.78125
1.25,212379.859375,126577.28125,219302.640625,207223.171875,116179.6328125,125644.8359375
1.5,212378.234375,126576.0546875,219300.515625,207221.0625,116179.984375,125643.484375
1.75,212377.765625,126575.65625,219299.765625,207220.125,116180.1953125,125643.0234375
2.0,212316.234375,126444.2421875,218892.078125,206982.328125,116149.5546875,125402.015625
2.25,212377.09375,126575.296875,219299.296875,207219.953125,116180.1875,125642.796875
2.5,212377.4375,126575.2734375,219299.21875,207219.796875,116180.4296875,125642.7890625
2.75,212377.125,126575.265625,219299.234375,207219.65625,116180.1796875,125642.7734375
3.0,212377.28125,126575.3359375,219299.234375,207219.734375,116180.2890625,125642.7734375
3.25,212377.25,126575.3515625,219299.234375,207219.734375,116180.328125,125642.7578125
3.5,212377.234375,126575.390625,219299.234375,207219.609375,116180.2109375,125642.7265625
3.75,212377.171875,126575.3125,219299.25,207219.671875,116180.171875,125642.75
4.0,212377.359375,126575.3359375,219299.328125,207219.5625,116180.234375,125642.734375
4.25,212377.09375,126575.2890625,219299.234375,207219.703125,116180.203125,125642.7734375
4.5,212377.265625,126575.3046875,219299.21875,207219.78125,116180.3125,125642.78125
4.75,212377.09375,126575.2578125,219299.21875,207219.734375,116180.203125,125642.765625
5.0,212377.296875,126575.296875,219299.21875,207219.78125,116180.3515625,125642.796875
5.25,212377.390625,126575.3203125,219299.21875,207219.75,116180.3671875,125642.7734375
5.5,212377.46875,126575.28125,219299.21875,207219.8125,116180.453125,125642.7265625
5.75,212377.28125,126575.2890625,219299.25,207219.75,116180.3203125,125642.7421875
6.0,212377.375,126575.3671875,219299.25,207219.75,116180.3515625,125642.7421875
6.25,212377.328125,126575.3984375,219299.328125,207219.671875,116180.265625,125642.7421875
6.5,212377.21875,126575.2109375,219299.109375,207219.859375,116180.3984375,125642.7890625
6.75,212377.4375,126575.296875,219299.1875,207219.75,116180.3984375,125642.7734375
7.0,212377.34375,126575.296875,219299.171875,207219.828125,116180.421875,125642.7578125
7.25,212377.234375,126575.2734375,219299.21875,207219.703125,116180.3125,125642.75
7.5,212376.84375,126575.3125,219299.3125,207219.59375,116180.0078125,125642.7734375
7.75,212377.140625,126575.3046875,219299.203125,207219.84375,116180.265625,125642.78125
8.0,212377.171875,126575.3515625,219299.28125,207219.703125,116180.203125,125642.7734375
8.25,212377.296875,126575.359375,219299.25,207219.640625,116180.25,125642.7578125
8.5,212377.53125,126575.375,219299.25,207219.78125,116180.390625,125642.75
8.75,212377.375,126575.265625,219299.15625,207219.921875,116180.390625,125642.7734375
9.0,212377.09375,126575.2578125,219299.21875,207219.734375,116180.25,125642.7421875
9.25,212377.15625,126575.265625,219299.21875,207219.734375,116180.234375,125642.75
9.5,212376.953125,126575.296875,219299.234375,207219.90625,116180.15625,125642.796875
9.75,212377.296875,126575.296875,219299.203125,207219.75,116180.171875,125642.765625
10.0,212377.328125,126575.359375,219299.21875,207219.828125,116180.328125,125642.78125
10.25,212377.140625,126575.3203125,219299.234375,207219.65625,116180.1171875,125642.7109375
10.5,212377.421875,126575.34375,219299.25,207219.734375,116180.21875,125642.7265625
10.75,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0
12.75,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
13.25,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0
13.75,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
14.25,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0,0.0,0.0,0.0
14.75,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
15.25,0.0,0.0,0.0,0.0,0.0,0.0
15.5,0.0,0.0,0.0,0.0,0.0,0.0
15.75,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0
16.25,0.0,0.0,0.0,0.0,0.0,0.0
16.5,0.0,0.0,0.0,0.0,0.0,0.0
16.75,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0
17.25,0.0,0.0,0.0,0.0,0.0,0.0
17.5,0.0,0.0,0.0,0.0,0.0,0.0
17.75,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0
18.25,0.0,0.0,0.0,0.0,0.0,0.0
18.5,0.0,0.0,0.0,0.0,0.0,0.0
18.75,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0
