Time,Node 632.Probe1
0.0,1734935.75
1.0,1758905.5
2.0,1613813.0
3.0,1666063.125
4.0,1583600.75
5.0,1667681.375
6.0,1741921.0
7.0,1610706.0
8.0,1571506.625
9.0,1696773.0
10.0,187267.296875
11.0,196105.5
12.0,227027.109375
13.0,180204.375
14.0,231338.875
15.0,189537.5625
16.0,202823.90625
17.0,180127.828125
18.0,200496.78125
19.0,187505.21875
20.0,185220.03125
21.0,231892.78125
22.0,180271.25
23.0,231206.8125
24.0,180491.78125
25.0,218028.578125
26.0,198529.140625
27.0,188617.796875
28.0,185328.5
29.0,212262.03125
30.0,196092.078125
31.0,208938.671875
32.0,199385.375
33.0,187217.59375
34.0,231622.515625
35.0,222027.109375
36.0,208497.015625
37.0,219975.390625
38.0,205852.9375
39.0,230145.890625
40.0,228385.125
41.0,197566.265625
42.0,231754.140625
43.0,228461.875
44.0,213786.859375
45.0,213374.21875
46.0,232122.890625
47.0,212981.625
48.0,181253.0625
49.0,196328.046875
50.0,180343.3125
51.0,218226.5625
52.0,196567.21875
53.0,213744.953125
54.0,225144.53125
55.0,916271.8125
56.0,936643.75
57.0,931210.5625
58.0,877210.5625
59.0,882298.5
60.0,873235.0625
61.0,876618.875
62.0,944427.75
63.0,957721.875
64.0,895076.875
65.0,937398.5
66.0,872156.3125
67.0,962462.75
68.0,956449.125
69.0,939509.125
70.0,920193.6875
71.0,887279.0625
72.0,924160.1875
73.0,901636.5625
74.0,897420.3125
75.0,961692.625
76.0,905226.8125
77.0,892096.3125
78.0,957705.8125
79.0,884402.8125
80.0,968030.625
81.0,876899.875
82.0,957565.6875
83.0,451419.46875
84.0,429128.84375
85.0,436813.59375
86.0,449549.8125
87.0,471319.78125
88.0,451043.375
89.0,459531.78125
90.0,483994.1875
91.0,466963.59375
92.0,438510.59375
93.0,472973.1875
94.0,479935.375
95.0,427991.28125
96.0,489678.15625
97.0,431325.15625
98.0,447509.1875
99.0,457178.65625
100.0,478126.75
101.0,437394.71875
102.0,466539.59375
103.0,486718.6875
104.0,110325.8984375
105.0,79932.9140625
106.0,89007.140625
107.0,60850.7734375
108.0,116930.671875
109.0,111949.03125
110.0,88058.96875
111.0,90678.9765625
112.0,119567.75
113.0,88323.1328125
114.0,93703.515625
115.0,88611.3515625
116.0,85407.328125
117.0,77308.03125
118.0,87441.8671875
119.0,487446.21875
120.0,436431.96875
121.0,445865.21875
122.0,446195.5625
123.0,466546.5625
124.0,925435.5625
125.0,911290.375
126.0,913525.0
127.0,924827.375
128.0,880328.5625
129.0,922264.375
130.0,1265892.25
131.0,1329556.75
132.0,1345227.875
133.0,1349759.5
134.0,1359009.75
135.0,1357915.75
136.0,1257807.0
137.0,1359498.125
138.0,1361406.5
139.0,1279411.875
140.0,1362209.5
141.0,1359513.875
142.0,1264426.875
143.0,1267101.0
144.0,1345308.25
145.0,1358374.25
146.0,635167.8125
147.0,659090.375
148.0,619609.8125
149.0,666989.25
150.0,640958.8125
151.0,611448.6875
152.0,666558.375
153.0,654825.5
154.0,625904.8125
155.0,618635.4375
156.0,617026.5
157.0,633515.125
158.0,619141.625
159.0,623695.5625
160.0,677106.4375
161.0,681729.0
162.0,662823.875
163.0,774218.9375
164.0,764790.875
165.0,857951.5
166.0,892166.375
167.0,896528.4375
168.0,882985.3125
169.0,916384.125
170.0,848227.6875
171.0,901683.3125
172.0,843155.9375
173.0,868365.1875
174.0,901632.3125
175.0,893597.8125
176.0,913496.5
177.0,913141.25
178.0,903637.5625
179.0,894889.875
180.0,870808.0625
181.0,888437.5
182.0,915519.6875
183.0,917028.1875
184.0,891606.9375
185.0,913523.8125
186.0,2774236.75
187.0,2728514.25
188.0,2693516.5
189.0,2864203.75
