Time,Node 646.V2_rms,Node 646.V3_rms,Node 652.V1_rms,Node 671.V1_rms,Node 671.V2_rms,Node 671.V3_rms,Node 675.V1_rms,Node 675.V2_rms,Node 675.V3_rms,UpperBound,LowerBound
0.0,2443.539794921875,2455.599853515625,2153.04248046875,2166.835205078125,2360.92431640625,2343.955078125,2164.3681640625,2358.607177734375,2341.333740234375,2522.0,2282.0
0.25,2444.840576171875,2455.609619140625,2152.489990234375,2167.504150390625,2360.900634765625,2343.75390625,2165.028564453125,2358.572265625,2341.123046875,2522.0,2282.0
0.5,2443.523193359375,2455.6201171875,2152.544677734375,2167.5615234375,2360.917724609375,2343.7451171875,2165.0849609375,2358.59228515625,2341.11474609375,2522.0,2282.0
0.75,2443.5244140625,2455.6328125,2152.554931640625,2167.584228515625,2360.924560546875,2343.742431640625,2165.107177734375,2358.60009765625,2341.112060546875,2522.0,2282.0
1.0,2443.52490234375,2455.612548828125,2152.562744140625,2167.591796875,2360.926513671875,2343.740966796875,2165.114501953125,2358.6025390625,2341.110595703125,2522.0,2282.0
1.25,2443.525146484375,2455.62451171875,2152.58447265625,2167.5947265625,2360.927734375,2343.740966796875,2165.11767578125,2359.87841796875,2341.110595703125,2522.0,2282.0
1.5,2443.525146484375,2456.948486328125,2152.56884765625,2167.596435546875,2362.203369140625,2343.740478515625,2165.119140625,2358.603759765625,2342.37548828125,2522.0,2282.0
1.75,2443.525146484375,2455.611083984375,2152.556396484375,2167.59619140625,2360.927978515625,2345.0068359375,2165.118896484375,2358.60400390625,2341.110107421875,2522.0,2282.0
2.0,2443.525146484375,2455.619140625,2152.5703125,2167.596923828125,2360.927734375,2343.740478515625,2165.11962890625,2358.60400390625,2341.110107421875,2522.0,2282.0
2.25,2443.525146484375,2455.616455078125,2152.583984375,2167.59716796875,2360.92822265625,2343.74072265625,2165.119873046875,2358.6044921875,2341.110595703125,2522.0,2282.0
2.5,2444.845703125,2455.614990234375,2152.58544921875,2167.597412109375,2360.927978515625,2343.740478515625,2165.1201171875,2358.60400390625,2341.110107421875,2522.0,2282.0
2.75,2443.525146484375,2455.608154296875,2152.587646484375,2167.596435546875,2360.928466796875,2343.740478515625,2165.119384765625,2358.6044921875,2341.110107421875,2522.0,2282.0
3.0,2443.525146484375,2455.61279296875,2152.58056640625,2167.596923828125,2360.927978515625,2343.740234375,2166.289794921875,2358.604248046875,2341.10986328125,2522.0,2282.0
3.25,2443.525146484375,2455.606201171875,2152.57373046875,2168.767822265625,2360.927978515625,2343.740234375,2165.119384765625,2358.604248046875,2341.110107421875,2522.0,2282.0
3.5,2443.525146484375,2455.6220703125,2152.586181640625,2167.5966796875,2360.927978515625,2343.740478515625,2165.119384765625,2359.878662109375,2341.110107421875,2522.0,2282.0
3.75,2443.525146484375,2455.609130859375,2152.5947265625,2167.596923828125,2362.203857421875,2343.740234375,2165.11962890625,2358.604248046875,2341.10986328125,2522.0,2282.0
4.0,2443.525146484375,2455.613037109375,2152.5673828125,2167.596923828125,2360.9287109375,2343.74072265625,2165.11962890625,2358.60498046875,2342.37548828125,2522.0,2282.0
4.25,2443.525146484375,2455.61328125,2153.736328125,2167.5966796875,2360.927978515625,2343.74072265625,2165.119384765625,2358.604248046875,2341.1103515625,2522.0,2282.0
