Time,Node 680.V1_rms,Node 680.V2_rms,Node 680.V3_rms,Node 684.V1_rms,Node 684.V3_rms,Node 692.V1_rms,Node 692.V2_rms,Node 692.V3_rms,UpperBound,LowerBound
0.0,2166.835205078125,2360.92431640625,2343.955078125,2162.763427734375,2340.51611328125,2166.835205078125,2360.92431640625,2343.955078125,2522.0,2282.0
0.25,2167.504150390625,2360.900634765625,2343.75390625,2163.42138671875,2340.3076171875,2167.504150390625,2360.900634765625,2343.75390625,2522.0,2282.0
0.5,2167.5615234375,2360.917724609375,2343.7451171875,2163.477783203125,2340.30078125,2167.5615234375,2360.917724609375,2343.7451171875,2522.0,2282.0
0.75,2167.584228515625,2360.924560546875,2343.742431640625,2163.500244140625,2340.298583984375,2167.584228515625,2360.924560546875,2343.742431640625,2522.0,2282.0
1.0,2167.591796875,2360.926513671875,2343.740966796875,2163.507568359375,2340.297607421875,2167.591796875,2360.926513671875,2343.740966796875,2522.0,2282.0
1.25,2167.5947265625,2360.927734375,2343.740966796875,2163.510498046875,2340.29736328125,2167.5947265625,2360.927734375,2343.740966796875,2522.0,2282.0
1.5,2167.596435546875,2362.203369140625,2343.740478515625,2163.51220703125,2340.297119140625,2167.596435546875,2362.203369140625,2343.740478515625,2522.0,2282.0
1.75,2167.59619140625,2360.927978515625,2345.0068359375,2163.51171875,2340.296875,2167.59619140625,2360.927978515625,2345.0068359375,2522.0,2282.0
2.0,2167.596923828125,2360.927734375,2343.740478515625,2163.5126953125,2340.296875,2167.596923828125,2360.927734375,2343.740478515625,2522.0,2282.0
2.25,2167.59716796875,2360.92822265625,2343.74072265625,2163.512939453125,2340.29736328125,2167.59716796875,2360.92822265625,2343.74072265625,2522.0,2282.0
2.5,2167.597412109375,2360.927978515625,2343.740478515625,2163.512939453125,2340.297119140625,2167.597412109375,2360.927978515625,2343.740478515625,2522.0,2282.0
2.75,2167.596435546875,2360.928466796875,2343.740478515625,2163.51220703125,2340.296875,2167.596435546875,2360.928466796875,2343.740478515625,2522.0,2282.0
3.0,2167.596923828125,2360.927978515625,2343.740234375,2164.681884765625,2340.296630859375,2167.596923828125,2360.927978515625,2343.740234375,2522.0,2282.0
3.25,2168.767822265625,2360.927978515625,2343.740234375,2163.51220703125,2340.296875,2168.767822265625,2360.927978515625,2343.740234375,2522.0,2282.0
