Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
0.0,212791.875,126779.78125,220082.1875,207766.546875,115932.0234375,126140.0234375
0.25,212457.40625,126632.6953125,219398.109375,207328.359375,116163.9140625,125702.984375
0.5,212425.3125,126609.6328125,219358.546875,207280.859375,116170.421875,125678.921875
0.75,212395.546875,126588.359375,219321.984375,207243.21875,116176.4296875,125656.625
1.0,212381.3125,126578.0078125,219304.109375,207225.1875,116179.5234375,125645.765625
1.25,212379.71875,126577.1171875,219302.28125,207223.09375,116179.71875,125644.7109375
1.5,212378.203125,126575.9765625,219300.515625,207221.0625,116180.0078125,125643.5546875
1.75,212377.640625,126575.5,219299.6875,207220.078125,116180.1875,125643.0546875
2.0,212316.125,126445.6796875,218892.015625,206982.171875,116148.78125,125401.3203125
2.25,212377.28125,126575.1328125,219299.1875,207219.8125,116180.390625,125642.8125
2.5,212377.21875,126575.109375,219299.15625,207219.828125,116180.3203125,125642.78125
2.75,212377.203125,126575.0625,219299.078125,207219.71875,116180.4296875,125642.78125
3.0,212377.21875,126575.1796875,219299.234375,207219.609375,116180.3203125,125642.8125
3.25,212377.28125,126575.1796875,219299.171875,207219.75,116180.359375,125642.7734375
3.5,212377.390625,126575.1953125,219299.125,207219.671875,116180.375,125642.7265625
3.75,212377.203125,126575.171875,219299.171875,207219.40625,116180.25,125642.703125
4.0,212315.90625,126445.46875,218891.703125,206982.15625,116148.796875,125401.265625
4.25,212377.015625,126575.09375,219299.125,207219.65625,116180.2578125,125642.7890625
4.5,212377.296875,126575.1484375,219299.125,207219.78125,116180.4296875,125642.7890625
4.75,212377.25,126575.1875,219299.203125,207219.796875,116180.296875,125642.8125
5.0,212377.171875,126575.09375,219299.09375,207219.671875,116180.2578125,125642.75
5.25,212377.4375,126575.1796875,219299.078125,207219.734375,116180.4609375,125642.78125
5.5,212377.265625,126575.1875,219299.125,207219.6875,116180.296875,125642.7421875
5.75,212377.203125,126575.125,219299.171875,207219.65625,116180.3203125,125642.78125
6.0,212377.265625,126575.1875,219299.171875,207219.6875,116180.265625,125642.75
6.25,212377.375,126575.1796875,219299.140625,207219.59375,116180.3359375,125642.7265625
6.5,212377.140625,126575.1171875,219299.109375,207219.734375,116180.3203125,125642.7734375
6.75,212377.15625,126575.15625,219299.140625,207219.734375,116180.359375,125642.7578125
7.0,212377.25,126575.1328125,219299.09375,207219.75,116180.4140625,125642.796875
7.25,212377.28125,126575.1640625,219299.1875,207219.703125,116180.3515625,125642.765625
7.5,212377.09375,126575.15625,219299.15625,207219.71875,116180.1875,125642.7890625
7.75,212377.21875,126575.15625,219299.125,207219.65625,116180.3046875,125642.7890625
8.0,212377.3125,126575.0859375,219299.171875,207219.765625,116180.1953125,125642.765625
8.25,212377.015625,126575.1015625,219299.140625,207219.734375,116180.21875,125642.8125
8.5,212377.171875,126575.125,219299.109375,207219.640625,116180.2734375,125642.7734375
8.75,212377.3125,126575.171875,219299.15625,207219.71875,116180.296875,125642.8046875
9.0,212377.265625,126575.1015625,219299.0625,207219.671875,116180.359375,125642.7734375
9.25,212377.203125,126575.171875,219299.140625,207219.59375,116180.1953125,125642.765625
9.5,212377.40625,126575.1640625,219299.203125,207219.5625,116180.3671875,125642.7421875
9.75,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0
10.25,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0,0.0
10.75,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0
12.75,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
13.25,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0
13.75,108024.6328125,24007.400390625,98033.984375,107999.3359375,130027.171875,72023.0703125
14.0,108025.3671875,24007.505859375,97996.1171875,107996.2890625,130025.8203125,72023.375
14.25,107971.4921875,23965.044921875,97823.6484375,107956.453125,130022.953125,71900.015625
14.5,108025.1640625,24007.4765625,98034.96875,108026.2578125,130025.453125,72023.3359375
14.75,108025.2578125,24007.46875,98034.984375,108026.46875,130025.640625,72023.3203125
15.0,108024.5625,24007.470703125,98035.015625,108026.4921875,130025.546875,72008.296875
15.25,108024.875,24007.453125,98034.9140625,108026.34375,130025.234375,72023.203125
15.5,108025.2578125,24007.462890625,98034.9375,108026.3359375,130025.59375,72023.2421875
15.75,104024.3671875,24007.478515625,105037.4296875,101024.703125,132026.078125,78025.2265625
16.0,104024.4453125,24007.478515625,105037.5,100998.6328125,132026.3125,78025.265625
16.25,104024.421875,23999.859375,105022.46875,101024.640625,132026.03125,78025.171875
16.5,104025.1640625,23999.818359375,105022.4921875,101025.0546875,131956.765625,78025.125
