Node,Phase,ReverseFlow,MinimumPower_kW,MaximumPower_kW,WorstReverseSimHour,WorstReverseWhen
611,C,1,-10.76692578125,130.3804453125,22.6875,Day 1 22:41
634,A,1,-10.0566083984375,139.81003125,20.8125,Day 1 20:49
634,B,1,-2.8582470703125,79.15003125,18.875,Day 1 18:53
634,C,1,-11.866330078125,73.11053125,42.25,Day 2 18:15
645,B,1,-4.1946044921875,131.44459375,15.0625,Day 1 15:04
646,B,1,-7.26104736328125,228.269828125,23.25,Day 1 23:15
652,A,1,-9.827568359375,115.507640625,20.375,Day 1 20:23
692,C,1,-11.4422373046875,208.52715625,22.6875,Day 1 22:41
671,A,1,-0.0929380187988281,293.20134375,20.125,Day 1 20:08
675,B,1,-9.5776142578125,126.66484375,46.25,Day 2 22:15
671,B,1,-2.090296875,280.229125,66.1875,Day 3 18:11
675,A,1,-0.898349731445312,388.52709375,89.6875,Day 4 17:41
675,C,1,-7.01982958984375,206.250625,18.1875,Day 1 18:11
