Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
0.0,125268.7578125,15198.2265625,15219.7861328125,15201.294921875,131456.15625,228703.203125,115252.84375,208527.296875
0.25,125449.1484375,15216.2099609375,15231.1279296875,15232.4599609375,131417.015625,228229.25,115489.0390625,207336.75
0.5,125416.9296875,15219.2138671875,15227.333984375,15228.5537109375,131384.6875,228171.796875,115497.71875,207278.6875
0.75,125393.9296875,15221.2822265625,15224.7119140625,15225.7666015625,131364.46875,228145.84375,115503.7421875,207237.0625
1.0,125383.7578125,15222.2939453125,15223.4306640625,15224.537109375,131345.8125,228122.0625,115506.828125,207218.671875
1.25,125142.2578125,15217.6787109375,15207.580078125,15195.1748046875,131214.421875,227695.859375,115476.2265625,206975.484375
1.5,125381.6875,15222.49609375,15223.17578125,15224.2724609375,131350.34375,228112.125,115507.3359375,207214.921875
1.75,125381.25,15222.5361328125,15223.1240234375,15224.234375,131351.71875,228117.59375,115507.34375,207214.015625
2.0,125381.0546875,15222.5625,15223.0859375,15224.21484375,131343.5625,228117.09375,115507.5390625,207213.796875
2.25,125380.9609375,15222.5693359375,15223.08203125,15224.2041015625,131347.359375,228113.125,115507.453125,207213.625
2.5,125380.9765625,15222.5703125,15223.080078125,15224.208984375,131346.046875,228115.09375,115507.4921875,207213.640625
2.75,125380.9765625,15222.5703125,15223.08203125,15224.1904296875,131348.984375,228114.40625,115507.625,207213.625
3.0,125380.984375,15222.5673828125,15223.0849609375,15224.203125,131345.671875,228122.1875,115507.515625,207213.6875
3.25,125380.9453125,15222.564453125,15223.0869140625,15224.1884765625,131350.03125,228120.84375,115507.390625,207213.515625
3.5,125380.9453125,15222.564453125,15223.087890625,15224.1982421875,131350.40625,228122.859375,115507.5390625,207213.515625
3.75,125380.921875,15222.5634765625,15223.087890625,15224.19921875,131346.046875,228118.234375,115507.46875,207213.5
4.0,125140.7734375,15217.81640625,15207.404296875,15194.9970703125,131215.078125,227695.828125,115476.453125,206972.9375
4.25,125380.984375,15222.5712890625,15223.0771484375,15224.2060546875,131341.796875,228117.46875,115507.4921875,207213.671875
4.5,125380.96875,15222.5693359375,15223.0810546875,15224.205078125,131343.71875,228110.484375,115507.546875,207213.59375
4.75,125380.984375,15222.5654296875,15223.0830078125,15224.205078125,131348.890625,228123.515625,115507.515625,207213.6875
5.0,125380.9609375,15222.5634765625,15223.083984375,15224.2021484375,131345.140625,228119.1875,115507.4453125,207213.59375
5.25,125380.9296875,15222.5654296875,15223.0859375,15224.2001953125,131351.765625,228120.125,115507.40625,207213.484375
5.5,125380.921875,15222.5654296875,15223.0859375,15224.1875,131346.125,228112.875,115507.6015625,207213.5625
5.75,125380.984375,15222.5625,15223.0849609375,15224.203125,131349.09375,228109.5625,115507.5390625,207213.59375
6.0,125380.96875,15222.5654296875,15223.08203125,15224.2021484375,131348.140625,228116.015625,115507.5546875,207213.609375
6.25,125380.9609375,15222.564453125,15223.0859375,15224.201171875,131345.65625,228118.1875,115507.5625,207213.546875
6.5,125380.9609375,15222.5634765625,15223.08203125,15224.197265625,131345.765625,228117.328125,115507.5703125,207213.65625
6.75,125380.953125,15222.5634765625,15223.0849609375,15224.2021484375,131349.203125,228116.234375,115507.4765625,207213.578125
7.0,125380.9296875,15222.5634765625,15223.0830078125,15224.201171875,131344.40625,228122.71875,115507.5390625,207213.515625
7.25,125380.984375,15222.5615234375,15223.0888671875,15224.2041015625,131345.96875,228110.953125,115507.453125,207213.546875
7.5,125380.9765625,15222.560546875,15223.0888671875,15224.205078125,131344.078125,228123.5625,115507.578125,207213.5
7.75,125380.953125,15222.55859375,15223.091796875,15224.203125,131348.0,228112.03125,115507.421875,207213.515625
8.0,125380.9609375,15222.5556640625,15223.09375,15224.2041015625,131346.0625,228113.125,115507.484375,207213.484375
8.25,125140.7578125,15217.8095703125,15207.41015625,15194.9990234375,131211.4375,227687.421875,115476.5234375,206972.984375
8.5,125380.96875,15222.5654296875,15223.0791015625,15224.2041015625,131345.4375,228118.609375,115507.5546875,207213.703125
8.75,125380.9375,15222.56640625,15223.080078125,15224.205078125,131347.8125,228116.796875,115507.453125,207213.609375
9.0,125381.0,15222.5634765625,15223.083984375,15224.2080078125,131348.828125,228116.453125,115507.4921875,207213.59375
9.25,125380.9765625,15222.5595703125,15223.087890625,15224.2099609375,131348.078125,228120.5,115507.515625,207213.640625
9.5,125380.9375,15222.5556640625,15223.0888671875,15224.201171875,131345.03125,228118.09375,115507.6328125,207213.578125
9.75,125380.9609375,15222.5546875,15223.0908203125,15224.205078125,131348.640625,228121.03125,115507.46875,207213.515625
10.0,125380.9296875,15222.5546875,15223.091796875,15224.181640625,131347.09375,228118.234375,115507.578125,207213.625
10.25,125380.921875,15222.556640625,15223.091796875,15224.2021484375,131348.03125,228115.890625,115507.4140625,207213.359375
10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.25,29009.38671875,42878.9921875,21975.7890625,23970.228515625,48015.25,42799.29296875,26004.6875,32007.61328125
19.5,28999.79296875,42878.9921875,21975.77734375,23970.234375,48015.2890625,42792.7890625,26005.1484375,32007.85546875
19.75,29009.3828125,42878.9921875,21975.783203125,23970.208984375,48015.03515625,42802.34375,26005.0546875,32007.85546875
20.0,31997.38671875,40022.640625,20012.16796875,25009.712890625,43015.19921875,42790.08984375,28011.283203125,31006.603515625
20.25,32010.353515625,40022.48828125,20012.171875,25009.703125,43013.453125,42797.58203125,28005.451171875,31007.609375
20.5,32010.318359375,40022.48828125,20012.17578125,25009.697265625,43013.55859375,42794.8359375,28005.490234375,31007.544921875
20.75,32010.31640625,40022.48828125,20012.17578125,25009.697265625,43013.52734375,42792.46875,28005.490234375,31007.544921875
21.0,32010.345703125,40022.4921875,20012.16015625,25009.716796875,43013.35546875,42798.39453125,28005.52734375,31007.625
21.25,32003.64453125,40022.4921875,20012.1640625,25009.712890625,42999.62109375,42800.21875,28005.51171875,31007.638671875
21.5,31999.7578125,40022.4921875,20012.166015625,25009.7109375,43004.27734375,42802.19921875,28005.54296875,31007.607421875
