Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
0.0,212792.125,126779.7890625,220082.15625,208187.515625,115932.125,125529.9140625
0.25,212468.046875,126640.484375,219411.625,207342.984375,116161.59375,125711.2421875
0.5,212425.171875,126609.6640625,219358.546875,207284.84375,116170.3671875,125678.890625
0.75,212394.40625,126588.3359375,219321.9375,207243.21875,116176.46875,125655.796875
1.0,212381.3125,126577.9765625,219304.03125,207224.828125,116179.59375,125645.578125
1.25,212318.0,126446.9765625,218894.21875,206984.484375,116148.5,125402.71875
1.5,212378.34375,126575.8515625,219300.328125,207221.09375,116180.109375,125643.5
1.75,212377.53125,126575.515625,219299.71875,207220.078125,116180.125,125643.0625
2.0,212377.375,126575.140625,219299.21875,207219.90625,116180.3125,125642.859375
2.25,212377.21875,126575.1953125,219299.21875,207219.765625,116180.2265625,125642.765625
2.5,212377.234375,126575.1640625,219299.234375,207219.765625,116180.2734375,125642.796875
2.75,212377.34375,126575.140625,219299.15625,207219.71875,116180.4140625,125642.7890625
3.0,212377.203125,126575.2421875,219299.171875,207219.8125,116180.3046875,125642.796875
3.25,212377.078125,126575.1875,219299.140625,207219.671875,116180.171875,125642.7578125
3.5,212377.25,126575.1796875,219299.140625,207219.609375,116180.3203125,125642.7578125
3.75,212377.1875,126575.171875,219299.171875,207219.625,116180.2421875,125642.734375
4.0,212315.6875,126445.4921875,218891.71875,206982.0,116148.7265625,125401.234375
4.25,212376.984375,126575.0546875,219299.078125,207219.734375,116180.265625,125642.796875
4.5,212377.171875,126575.125,219299.125,207219.71875,116180.328125,125642.78125
4.75,212377.125,126575.125,219299.109375,207219.8125,116180.3046875,125642.796875
5.0,212377.078125,126575.1171875,219299.125,207219.71875,116180.2265625,125642.765625
5.25,212377.15625,126575.203125,219299.125,207219.578125,116180.1875,125642.734375
5.5,212377.296875,126575.1640625,219299.15625,207219.703125,116180.375,125642.734375
5.75,212377.203125,126575.140625,219299.125,207219.65625,116180.3203125,125642.7890625
6.0,212377.203125,126575.1484375,219299.140625,207219.734375,116180.3359375,125642.78125
6.25,212377.1875,126575.1015625,219299.125,207219.671875,116180.34375,125642.765625
6.5,212377.1875,126575.109375,219299.078125,207219.765625,116180.3515625,125642.7734375
6.75,212377.03125,126575.1171875,219299.125,207219.6875,116180.2578125,125642.7578125
