Time,Node 680.V1_rms,Node 680.V2_rms,Node 680.V3_rms,Node 684.V1_rms,Node 684.V3_rms,Node 692.V1_rms,Node 692.V2_rms,Node 692.V3_rms,UpperBound,LowerBound
0.0,2166.892578125,2360.83642578125,2343.9599609375,2162.821044921875,2340.521484375,2166.892578125,2360.83642578125,2343.9599609375,2522.0,2282.0
0.25,2168.701416015625,2360.9072265625,2343.750244140625,2163.44677734375,2340.3046875,2168.701416015625,2360.9072265625,2343.750244140625,2522.0,2282.0
0.5,2167.56103515625,2360.916748046875,2343.74462890625,2163.477294921875,2340.30029296875,2167.56103515625,2360.916748046875,2343.74462890625,2522.0,2282.0
0.75,2167.5830078125,2360.92333984375,2343.7412109375,2164.66796875,2340.297607421875,2167.5830078125,2360.92333984375,2343.7412109375,2522.0,2282.0
1.0,2167.593505859375,2360.926513671875,2343.739501953125,2163.50927734375,2340.296142578125,2167.593505859375,2360.926513671875,2343.739501953125,2522.0,2282.0
1.25,2167.5947265625,2360.927001953125,2343.73974609375,2163.510498046875,2340.29638671875,2167.5947265625,2360.927001953125,2343.73974609375,2522.0,2282.0
1.5,2167.59619140625,2360.927734375,2343.739501953125,2163.51171875,2340.296142578125,2167.59619140625,2360.927734375,2343.739501953125,2522.0,2282.0
1.75,2167.59619140625,2360.927490234375,2343.739501953125,2163.51171875,2340.296142578125,2167.59619140625,2360.927490234375,2343.739501953125,2522.0,2282.0
2.0,2167.596435546875,2360.927490234375,2343.739501953125,2163.51220703125,2340.2958984375,2167.596435546875,2360.927490234375,2343.739501953125,2522.0,2282.0
2.25,2167.59619140625,2360.927490234375,2343.7392578125,2163.51171875,2340.2958984375,2167.59619140625,2360.927490234375,2343.7392578125,2522.0,2282.0
2.5,2167.59619140625,2360.92724609375,2343.739501953125,2163.511962890625,2340.2958984375,2167.59619140625,2360.92724609375,2343.739501953125,2522.0,2282.0
2.75,2167.596923828125,2360.92724609375,2343.739501953125,2163.5126953125,2340.296142578125,2167.596923828125,2360.92724609375,2343.739501953125,2522.0,2282.0
3.0,2167.595947265625,2360.927490234375,2343.7392578125,2164.680908203125,2340.2958984375,2167.595947265625,2360.927490234375,2343.7392578125,2522.0,2282.0
3.25,2167.59619140625,2360.9267578125,2343.7392578125,2163.511962890625,2340.295654296875,2167.59619140625,2360.9267578125,2343.7392578125,2522.0,2282.0
3.5,2167.59619140625,2360.927490234375,2343.739501953125,2163.51171875,2340.296142578125,2167.59619140625,2360.927490234375,2343.739501953125,2522.0,2282.0
3.75,2167.59619140625,2362.203369140625,2343.7392578125,2163.511962890625,2340.2958984375,2167.59619140625,2362.203369140625,2343.7392578125,2522.0,2282.0
4.0,2167.59619140625,2360.92724609375,2343.739501953125,2163.511962890625,2340.296142578125,2167.59619140625,2360.92724609375,2343.739501953125,2522.0,2282.0
4.25,2167.5966796875,2360.92724609375,2343.73974609375,2163.512451171875,2340.29638671875,2167.5966796875,2360.92724609375,2343.73974609375,2522.0,2282.0
4.5,2167.5966796875,2360.927490234375,2343.7392578125,2163.51220703125,2340.2958984375,2167.5966796875,2360.927490234375,2343.7392578125,2522.0,2282.0
4.75,2167.5966796875,2360.927490234375,2343.739501953125,2163.512451171875,2340.296142578125,2167.5966796875,2360.927490234375,2343.739501953125,2522.0,2282.0
5.0,2167.59619140625,2360.92724609375,2343.739501953125,2163.511962890625,2340.2958984375,2167.59619140625,2360.92724609375,2343.739501953125,2522.0,2282.0
5.25,2168.767333984375,2360.92724609375,2343.7392578125,2163.51171875,2340.2958984375,2168.767333984375,2360.92724609375,2343.7392578125,2522.0,2282.0
5.5,2167.5966796875,2360.927001953125,2343.73974609375,2163.51220703125,2340.29638671875,2167.5966796875,2360.927001953125,2343.73974609375,2522.0,2282.0
5.75,2167.59619140625,2360.927490234375,2343.739013671875,2163.511962890625,2340.295654296875,2167.59619140625,2360.927490234375,2343.739013671875,2522.0,2282.0
6.0,2167.596435546875,2360.927734375,2343.739501953125,2163.511962890625,2340.296142578125,2167.596435546875,2360.927734375,2343.739501953125,2522.0,2282.0
6.25,2168.76806640625,2360.92724609375,2343.7392578125,2163.51220703125,2340.2958984375,2168.76806640625,2360.92724609375,2343.7392578125,2522.0,2282.0
6.5,2167.596435546875,2360.927490234375,2343.7392578125,2163.51220703125,2340.2958984375,2167.596435546875,2360.927490234375,2343.7392578125,2522.0,2282.0
6.75,2167.596435546875,2360.92724609375,2343.739501953125,2163.51220703125,2340.296142578125,2167.596435546875,2360.92724609375,2343.739501953125,2522.0,2282.0
7.0,2167.59619140625,2360.927001953125,2343.739501953125,2164.680908203125,2340.296142578125,2167.59619140625,2360.927001953125,2343.739501953125,2522.0,2282.0
7.25,2168.767822265625,2360.927490234375,2343.7392578125,2163.51220703125,2340.2958984375,2168.767822265625,2360.927490234375,2343.7392578125,2522.0,2282.0
7.5,2167.59619140625,2360.92822265625,2343.739501953125,2163.511962890625,2340.296142578125,2167.59619140625,2360.92822265625,2343.739501953125,2522.0,2282.0
7.75,2167.5966796875,2362.203125,2343.7392578125,2163.51220703125,2340.2958984375,2167.5966796875,2362.203125,2343.7392578125,2522.0,2282.0
8.0,2167.596435546875,2360.927490234375,2343.739501953125,2163.511962890625,2340.296142578125,2167.596435546875,2360.927490234375,2343.739501953125,2522.0,2282.0
8.25,2167.596435546875,2360.927001953125,2343.7392578125,2163.511962890625,2340.2958984375,2167.596435546875,2360.927001953125,2343.7392578125,2522.0,2282.0
8.5,2167.59619140625,2360.927978515625,2343.739501953125,2163.511962890625,2340.296142578125,2167.59619140625,2360.927978515625,2343.739501953125,2522.0,2282.0
8.75,2167.595947265625,2360.927490234375,2343.7392578125,2163.51171875,2340.2958984375,2167.595947265625,2360.927490234375,2343.7392578125,2522.0,2282.0
9.0,2167.596435546875,2360.927490234375,2343.73876953125,2163.511962890625,2340.295166015625,2167.596435546875,2360.927490234375,2343.73876953125,2522.0,2282.0
9.25,2167.5966796875,2360.927490234375,2343.739501953125,2164.681396484375,2340.296142578125,2167.5966796875,2360.927490234375,2343.739501953125,2522.0,2282.0
9.5,2168.768310546875,2360.927734375,2343.739501953125,2163.512451171875,2340.296142578125,2168.768310546875,2360.927734375,2343.739501953125,2522.0,2282.0
9.75,2167.595947265625,2360.92724609375,2343.7392578125,2163.51171875,2340.2958984375,2167.595947265625,2360.92724609375,2343.7392578125,2522.0,2282.0
10.0,2167.59619140625,2362.203125,2343.73974609375,2163.511962890625,2341.56103515625,2167.59619140625,2362.203125,2343.73974609375,2522.0,2282.0
10.25,2167.59619140625,2360.927490234375,2345.006103515625,2163.51171875,2340.296142578125,2167.59619140625,2360.927490234375,2345.006103515625,2522.0,2282.0
10.5,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
10.75,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
11.0,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
11.25,2463.7138671875,2457.900390625,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2457.900390625,2453.611328125,2522.0,2282.0
11.5,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
11.75,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
12.0,2465.04541015625,2456.572998046875,2454.937255859375,2465.04541015625,2454.937255859375,2465.04541015625,2456.572998046875,2454.937255859375,2522.0,2282.0
12.25,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
12.5,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
12.75,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
13.0,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
13.25,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
13.5,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
13.75,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
14.0,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
14.25,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
14.5,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
14.75,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
15.0,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
15.25,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
15.5,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
15.75,2463.7138671875,2457.900390625,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2457.900390625,2453.611328125,2522.0,2282.0
16.0,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
16.25,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
16.5,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
16.75,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
17.0,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
