step,day,k,p_load_fc_kw,p_pv_fc_kw,p_load_total_actual_kw,p_pv_total_actual_kw,baseline_grid_kw,battery_agg_kw,battery_action,grid_kw,grid_forecast_kw,soc_predicted_pct,soc_measured_646_pct,mpc_status
1,1,1,770.334,0.128,770.334,0.128,770.206,76.3681,Discharge,693.8379,693.8379,49.7129,49.97,optimal
2,1,2,727.572,0.104,727.572,0.104,727.468,34.0838,Discharge,693.3842,693.3842,49.5848,49.69,optimal
3,1,3,628.524,0.144,628.524,0.144,628.38,-63.4815,Charge,691.8615,691.8615,49.8234,49.58,optimal
4,1,4,587.784,0.212,587.784,0.212,587.572,-103.3171,Charge,690.8891,690.8891,50.2118,49.84,optimal
5,1,5,548.304,0.108,548.304,0.108,548.196,-141.7085,Charge,689.9045,689.9045,50.7446,50.25,optimal
6,1,6,546.074,0.058,546.074,0.058,546.016,-145.2163,Charge,691.2323,691.2323,51.2905,50.79,optimal
7,1,7,536.482,0.2,536.482,0.2,536.282,-155.3927,Charge,691.6747,691.6747,51.8747,51.33,optimal
8,1,8,531.554,0.048,531.554,0.048,531.506,-161.5436,Charge,693.0496,693.0496,52.482,51.92,optimal
9,1,9,529.484,0.3,529.484,0.3,529.184,-165.1587,Charge,694.3427,694.3427,53.1029,52.51,optimal
10,1,10,525.65,0.116,525.65,0.116,525.534,-170.2989,Charge,695.8329,695.8329,53.7431,53.15,optimal
11,1,11,564.876,0.07,564.876,0.07,564.806,-132.2412,Charge,697.0472,697.0472,54.2403,53.77,optimal
12,1,12,582.84,0.108,582.84,0.108,582.732,-114.1337,Charge,696.8657,696.8657,54.6693,54.26,optimal
13,1,13,585.75,5.42,585.75,5.42,580.33,-116.6976,Charge,697.0276,697.0276,55.108,54.7,optimal
14,1,14,638.194,49.568,638.194,49.568,588.626,-108.9468,Charge,697.5728,697.5728,55.5176,55.14,optimal
15,1,15,665.806,127.012,665.806,127.012,538.794,189.9761,Discharge,348.8179,348.8179,54.8034,55.41,optimal
16,1,16,636.794,237.926,636.794,237.926,398.868,50.5048,Discharge,348.3632,348.3632,54.6135,54.73,optimal
17,1,17,676.108,366.944,676.108,366.944,309.164,-39.7208,Charge,348.8848,348.8848,54.7629,54.57,optimal
18,1,18,729.828,505.332,729.828,505.332,224.496,-125.6457,Charge,350.1417,350.1417,55.2352,54.75,optimal
19,1,19,680.404,658.94,680.404,658.94,21.464,-329.2311,Charge,350.6951,350.6951,56.4729,55.32,optimal
20,1,20,682.818,829.604,682.818,829.604,-146.786,-498.857,Charge,352.071,352.071,58.3483,56.61,optimal
21,1,21,710.68,970.704,710.68,970.704,-260.024,-614.8776,Charge,354.8536,354.8536,60.6599,58.51,optimal
22,1,22,757.052,1171.376,757.052,1171.376,-414.324,-776.9993,Charge,362.6753,362.6753,63.581,60.88,optimal
23,1,23,721.462,1275.472,721.462,1275.472,-554.01,-927.4406,Charge,373.4306,373.4306,67.0676,63.88,optimal
24,1,24,763.036,1318.254,763.036,1318.254,-555.218,-943.226,Charge,388.008,388.008,70.6135,67.36,optimal
25,1,25,817.948,1394.428,817.948,1394.428,-576.48,-978.2909,Charge,401.8109,401.8109,74.2913,70.91,optimal
26,1,26,850.872,1450.29,850.872,1450.29,-599.418,-1017.5028,Charge,418.0848,418.0848,78.1165,74.6,optimal
27,1,27,832.132,1468.562,832.132,1468.562,-636.43,-1073.2537,Charge,436.8237,436.8237,82.1513,78.44,optimal
28,1,28,867.434,1539.744,867.434,1539.744,-672.31,-1129.1467,Charge,456.8367,456.8367,86.3962,82.48,optimal
29,1,29,966.92,1537.734,966.92,1537.734,-570.814,-666.8568,Charge,96.0428,96.0428,88.9032,86.57,optimal
30,1,30,1001.206,1483.066,1001.206,1483.066,-481.86,-583.4492,Charge,101.5892,101.5892,91.0966,89.04,optimal
31,1,31,1117.768,1391.096,1117.768,1391.096,-273.328,-380.9887,Charge,107.6607,107.6607,92.5289,91.17,optimal
32,1,32,1215.124,1279.638,1215.124,1279.638,-64.514,-172.8929,Charge,108.3789,108.3789,93.1789,92.52,optimal
33,1,33,1177.174,1106.536,1177.174,1106.536,70.638,-37.7409,Charge,108.3789,108.3789,93.3208,93.1,optimal
34,1,34,1190.878,914.84,1190.878,914.84,276.038,167.6591,Discharge,108.3789,108.3789,92.6905,93.17,optimal
35,1,35,1282.982,728.164,1282.982,728.164,554.818,446.4391,Discharge,108.3789,108.3789,91.0121,92.43,optimal
36,1,36,1461.024,523.1,1461.024,523.1,937.924,829.5451,Discharge,108.3789,108.3789,87.8935,90.62,optimal
37,1,37,1475.752,325.53,1475.752,325.53,1150.222,1041.8431,Discharge,108.3789,108.3789,83.9768,87.4,optimal
38,1,38,1447.248,165.692,1447.248,165.692,1281.556,1173.1771,Discharge,108.3789,108.3789,79.5664,83.43,optimal
