step,day,date_label,profile_time,eta_per_kwh,p_load_forecast_total_kw,p_pv_forecast_total_kw,p_load_actual_total_kw,p_pv_actual_total_kw,baseline_grid_actual_kw,pbat_aggregate_kw,battery_action,grid_forecast_qp_kw,grid_actual_calculated_kw,soc_predicted_pct,soc646_measured_pct,qp_status,qp_objective_day,pbat_646_B_kw,pbat_645_B_kw,pbat_611_C_kw,pbat_652_A_kw,pbat_671_A_kw,pbat_671_B_kw,pbat_671_C_kw,pbat_692_C_kw,pbat_692_B_kw,pbat_692_A_kw,pbat_675_C_kw,pbat_675_B_kw,pbat_675_A_kw,pbat_634_C_kw,pbat_634_B_kw,pbat_634_A_kw
1,1,7-Jan-13,0:30,0.03,770.334,0.128,770.334,0.128,770.206,1020.206,Discharge,-250.0,-250.0,-0.0,49.61,optimal,-1384.34124,78.241362,48.325547,52.160908,35.28532,121.964477,118.896188,121.964477,50.626764,0.0,0.0,91.281589,27.614598,146.510786,39.887753,34.518248,52.92798
2,1,7-Jan-13,1:00,0.03,727.572,0.104,727.572,0.104,727.468,977.468,Discharge,-250.0,-250.0,-0.0,45.8,optimal,-1384.34124,74.963711,46.301116,49.975807,33.807164,116.855197,113.915444,116.855197,48.505931,0.0,0.0,87.457663,26.45778,140.373224,38.216794,33.072226,50.710746
3,1,7-Jan-13,1:30,0.03,628.524,0.144,628.524,0.144,628.38,878.38,Discharge,-250.0,-250.0,-0.0,42.17,optimal,-1384.34124,67.364481,41.607474,44.909654,30.38006,105.009338,102.367594,105.009338,43.588782,0.0,0.0,78.591895,23.775699,126.143293,34.342677,29.719624,45.57009
4,1,7-Jan-13,2:00,0.03,587.784,0.212,587.784,0.212,587.572,837.572,Discharge,-250.0,-250.0,-0.0,38.9,optimal,-1384.34124,64.234845,39.674463,42.82323,28.968656,100.130788,97.611774,100.130788,41.563723,0.0,0.0,74.940653,22.671122,120.282896,32.747176,28.338902,43.452983
5,1,7-Jan-13,2:30,0.03,548.304,0.108,548.304,0.108,548.196,798.196,Discharge,-250.0,-250.0,-0.0,35.77,optimal,-1384.34124,61.215032,37.809284,40.810021,27.606779,95.423432,93.022842,95.423432,39.609726,0.0,0.0,71.417537,21.605305,114.628147,31.207663,27.006632,41.410168
6,1,7-Jan-13,3:00,0.03,546.074,0.058,546.074,0.058,546.016,796.016,Discharge,-250.0,-250.0,-0.0,32.78,optimal,-1384.34124,61.047844,37.706021,40.698562,27.53138,95.162815,92.768782,95.162815,39.501546,0.0,0.0,71.222484,21.546298,114.31508,31.12243,26.932872,41.297071
7,1,7-Jan-13,3:30,0.03,536.482,0.2,536.482,0.2,536.282,786.282,Discharge,-250.0,-250.0,-0.0,29.8,optimal,-1384.34124,60.301326,37.244937,40.200884,27.194716,93.999126,91.634368,93.999126,39.018505,0.0,0.0,70.351547,21.282821,112.917189,30.741853,26.603526,40.792074
8,1,7-Jan-13,4:00,0.03,531.554,0.048,531.554,0.048,531.506,781.506,Discharge,-250.0,-250.0,-0.0,26.86,optimal,-1384.34124,59.935047,37.018705,39.956698,27.029531,93.428161,91.077767,93.428161,38.781501,0.0,0.0,69.924221,21.153546,112.231313,30.555122,26.441932,40.544296
9,1,7-Jan-13,4:30,0.03,529.484,0.3,529.484,0.3,529.184,779.184,Discharge,-250.0,-250.0,-0.0,23.92,optimal,-1384.34124,59.756968,36.908716,39.837979,26.949221,93.150568,90.807158,93.150568,38.666274,0.0,0.0,69.716463,21.090695,111.897853,30.464337,26.363368,40.423832
10,1,7-Jan-13,5:00,0.03,525.65,0.116,525.65,0.116,525.534,775.534,Discharge,-250.0,-250.0,-0.0,20.98,optimal,-1384.34124,59.477044,36.735821,39.651362,26.82298,92.714215,90.381782,92.714215,38.485146,0.0,0.0,69.389884,20.991898,111.37368,30.32163,26.239872,40.234471
