step,day,k,p_load_fc_646_kw,p_pv_fc_646_kw,p_load_646_kw,p_pv_646_kw,baseline_grid_646_kw,battery_646_kw,battery_action,grid_646_kw,grid_646_forecast_kw,soc_predicted_pct,soc_measured_pct,feeder_baseline_grid_kw,feeder_grid_with_cil_kw,mpc_status
1,1,1,49.248,0.024,49.248,0.024,49.224,-2.3373,Charge,51.5613,51.5613,50.1146,50.0,770.206,772.5433,optimal
2,1,2,45.32,0.0,45.32,0.0,45.32,-6.3516,Charge,51.6716,51.6716,50.3114,50.12,727.468,733.8196,optimal
3,1,3,41.396,0.0,41.396,0.0,41.396,-10.3787,Charge,51.7747,51.7747,50.6288,50.44,628.38,638.7587,optimal
4,1,4,43.692,0.012,43.692,0.012,43.68,-8.0738,Charge,51.7538,51.7538,50.8358,50.92,587.572,595.6458,optimal
5,1,5,35.162,0.012,35.162,0.012,35.15,-16.4607,Charge,51.6107,51.6107,51.7269,51.35,548.196,564.6567,optimal
6,1,6,36.362,0.002,36.362,0.002,36.36,-15.3843,Charge,51.7443,51.7443,52.1041,52.13,546.016,561.4003,optimal
7,1,7,35.708,0.0,35.708,0.0,35.708,-16.0958,Charge,51.8038,51.8038,52.919,52.87,536.282,552.3778,optimal
8,1,8,37.79,0.0,37.79,0.0,37.79,-14.0843,Charge,51.8743,51.8743,53.5604,53.64,531.506,545.5903,optimal
9,1,9,36.592,0.0,36.592,0.0,36.592,-15.3011,Charge,51.8931,51.8931,54.3901,54.33,529.184,544.4851,optimal
10,1,10,36.644,0.012,36.644,0.012,36.632,-15.3699,Charge,52.0019,52.0019,55.0834,55.07,525.534,540.9039,optimal
11,1,11,42.512,0.0,42.512,0.0,42.512,-9.5298,Charge,52.0418,52.0418,55.5371,55.78,564.806,574.3358,optimal
12,1,12,46.514,0.012,46.514,0.012,46.502,-5.4484,Charge,51.9504,51.9504,56.0471,56.24,582.732,588.1804,optimal
