step,day,k,p_load_fc_kw,p_pv_fc_kw,p_load_total_actual_kw,p_pv_total_actual_kw,baseline_grid_kw,battery_agg_kw,battery_action,grid_kw,grid_forecast_kw,soc_predicted_pct,soc_measured_646_pct,mpc_status
1,1,1,770.334,0.128,770.334,0.128,770.206,58.9904,Discharge,711.2156,711.2156,49.7782,49.97,optimal
2,1,2,727.572,0.104,727.572,0.104,727.468,16.7062,Discharge,710.7618,710.7618,49.7154,49.75,optimal
3,1,3,628.524,0.144,628.524,0.144,628.38,-80.8591,Charge,709.2391,709.2391,50.0194,49.73,optimal
4,1,4,587.784,0.212,587.784,0.212,587.572,-120.6947,Charge,708.2667,708.2667,50.4731,50.04,optimal
5,1,5,548.304,0.108,548.304,0.108,548.196,-159.0862,Charge,707.2822,707.2822,51.0712,50.5,optimal
6,1,6,546.074,0.058,546.074,0.058,546.016,-162.594,Charge,708.61,708.61,51.6825,51.09,optimal
7,1,7,536.482,0.2,536.482,0.2,536.282,-172.7703,Charge,709.0523,709.0523,52.332,51.68,optimal
8,1,8,531.554,0.048,531.554,0.048,531.506,-178.9212,Charge,710.4272,710.4272,53.0046,52.32,optimal
9,1,9,529.484,0.3,529.484,0.3,529.184,-182.5363,Charge,711.7203,711.7203,53.6908,53.01,optimal
10,1,10,525.65,0.116,525.65,0.116,525.534,-187.6765,Charge,713.2105,713.2105,54.3964,53.69,optimal
11,1,11,564.876,0.07,564.876,0.07,564.806,-149.6188,Charge,714.4248,714.4248,54.9589,54.37,optimal
12,1,12,582.84,0.108,582.84,0.108,582.732,-131.5114,Charge,714.2434,714.2434,55.4533,54.9,optimal
13,1,13,585.75,5.42,585.75,5.42,580.33,-134.0752,Charge,714.4052,714.4052,55.9573,55.39,optimal
14,1,14,638.194,49.568,638.194,49.568,588.626,-126.3244,Charge,714.9504,714.9504,56.4322,55.88,optimal
15,1,15,665.806,127.012,665.806,127.012,538.794,193.6623,Discharge,345.1317,345.1317,55.7042,56.25,optimal
16,1,16,636.794,237.926,636.794,237.926,398.868,54.191,Discharge,344.677,344.677,55.5004,55.57,optimal
17,1,17,676.108,366.944,676.108,366.944,309.164,-36.0346,Charge,345.1986,345.1986,55.6359,55.4,optimal
18,1,18,729.828,505.332,729.828,505.332,224.496,-121.9595,Charge,346.4555,346.4555,56.0944,55.58,optimal
19,1,19,680.404,658.94,680.404,658.94,21.464,-325.5449,Charge,347.0089,347.0089,57.3183,56.1,optimal
20,1,20,682.818,829.604,682.818,829.604,-146.786,-495.1709,Charge,348.3849,348.3849,59.1798,57.39,optimal
21,1,21,710.68,970.704,710.68,970.704,-260.024,-611.1914,Charge,351.1674,351.1674,61.4775,59.3,optimal
22,1,22,757.052,1171.376,757.052,1171.376,-414.324,-773.3131,Charge,358.9891,358.9891,64.3847,61.66,optimal
23,1,23,721.462,1275.472,721.462,1275.472,-554.01,-923.7545,Charge,369.7445,369.7445,67.8575,64.61,optimal
24,1,24,763.036,1318.254,763.036,1318.254,-555.218,-939.5398,Charge,384.3218,384.3218,71.3896,68.1,optimal
25,1,25,817.948,1394.428,817.948,1394.428,-576.48,-974.6047,Charge,398.1247,398.1247,75.0535,71.64,optimal
26,1,26,850.872,1450.29,850.872,1450.29,-599.418,-1013.8166,Charge,414.3986,414.3986,78.8648,75.33,optimal
27,1,27,832.132,1468.562,832.132,1468.562,-636.43,-1069.5675,Charge,433.1375,433.1375,82.8858,79.18,optimal
28,1,28,867.434,1539.744,867.434,1539.744,-672.31,-1125.4606,Charge,453.1506,453.1506,87.1168,83.21,optimal
29,1,29,966.92,1537.734,966.92,1537.734,-570.814,-646.3195,Charge,75.5055,75.5055,89.5466,87.25,optimal
30,1,30,1001.206,1483.066,1001.206,1483.066,-481.86,-562.912,Charge,81.052,81.052,91.6628,89.67,optimal
31,1,31,1117.768,1391.096,1117.768,1391.096,-273.328,-360.4514,Charge,87.1234,87.1234,93.0179,91.7,optimal
32,1,32,1215.124,1279.638,1215.124,1279.638,-64.514,-151.6426,Charge,87.1286,87.1286,93.588,93.0,optimal
33,1,33,1177.174,1106.536,1177.174,1106.536,70.638,-16.4906,Charge,87.1286,87.1286,93.65,93.53,optimal
34,1,34,1190.878,914.84,1190.878,914.84,276.038,188.9094,Discharge,87.1286,87.1286,92.9398,93.51,optimal
35,1,35,1282.982,728.164,1282.982,728.164,554.818,467.6894,Discharge,87.1286,87.1286,91.1816,92.72,optimal
36,1,36,1461.024,523.1,1461.024,523.1,937.924,850.7954,Discharge,87.1286,87.1286,87.9831,90.81,optimal
37,1,37,1475.752,325.53,1475.752,325.53,1150.222,1063.0934,Discharge,87.1286,87.1286,83.9865,87.54,optimal
38,1,38,1447.248,165.692,1447.248,165.692,1281.556,1194.4274,Discharge,87.1286,87.1286,79.4962,83.47,optimal
39,1,39,1341.372,67.068,1341.372,67.068,1274.304,1187.1754,Discharge,87.1286,87.1286,75.0331,78.98,optimal
40,1,40,1296.616,12.324,1296.616,12.324,1284.292,1197.1634,Discharge,87.1286,87.1286,70.5325,74.52,optimal
41,1,41,1239.91,0.068,1239.91,0.068,1239.842,704.1988,Discharge,535.6432,535.6432,67.8851,70.18,optimal
42,1,42,1251.986,0.264,1251.986,0.264,1251.722,716.0788,Discharge,535.6432,535.6432,65.1931,67.52,optimal
43,1,43,1205.092,0.168,1205.092,0.168,1204.924,669.2808,Discharge,535.6432,535.6432,62.677,64.85,optimal
44,1,44,1250.378,0.0,1250.378,0.0,1250.378,714.7348,Discharge,535.6432,535.6432,59.99,62.33,optimal
45,1,45,1158.618,0.066,1158.618,0.066,1158.552,62.2657,Discharge,1096.2863,1096.2863,59.7559,59.88,optimal
46,1,46,1021.238,0.258,1021.238,0.258,1020.98,-75.3063,Charge,1096.2863,1096.2863,60.039,59.69,optimal
47,1,47,884.048,0.108,884.048,0.108,883.94,-212.3463,Charge,1096.2863,1096.2863,60.8373,60.03,optimal
48,1,48,787.258,0.216,787.258,0.216,787.042,-309.2443,Charge,1096.2863,1096.2863,61.9999,60.85,optimal
49,2,1,757.586,0.176,757.586,0.176,757.41,-338.8763,Charge,1096.2863,1096.2863,63.2739,62.04,optimal
50,2,2,684.528,0.0,684.528,0.0,684.528,-411.7583,Charge,1096.2863,1096.2863,64.8218,63.34,optimal
51,2,3,601.122,0.164,601.122,0.164,600.958,-495.3283,Charge,1096.2863,1096.2863,66.684,64.95,optimal
52,2,4,559.964,0.156,559.964,0.156,559.808,-536.4783,Charge,1096.2863,1096.2863,68.7008,66.82,optimal
53,2,5,585.936,0.296,585.936,0.296,585.64,-510.6463,Charge,1096.2863,1096.2863,70.6205,68.82,optimal
54,2,6,558.69,0.2,558.69,0.2,558.49,-537.7963,Charge,1096.2863,1096.2863,72.6423,70.75,optimal
55,2,7,575.054,0.0,575.054,0.0,575.054,-521.2323,Charge,1096.2863,1096.2863,74.6019,72.75,optimal
56,2,8,568.032,0.06,568.032,0.06,567.972,-528.3143,Charge,1096.2863,1096.2863,76.588,74.72,optimal
57,2,9,571.316,0.108,571.316,0.108,571.208,-525.0783,Charge,1096.2863,1096.2863,78.562,76.72,optimal
58,2,10,560.216,0.44,560.216,0.44,559.776,-536.5103,Charge,1096.2863,1096.2863,80.5789,78.68,optimal
59,2,11,559.922,0.232,559.922,0.232,559.69,-536.5963,Charge,1096.2863,1096.2863,82.5962,80.7,optimal
60,2,12,587.524,0.228,587.524,0.228,587.296,-508.9903,Charge,1096.2863,1096.2863,84.5097,82.7,optimal
61,2,13,604.91,9.206,604.91,9.206,595.704,-500.5823,Charge,1096.2863,1096.2863,86.3916,84.6,optimal
62,2,14,661.894,64.44,661.894,64.44,597.454,-498.8323,Charge,1096.2863,1096.2863,88.2669,86.46,optimal
63,2,15,689.118,175.972,689.118,175.972,513.146,-22.4972,Charge,535.6432,535.6432,88.3515,88.15,optimal
64,2,16,743.098,314.808,743.098,314.808,428.29,-107.3532,Charge,535.6432,535.6432,88.7551,88.27,optimal
65,2,17,823.554,443.502,823.554,443.502,380.052,-155.5912,Charge,535.6432,535.6432,89.34,88.69,optimal
66,2,18,851.35,595.642,851.35,595.642,255.708,-279.9352,Charge,535.6432,535.6432,90.3924,89.32,optimal
67,2,19,888.854,789.788,888.854,789.788,99.066,-436.5772,Charge,535.6432,535.6432,92.0336,90.41,optimal
68,2,20,993.1,982.948,993.1,982.948,10.152,-525.4912,Charge,535.6432,535.6432,94.0092,92.06,optimal
69,2,21,1218.084,1036.966,1218.084,1036.966,181.118,-354.5252,Charge,535.6432,535.6432,95.342,93.96,optimal
70,2,22,1283.24,1090.962,1283.24,1090.962,192.278,-343.3652,Charge,535.6432,535.6432,96.6328,95.28,optimal
71,2,23,1446.28,1178.128,1446.28,1178.128,268.152,-267.4912,Charge,535.6432,535.6432,97.6384,96.53,optimal
72,2,24,1578.538,1355.272,1578.538,1355.272,223.266,-312.3772,Charge,535.6432,535.6432,98.8128,97.57,optimal
73,2,25,1841.69,1500.324,1841.69,1500.324,341.366,-194.2772,Charge,535.6432,535.6432,99.5431,98.7,optimal
74,2,26,1973.82,1516.364,1973.82,1516.364,457.456,-78.1872,Charge,535.6432,535.6432,99.8371,99.4,optimal
75,2,27,2069.084,1576.776,2069.084,1576.776,492.308,-43.3352,Charge,535.6432,535.6432,100.0,99.67,optimal
76,2,28,2252.562,1550.002,2252.562,1550.002,702.56,0.0,Idle,702.56,702.56,100.0,99.81,optimal
77,2,29,2376.652,1383.374,2376.652,1383.374,993.278,623.3897,Discharge,369.8883,369.8883,97.6564,99.57,optimal
78,2,30,2483.374,1253.08,2483.374,1253.08,1230.294,860.4057,Discharge,369.8883,369.8883,94.4218,97.13,optimal
79,2,31,2550.682,1185.186,2550.682,1185.186,1365.496,995.6077,Discharge,369.8883,369.8883,90.6789,93.85,optimal
80,2,32,2615.23,1134.09,2615.23,1134.09,1481.14,1111.2517,Discharge,369.8883,369.8883,86.5013,90.08,optimal
81,2,33,2676.102,991.514,2676.102,991.514,1684.588,1314.6997,Discharge,369.8883,369.8883,81.5588,85.83,optimal
82,2,34,2840.86,774.424,2840.86,774.424,2066.436,1696.5477,Discharge,369.8883,369.8883,75.1808,80.74,optimal
83,2,35,2979.258,591.472,2979.258,591.472,2387.786,2017.8977,Discharge,369.8883,369.8883,67.5947,74.24,optimal
84,2,36,3124.774,388.886,3124.774,388.886,2735.888,2365.9997,Discharge,369.8883,369.8883,58.7,66.52,optimal
85,2,37,3289.958,272.084,3289.958,272.084,3017.874,2647.9857,Discharge,369.8883,369.8883,48.7452,57.54,optimal
86,2,38,3254.864,165.43,3254.864,165.43,3089.434,2719.5457,Discharge,369.8883,369.8883,38.5213,47.55,optimal
87,2,39,3290.296,65.964,3290.296,65.964,3224.332,2854.4437,Discharge,369.8883,369.8883,27.7903,37.26,optimal
88,2,40,3289.316,13.89,3289.316,13.89,3275.426,2905.5377,Discharge,369.8883,369.8883,16.8672,26.5,optimal
89,2,41,3251.492,0.196,3251.492,0.196,3251.296,1301.8544,Discharge,1949.4416,1949.4416,11.9731,16.18,optimal
90,2,42,3191.914,0.172,3191.914,0.172,3191.742,1242.3004,Discharge,1949.4416,1949.4416,7.3028,11.3,optimal
91,2,43,2980.566,0.272,2980.566,0.272,2980.294,1030.8524,Discharge,1949.4416,1949.4416,3.4274,6.72,optimal
92,2,44,2861.296,0.174,2861.296,0.174,2861.122,911.6804,Discharge,1949.4416,1949.4416,0.0,2.89,optimal
93,2,45,2487.95,0.234,2487.95,0.234,2487.716,0.0,Idle,2487.716,2487.716,-0.0,0.0,optimal
94,2,46,2227.222,0.124,2227.222,0.124,2227.098,-0.0,Idle,2227.098,2227.098,0.0,0.0,optimal
95,2,47,1848.324,0.16,1848.324,0.16,1848.164,0.0,Idle,1848.164,1848.164,-0.0,0.0,optimal
96,2,48,1702.788,0.018,1702.788,0.018,1702.77,-0.0,Idle,1702.77,1702.77,0.0,0.0,optimal
97,3,1,1505.618,0.108,1505.618,0.108,1505.51,0.0,Idle,1505.51,1505.51,0.0,0.0,optimal
98,3,2,1455.584,0.126,1455.584,0.126,1455.458,0.0,Idle,1455.458,1455.458,-0.0,0.0,optimal
99,3,3,1345.458,0.144,1345.458,0.144,1345.314,0.0,Idle,1345.314,1345.314,-0.0,0.0,optimal
100,3,4,1233.96,0.18,1233.96,0.18,1233.78,-0.0,Idle,1233.78,1233.78,-0.0,0.0,optimal
101,3,5,1231.682,0.108,1231.682,0.108,1231.574,-0.0,Idle,1231.574,1231.574,0.0,0.0,optimal
102,3,6,1217.866,0.382,1217.866,0.382,1217.484,-0.0,Idle,1217.484,1217.484,0.0,0.0,optimal
103,3,7,1142.642,0.108,1142.642,0.108,1142.534,0.0,Idle,1142.534,1142.534,-0.0,0.0,optimal
104,3,8,1068.226,0.404,1068.226,0.404,1067.822,-0.0,Idle,1067.822,1067.822,0.0,0.0,optimal
105,3,9,1022.156,0.114,1022.156,0.114,1022.042,0.0,Idle,1022.042,1022.042,-0.0,0.0,optimal
106,3,10,988.068,0.12,988.068,0.12,987.948,-0.0,Idle,987.948,987.948,0.0,0.0,optimal
107,3,11,936.502,0.048,936.502,0.048,936.454,0.0,Idle,936.454,936.454,-0.0,0.0,optimal
108,3,12,856.426,0.324,856.426,0.324,856.102,-51.9235,Charge,908.0255,908.0255,0.1952,0.01,optimal
109,3,13,786.948,6.454,786.948,6.454,780.494,-127.5315,Charge,908.0255,908.0255,0.6746,0.24,optimal
110,3,14,849.116,59.264,849.116,59.264,789.852,-118.1735,Charge,908.0255,908.0255,1.1189,0.73,optimal
111,3,15,827.288,141.474,827.288,141.474,685.814,244.3012,Discharge,441.5128,441.5128,0.2005,1.03,optimal
112,3,16,751.676,256.836,751.676,256.836,494.84,53.3272,Discharge,441.5128,441.5128,0.0,0.17,optimal
113,3,17,774.422,357.312,774.422,357.312,417.11,-16.0845,Charge,433.1945,433.1945,0.0605,0.0,optimal
114,3,18,815.3,485.542,815.3,485.542,329.758,-103.439,Charge,433.197,433.197,0.4493,0.08,optimal
115,3,19,812.048,617.354,812.048,617.354,194.694,-238.503,Charge,433.197,433.197,1.346,0.52,optimal
116,3,20,766.926,709.204,766.926,709.204,57.722,-375.475,Charge,433.197,433.197,2.7575,1.46,optimal
117,3,21,798.404,795.328,798.404,795.328,3.076,-430.121,Charge,433.197,433.197,4.3745,2.9,optimal
118,3,22,797.428,904.484,797.428,904.484,-107.056,-540.253,Charge,433.197,433.197,6.4055,4.56,optimal
119,3,23,796.616,971.204,796.616,971.204,-174.588,-607.785,Charge,433.197,433.197,8.6905,6.6,optimal
120,3,24,819.762,995.868,819.762,995.868,-176.106,-609.303,Charge,433.197,433.197,10.9811,8.9,optimal
121,3,25,854.308,1076.53,854.308,1076.53,-222.222,-655.419,Charge,433.197,433.197,13.445,11.22,optimal
122,3,26,826.406,1136.318,826.406,1136.318,-309.912,-743.109,Charge,433.197,433.197,16.2387,13.71,optimal
123,3,27,788.852,1158.078,788.852,1158.078,-369.226,-802.423,Charge,433.197,433.197,19.2553,16.52,optimal
124,3,28,778.816,985.614,778.816,985.614,-206.798,-639.995,Charge,433.197,433.197,21.6613,19.5,optimal
125,3,29,757.296,1010.638,757.296,1010.638,-253.342,-319.9814,Charge,66.6394,66.6394,22.8643,21.78,optimal
126,3,30,789.612,1031.416,789.612,1031.416,-241.804,-308.4434,Charge,66.6394,66.6394,24.0238,23.0,optimal
127,3,31,808.372,944.736,808.372,944.736,-136.364,-203.0034,Charge,66.6394,66.6394,24.787,24.14,optimal
128,3,32,833.384,759.524,833.384,759.524,73.86,7.2206,Discharge,66.6394,66.6394,24.7598,24.84,optimal
129,3,33,795.028,649.704,795.028,649.704,145.324,78.6846,Discharge,66.6394,66.6394,24.464,24.77,optimal
130,3,34,858.284,605.774,858.284,605.774,252.51,185.8706,Discharge,66.6394,66.6394,23.7653,24.44,optimal
131,3,35,879.684,491.478,879.684,491.478,388.206,321.5666,Discharge,66.6394,66.6394,22.5564,23.7,optimal
132,3,36,936.972,292.128,936.972,292.128,644.844,578.2046,Discharge,66.6394,66.6394,20.3827,22.38,optimal
133,3,37,1028.216,126.16,1028.216,126.16,902.056,835.4166,Discharge,66.6394,66.6394,17.242,20.12,optimal
134,3,38,1019.526,50.478,1019.526,50.478,969.048,902.4086,Discharge,66.6394,66.6394,13.8495,16.96,optimal
135,3,39,949.052,12.596,949.052,12.596,936.456,869.8166,Discharge,66.6394,66.6394,10.5795,13.59,optimal
136,3,40,912.414,0.392,912.414,0.392,912.022,845.3826,Discharge,66.6394,66.6394,7.4014,10.31,optimal
137,3,41,952.766,0.452,952.766,0.452,952.314,519.117,Discharge,433.197,433.197,5.4498,7.25,optimal
138,3,42,956.926,0.296,956.926,0.296,956.63,523.433,Discharge,433.197,433.197,3.482,5.29,optimal
139,3,43,930.438,0.276,930.438,0.276,930.162,496.965,Discharge,433.197,433.197,1.6137,3.34,optimal
140,3,44,862.72,0.272,862.72,0.272,862.448,429.251,Discharge,433.197,433.197,-0.0,1.5,optimal
141,3,45,869.446,0.166,869.446,0.166,869.28,0.0161,Idle,869.2639,869.2639,-0.0001,0.04,optimal
142,3,46,839.256,0.144,839.256,0.144,839.112,-4.1873,Charge,843.2993,843.2993,0.0157,0.04,optimal
143,3,47,763.136,0.06,763.136,0.06,763.076,-80.981,Charge,844.057,844.057,0.3202,0.07,optimal
144,3,48,707.032,0.152,707.032,0.152,706.88,-137.1281,Charge,844.0081,844.0081,0.8357,0.39,optimal
145,4,1,656.018,0.068,656.018,0.068,655.95,-187.9494,Charge,843.8994,843.8994,1.5422,0.95,optimal
146,4,2,617.168,0.24,617.168,0.24,616.928,-226.9714,Charge,843.8994,843.8994,2.3955,1.65,optimal
147,4,3,542.986,0.18,542.986,0.18,542.806,-301.0934,Charge,843.8994,843.8994,3.5275,2.51,optimal
148,4,4,524.002,0.186,524.002,0.186,523.816,-320.0834,Charge,843.8994,843.8994,4.7308,3.65,optimal
149,4,5,533.98,0.12,533.98,0.12,533.86,-310.0394,Charge,843.8994,843.8994,5.8963,4.87,optimal
150,4,6,491.246,0.06,491.246,0.06,491.186,-352.7134,Charge,843.8994,843.8994,7.2223,6.06,optimal
151,4,7,496.276,0.272,496.276,0.272,496.004,-347.8954,Charge,843.8994,843.8994,8.5302,7.38,optimal
152,4,8,476.466,0.108,476.466,0.108,476.358,-367.5414,Charge,843.8994,843.8994,9.9119,8.71,optimal
153,4,9,478.144,0.156,478.144,0.156,477.988,-365.9114,Charge,843.8994,843.8994,11.2875,10.08,optimal
154,4,10,453.054,0.168,453.054,0.168,452.886,-391.0134,Charge,843.8994,843.8994,12.7575,11.46,optimal
155,4,11,505.97,0.276,505.97,0.276,505.694,-338.2054,Charge,843.8994,843.8994,14.029,12.92,optimal
156,4,12,527.978,0.284,527.978,0.284,527.694,-316.2054,Charge,843.8994,843.8994,15.2177,14.18,optimal
157,4,13,588.81,0.42,588.81,0.42,588.39,-255.5094,Charge,843.8994,843.8994,16.1783,15.34,optimal
158,4,14,617.064,11.41,617.064,11.41,605.654,-238.2454,Charge,843.8994,843.8994,17.0739,16.31,optimal
159,4,15,664.798,47.038,664.798,47.038,617.76,208.3103,Discharge,409.4497,409.4497,16.2908,17.02,optimal
160,4,16,644.312,105.134,644.312,105.134,539.178,129.7283,Discharge,409.4497,409.4497,15.8031,16.27,optimal
161,4,17,668.77,195.638,668.77,195.638,473.132,63.6823,Discharge,409.4497,409.4497,15.5637,15.8,optimal
162,4,18,712.992,279.672,712.992,279.672,433.32,23.8703,Discharge,409.4497,409.4497,15.474,15.57,optimal
163,4,19,739.104,306.064,739.104,306.064,433.04,23.5903,Discharge,409.4497,409.4497,15.3853,15.47,optimal
164,4,20,717.306,383.49,717.306,383.49,333.816,-75.6337,Charge,409.4497,409.4497,15.6696,15.42,optimal
165,4,21,705.586,506.788,705.586,506.788,198.798,-210.6517,Charge,409.4497,409.4497,16.4615,15.76,optimal
166,4,22,749.262,515.022,749.262,515.022,234.24,-175.2097,Charge,409.4497,409.4497,17.1202,16.53,optimal
167,4,23,703.894,538.398,703.894,538.398,165.496,-243.9537,Charge,409.4497,409.4497,18.0373,17.2,optimal
168,4,24,730.812,596.982,730.812,596.982,133.83,-275.6197,Charge,409.4497,409.4497,19.0735,18.14,optimal
169,4,25,717.972,690.526,717.972,690.526,27.446,-382.0037,Charge,409.4497,409.4497,20.5096,19.21,optimal
