step,day,date_label,profile_time,eta_per_kwh,p_load_forecast_total_kw,p_pv_forecast_total_kw,p_load_actual_total_kw,p_pv_actual_total_kw,baseline_grid_actual_kw,pbat_aggregate_kw,battery_action,grid_forecast_qp_kw,grid_actual_calculated_kw,soc_predicted_pct,soc646_measured_pct,qp_status,qp_objective_day,pbat_646_B_kw,pbat_645_B_kw,pbat_611_C_kw,pbat_652_A_kw,pbat_671_A_kw,pbat_671_B_kw,pbat_671_C_kw,pbat_692_C_kw,pbat_692_B_kw,pbat_692_A_kw,pbat_675_C_kw,pbat_675_B_kw,pbat_675_A_kw,pbat_634_C_kw,pbat_634_B_kw,pbat_634_A_kw
1,1,7-Jan-13,0:30,0.03,770.334,0.128,770.334,0.128,770.206,76.368057,Discharge,693.837943,693.837943,49.712902,50.0,optimal,406508.912253,5.856798,3.617434,3.904532,2.641301,9.129715,8.900037,9.129715,3.789693,0.0,0.0,6.832931,2.067105,10.967142,2.985819,2.583882,3.961952
2,1,7-Jan-13,1:00,0.03,727.572,0.104,727.572,0.104,727.468,33.630057,Discharge,693.837943,693.837943,49.586473,50.0,optimal,406508.912253,2.579147,1.593003,1.719431,1.163145,4.020435,3.919292,4.020435,1.66886,0.0,0.0,3.009005,0.910287,4.82958,1.314859,1.137859,1.744717
3,1,7-Jan-13,1:30,0.03,628.524,0.144,628.524,0.144,628.38,-65.457943,Charge,693.837943,693.837943,49.832556,50.0,optimal,406508.912253,-5.020083,-3.100639,-3.346722,-2.263959,-7.825423,-7.628557,-7.825423,-3.248289,-0.0,-0.0,-5.856763,-1.771794,-9.400351,-2.559258,-2.214742,-3.395938
4,1,7-Jan-13,2:00,0.03,587.784,0.212,587.784,0.212,587.572,-106.265943,Charge,693.837943,693.837943,50.232052,50.0,optimal,406508.912253,-8.149719,-5.03365,-5.433146,-3.675363,-12.703974,-12.384377,-12.703974,-5.273348,-0.0,-0.0,-9.508005,-2.876371,-15.260748,-4.154759,-3.595464,-5.513045
5,1,7-Jan-13,2:30,0.03,548.304,0.108,548.304,0.108,548.196,-145.641943,Charge,693.837943,693.837943,50.779578,50.0,optimal,406508.912253,-11.169532,-6.898829,-7.446355,-5.03724,-17.41133,-16.973309,-17.41133,-7.227345,-0.0,-0.0,-13.031121,-3.942188,-20.915497,-5.694271,-4.927735,-7.55586
6,1,7-Jan-13,3:00,0.03,546.074,0.058,546.074,0.058,546.016,-147.821943,Charge,693.837943,693.837943,51.335299,50.0,optimal,406508.912253,-11.33672,-7.002092,-7.557814,-5.112639,-17.671947,-17.227369,-17.671947,-7.335525,-0.0,-0.0,-13.226174,-4.001195,-21.228565,-5.779505,-5.001494,-7.668958
7,1,7-Jan-13,3:30,0.03,536.482,0.2,536.482,0.2,536.282,-157.555943,Charge,693.837943,693.837943,51.927615,50.0,optimal,406508.912253,-12.083238,-7.463176,-8.055492,-5.449303,-18.835635,-18.361783,-18.835635,-7.818566,-0.0,-0.0,-14.097111,-4.264672,-22.626455,-6.160082,-5.33084,-8.173955
8,1,7-Jan-13,4:00,0.03,531.554,0.048,531.554,0.048,531.506,-162.331943,Charge,693.837943,693.837943,52.537886,50.0,optimal,406508.912253,-12.449517,-7.689408,-8.299678,-5.614488,-19.406601,-18.918384,-19.406601,-8.05557,-0.0,-0.0,-14.524437,-4.393947,-23.312332,-6.346813,-5.492434,-8.421732
9,1,7-Jan-13,4:30,0.03,529.484,0.3,529.484,0.3,529.184,-164.653943,Charge,693.837943,693.837943,53.156885,50.0,optimal,406508.912253,-12.627596,-7.799397,-8.418397,-5.694798,-19.684193,-19.188993,-19.684193,-8.170797,-0.0,-0.0,-14.732195,-4.456798,-23.645792,-6.437598,-5.570998,-8.542197
10,1,7-Jan-13,5:00,0.03,525.65,0.116,525.65,0.116,525.534,-168.303943,Charge,693.837943,693.837943,53.789607,50.0,optimal,406508.912253,-12.90752,-7.972292,-8.605014,-5.821039,-20.120547,-19.614369,-20.120547,-8.351925,-0.0,-0.0,-15.058774,-4.555595,-24.169965,-6.580305,-5.694494,-8.731558
11,1,7-Jan-13,5:30,0.03,564.876,0.07,564.876,0.07,564.806,-129.031943,Charge,693.837943,693.837943,54.274689,50.0,optimal,406508.912253,-9.895683,-6.112039,-6.597122,-4.462759,-15.425623,-15.037557,-15.425623,-6.403089,-0.0,-0.0,-11.544963,-3.492594,-18.530151,-5.044858,-4.365742,-6.694138
12,1,7-Jan-13,6:00,0.03,582.84,0.108,582.84,0.108,582.732,-111.105943,Charge,693.837943,693.837943,54.692381,50.0,optimal,406508.912253,-8.520907,-5.262913,-5.680605,-3.842762,-13.28259,-12.948437,-13.28259,-5.513528,-0.0,-0.0,-9.941058,-3.007379,-15.955816,-4.343992,-3.759224,-5.764143
13,1,7-Jan-13,6:30,0.03,585.75,5.42,585.75,5.42,580.33,-113.507943,Charge,693.837943,693.837943,55.119102,50.0,optimal,406508.912253,-8.70512,-5.376692,-5.803414,-3.925839,-13.569747,-13.228369,-13.569747,-5.632725,-0.0,-0.0,-10.155974,-3.072395,-16.300765,-4.437905,-3.840494,-5.888758
14,1,7-Jan-13,7:00,0.03,638.194,49.568,638.194,49.568,588.626,-105.211943,Charge,693.837943,693.837943,55.514636,50.0,optimal,406508.912253,-8.068886,-4.983724,-5.379257,-3.638909,-12.577969,-12.261542,-12.577969,-5.221044,-0.0,-0.0,-9.4137,-2.847842,-15.109384,-4.11355,-3.559803,-5.458364
15,1,7-Jan-13,7:30,0.06,665.806,127.012,665.806,127.012,538.794,192.000028,Discharge,346.793972,346.793972,54.792831,50.0,optimal,406508.912253,14.724814,9.094738,9.816543,6.640602,22.953387,22.375943,22.953387,9.527821,0.0,0.0,17.17895,5.196993,27.572936,7.506768,6.496242,9.960904
16,1,7-Jan-13,8:00,0.06,636.794,237.926,636.794,237.926,398.868,52.074028,Discharge,346.793972,346.793972,54.597064,50.0,optimal,406508.912253,3.993647,2.466665,2.662432,1.801057,6.225391,6.068778,6.225391,2.584125,0.0,0.0,4.659255,1.409523,7.4783,2.035977,1.761903,2.701585
17,1,7-Jan-13,8:30,0.06,676.108,366.944,676.108,366.944,309.164,-37.629972,Charge,346.793972,346.793972,54.738531,50.0,optimal,406508.912253,-2.885908,-1.782472,-1.923938,-1.301488,-4.498621,-4.385448,-4.498621,-1.867352,-0.0,-0.0,-3.366892,-1.018556,-5.404003,-1.471247,-1.273195,-1.952232
18,1,7-Jan-13,9:00,0.06,729.828,505.332,729.828,505.332,224.496,-122.297972,Charge,346.793972,346.793972,55.198297,50.0,optimal,406508.912253,-9.379243,-5.793062,-6.252829,-4.229855,-14.620585,-14.252771,-14.620585,-6.068922,-0.0,-0.0,-10.94245,-3.310321,-17.563092,-4.781575,-4.137901,-6.344782
19,1,7-Jan-13,9:30,0.06,680.404,658.94,680.404,658.94,21.464,-325.329972,Charge,346.793972,346.793972,56.421342,50.0,optimal,406508.912253,-24.950118,-15.410367,-16.633412,-11.252014,-38.892831,-37.914395,-38.892831,-16.144194,-0.0,-0.0,-29.108471,-8.805924,-46.720319,-12.719668,-11.007405,-16.878021
20,1,7-Jan-13,10:00,0.06,682.818,829.604,682.818,829.604,-146.786,-493.579972,Charge,346.793972,346.793972,58.276906,50.0,optimal,406508.912253,-37.853502,-23.380104,-25.235668,-17.071187,-59.006929,-57.522478,-59.006929,-24.493442,-0.0,-0.0,-44.162419,-13.360059,-70.882537,-19.297864,-16.700074,-25.60678
21,1,7-Jan-13,10:30,0.06,710.68,970.704,710.68,970.704,-260.024,-606.817972,Charge,346.793972,346.793972,60.558177,50.0,optimal,406508.912253,-46.53792,-28.744009,-31.02528,-20.987689,-72.544404,-70.719388,-72.544404,-30.112772,-0.0,-0.0,-54.29424,-16.425148,-87.144536,-23.725214,-20.531435,-31.481534
