step,p_load_fc_kw,p_pv_fc_kw,p_load_kw,p_pv_kw,baseline_grid_kw,X1_battery_kw,battery_action,X2_grid_kw,X2_grid_forecast_kw,soc_predicted_pct,soc_measured_pct
1,300.0,0.0,49.248,0.024,49.224,213.3333,Discharge,-164.1093,86.6667,39.5425,48.95
2,300.0,25.0,45.32,0.0,45.32,188.3333,Discharge,-143.0133,86.6667,30.3105,38.63
3,300.0,50.0,41.396,0.0,41.396,163.3333,Discharge,-121.9373,86.6667,22.3039,29.54
4,300.0,75.0,43.692,0.012,43.68,138.3333,Discharge,-94.6533,86.6667,15.5229,21.67
5,300.0,100.0,35.162,0.012,35.15,113.3333,Discharge,-78.1833,86.6667,9.9673,15.02
6,300.0,125.0,36.362,0.002,36.36,88.3333,Discharge,-51.9733,86.6667,5.6373,9.61
7,300.0,150.0,35.708,0.0,35.708,63.3333,Discharge,-27.6253,86.6667,2.5327,5.42
8,300.0,175.0,37.79,0.0,37.79,38.3333,Discharge,-0.5433,86.6667,0.6536,2.45
9,300.0,200.0,36.592,0.0,36.592,13.3333,Discharge,23.2587,86.6667,0.0,0.71
10,300.0,225.0,36.644,0.012,36.632,0.0,Idle,36.632,75.0,0.0,0.14
11,300.0,250.0,42.512,0.0,42.512,-0.0,Idle,42.512,50.0,0.0,0.14
12,300.0,275.0,46.514,0.012,46.502,0.0,Idle,46.502,25.0,0.0,0.14
13,300.0,300.0,45.304,0.324,44.98,0.0,Idle,44.98,-0.0,0.0,0.14
14,300.0,325.0,47.144,3.512,43.632,0.0,Idle,43.632,-25.0,0.0,0.14
15,300.0,350.0,48.242,9.32,38.922,-0.0,Idle,38.922,-50.0,0.0,0.14
16,300.0,375.0,47.072,17.264,29.808,0.0,Idle,29.808,-75.0,0.0,0.14
17,300.0,400.0,49.756,26.836,22.92,-10.0,Charge,32.92,-90.0,0.4902,0.19
18,300.0,425.0,56.742,35.87,20.872,-35.0,Charge,55.872,-90.0,2.2059,0.8
19,300.0,450.0,52.412,46.048,6.364,-60.0,Charge,66.364,-90.0,5.1471,2.64
20,300.0,475.0,53.512,59.616,-6.104,-85.0,Charge,78.896,-90.0,9.3137,5.7
21,300.0,500.0,54.998,70.178,-15.18,-110.0,Charge,94.82,-90.0,14.7059,9.99
22,300.0,525.0,60.802,85.684,-24.882,-135.0,Charge,110.118,-90.0,21.3235,15.51
23,300.0,550.0,57.856,94.466,-36.61,-160.0,Charge,123.39,-90.0,29.1667,22.25
24,300.0,575.0,60.714,100.496,-39.782,-185.0,Charge,145.218,-90.0,38.2353,30.21
25,300.0,600.0,65.298,110.726,-45.428,-210.0,Charge,164.572,-90.0,48.5294,39.41
26,300.0,575.0,68.302,114.912,-46.61,-185.0,Charge,138.39,-90.0,57.598,49.58
27,300.0,550.0,66.218,115.398,-49.18,-160.0,Charge,110.82,-90.0,65.4412,58.52
28,300.0,525.0,71.34,120.906,-49.566,-135.0,Charge,85.434,-90.0,72.0588,66.25
29,300.0,500.0,73.608,121.092,-47.484,-110.0,Charge,62.516,-90.0,77.451,72.74
30,300.0,475.0,73.3,116.338,-43.038,-85.0,Charge,41.962,-90.0,81.6176,78.01
31,300.0,450.0,79.654,108.952,-29.298,-60.0,Charge,30.702,-90.0,84.5588,82.05
32,300.0,425.0,87.28,99.974,-12.694,-35.0,Charge,22.306,-90.0,86.2745,84.87
33,300.0,400.0,88.974,85.626,3.348,-10.0,Charge,13.348,-90.0,86.7647,86.47
34,300.0,375.0,91.22,71.08,20.14,15.0,Discharge,5.14,-90.0,86.0294,86.83
35,300.0,350.0,96.882,57.722,39.16,40.0,Discharge,-0.84,-90.0,84.0686,85.98
36,300.0,325.0,109.798,42.846,66.952,65.0,Discharge,1.952,-90.0,80.8824,83.89
37,300.0,300.0,110.95,26.944,84.006,90.0,Discharge,-5.994,-90.0,76.4706,80.58
38,300.0,275.0,101.054,12.92,88.134,115.0,Discharge,-26.866,-90.0,70.8333,76.05
39,0.0,250.0,88.364,4.61,83.754,-160.0,Charge,243.754,-90.0,78.6765,71.76
40,0.0,225.0,85.14,0.808,84.332,-135.0,Charge,219.332,-90.0,85.2941,79.48
41,0.0,200.0,95.846,0.012,95.834,-110.0,Charge,205.834,-90.0,90.6863,85.98
42,0.0,175.0,106.914,0.024,106.89,-85.0,Charge,191.89,-90.0,94.8529,91.25
43,0.0,150.0,100.72,0.024,100.696,-60.0,Charge,160.696,-90.0,97.7941,95.29
44,0.0,125.0,111.68,0.0,111.68,-35.0,Charge,146.68,-90.0,99.5098,98.11
45,0.0,100.0,104.822,0.002,104.82,-10.0,Charge,114.82,-90.0,100.0,99.7
46,0.0,75.0,82.278,0.05,82.228,0.0,Idle,82.228,-75.0,100.0,100.0
47,700.0,50.0,69.702,0.012,69.69,510.0,Discharge,-440.31,140.0,75.0,97.49
48,700.0,25.0,58.92,0.012,58.908,510.0,Discharge,-451.092,165.0,50.0,72.49
49,700.0,0.0,52.356,0.024,52.332,510.0,Discharge,-457.668,190.0,25.0,47.2
50,0.0,25.0,48.228,0.0,48.228,67.8125,Discharge,-19.5845,-92.8125,21.6759,24.36
51,0.0,50.0,40.82,0.012,40.808,42.8125,Discharge,-2.0045,-92.8125,19.5772,21.15
52,0.0,75.0,39.656,0.012,39.644,17.8125,Discharge,21.8315,-92.8125,18.704,19.16
53,0.0,100.0,38.952,0.036,38.916,-7.1875,Charge,46.1035,-92.8125,19.0564,18.4
54,0.0,125.0,38.04,0.0,38.04,-32.1875,Charge,70.2275,-92.8125,20.6342,18.87
55,0.0,150.0,37.696,0.0,37.696,-57.1875,Charge,94.8835,-92.8125,23.4375,20.56
56,0.0,175.0,38.332,0.012,38.32,-82.1875,Charge,120.5075,-92.8125,27.4663,23.48
57,0.0,200.0,39.672,0.012,39.66,-107.1875,Charge,146.8475,-92.8125,32.7206,27.62
58,0.0,225.0,37.782,0.024,37.758,-132.1875,Charge,169.9455,-92.8125,39.2004,32.99
59,300.0,250.0,39.956,0.024,39.932,142.8125,Discharge,-102.8805,-92.8125,32.1998,38.11
60,300.0,275.0,45.702,0.024,45.678,117.8125,Discharge,-72.1345,-92.8125,26.4246,31.22
61,300.0,300.0,49.374,0.602,48.772,92.8125,Discharge,-44.0405,-92.8125,21.875,25.56
62,300.0,325.0,52.26,4.052,48.208,67.8125,Discharge,-19.6045,-92.8125,18.5509,21.12
63,300.0,350.0,55.674,11.47,44.204,42.8125,Discharge,1.3915,-92.8125,16.4522,17.91
64,300.0,375.0,58.14,21.582,36.558,17.8125,Discharge,18.7455,-92.8125,15.579,15.93
65,300.0,400.0,64.788,31.906,32.882,-7.1875,Charge,40.0695,-92.8125,15.9314,15.17
66,300.0,425.0,67.456,42.654,24.802,-32.1875,Charge,56.9895,-92.8125,17.5092,15.63
67,300.0,450.0,70.248,56.946,13.302,-57.1875,Charge,70.4895,-92.8125,20.3125,17.33
68,300.0,475.0,79.892,70.44,9.452,-82.1875,Charge,91.6395,-92.8125,24.3413,20.24
69,300.0,500.0,111.054,77.928,33.126,-107.1875,Charge,140.3135,-92.8125,29.5956,24.39
70,300.0,525.0,117.822,83.854,33.968,-132.1875,Charge,166.1555,-92.8125,36.0754,29.75
71,300.0,550.0,135.28,92.4,42.88,-157.1875,Charge,200.0675,-92.8125,43.7806,36.35
72,300.0,575.0,140.456,105.99,34.466,-182.1875,Charge,216.6535,-92.8125,52.7114,44.17
73,300.0,600.0,161.566,116.666,44.9,-207.1875,Charge,252.0875,-92.8125,62.8676,53.21
74,300.0,575.0,175.42,118.9,56.52,-182.1875,Charge,238.7075,-92.8125,71.7984,63.23
75,300.0,550.0,182.322,123.218,59.104,-157.1875,Charge,216.2915,-92.8125,79.5037,72.03
76,300.0,525.0,188.338,120.838,67.5,-132.1875,Charge,199.6875,-92.8125,85.9835,79.61
77,300.0,500.0,188.414,107.988,80.426,-107.1875,Charge,187.6135,-92.8125,91.2377,85.96
78,300.0,475.0,192.822,96.568,96.254,-82.1875,Charge,178.4415,-92.8125,95.2665,91.08
79,300.0,450.0,199.29,89.876,109.414,-57.1875,Charge,166.6015,-92.8125,98.0699,94.98
80,300.0,425.0,207.96,86.9,121.06,-32.1875,Charge,153.2475,-92.8125,99.6477,97.65
