Node,Phase,StartTime,EndTime
611,C,07-Jan-0013 20:52:30,07-Jan-0013 23:41:15
611,C,09-Jan-0013 19:37:30,09-Jan-0013 20:03:45
611,C,09-Jan-0013 20:37:30,09-Jan-0013 22:03:45
611,C,09-Jan-0013 22:37:30,09-Jan-0013 23:33:45
611,C,10-Jan-0013 19:07:30,10-Jan-0013 20:03:45
611,C,10-Jan-0013 20:37:30,10-Jan-0013 21:33:45
611,C,11-Jan-0013 19:30:00,11-Jan-0013 23:26:15
634,A,07-Jan-0013 18:52:30,07-Jan-0013 22:15:00
634,A,07-Jan-0013 23:15:00,07-Jan-0013 23:41:15
634,A,09-Jan-0013 18:45:00,09-Jan-0013 19:33:45
634,A,10-Jan-0013 18:37:30,10-Jan-0013 19:03:45
634,A,10-Jan-0013 20:37:30,10-Jan-0013 21:03:45
634,A,11-Jan-0013 18:00:00,11-Jan-0013 18:26:15
634,A,11-Jan-0013 19:30:00,11-Jan-0013 19:56:15
634,A,11-Jan-0013 21:30:00,11-Jan-0013 21:56:15
634,B,07-Jan-0013 18:22:30,07-Jan-0013 19:18:45
634,B,07-Jan-0013 22:45:00,07-Jan-0013 23:11:15
634,C,07-Jan-0013 17:52:30,07-Jan-0013 18:48:45
634,C,07-Jan-0013 19:52:30,07-Jan-0013 20:18:45
634,C,07-Jan-0013 20:52:30,07-Jan-0013 21:18:45
634,C,07-Jan-0013 23:15:00,07-Jan-0013 23:41:15
634,C,08-Jan-0013 15:45:00,08-Jan-0013 16:41:15
634,C,09-Jan-0013 17:45:00,09-Jan-0013 19:33:45
634,C,09-Jan-0013 21:37:30,09-Jan-0013 23:03:45
634,C,10-Jan-0013 23:07:30,10-Jan-0013 23:33:45
634,C,11-Jan-0013 17:30:00,11-Jan-0013 20:26:15
634,C,11-Jan-0013 22:00:00,11-Jan-0013 23:26:15
645,B,10-Jan-0013 17:37:30,10-Jan-0013 19:33:45
645,B,10-Jan-0013 20:07:30,10-Jan-0013 20:33:45
646,B,07-Jan-0013 18:22:30,07-Jan-0013 19:48:45
646,B,07-Jan-0013 21:22:30,07-Jan-0013 23:41:15
646,B,11-Jan-0013 21:00:00,11-Jan-0013 23:26:15
652,A,07-Jan-0013 17:52:30,07-Jan-0013 18:18:45
652,A,07-Jan-0013 18:52:30,07-Jan-0013 20:48:45
652,A,11-Jan-0013 17:30:00,11-Jan-0013 18:56:15
692,C,07-Jan-0013 18:22:30,07-Jan-0013 18:48:45
692,C,07-Jan-0013 19:22:30,07-Jan-0013 23:41:15
692,C,09-Jan-0013 17:45:00,09-Jan-0013 21:33:45
692,C,09-Jan-0013 22:37:30,09-Jan-0013 23:33:45
692,C,10-Jan-0013 17:37:30,10-Jan-0013 20:33:45
692,C,10-Jan-0013 23:07:30,10-Jan-0013 23:33:45
692,C,11-Jan-0013 17:30:00,11-Jan-0013 21:26:15
692,C,11-Jan-0013 22:00:00,11-Jan-0013 23:26:15
671,A,07-Jan-0013 23:15:00,07-Jan-0013 23:41:15
675,B,07-Jan-0013 17:52:30,07-Jan-0013 20:18:45
675,B,07-Jan-0013 22:18:45,07-Jan-0013 23:41:15
671,B,09-Jan-0013 17:45:00,09-Jan-0013 18:11:15
671,B,09-Jan-0013 22:37:30,09-Jan-0013 23:03:45
671,B,10-Jan-0013 17:37:30,10-Jan-0013 18:03:45
671,B,11-Jan-0013 17:30:00,11-Jan-0013 18:26:15
675,A,10-Jan-0013 17:37:30,10-Jan-0013 18:03:45
675,C,07-Jan-0013 17:52:30,07-Jan-0013 18:48:45
675,C,09-Jan-0013 22:37:30,09-Jan-0013 23:03:45
675,C,10-Jan-0013 22:37:30,10-Jan-0013 23:33:45
675,C,11-Jan-0013 17:30:00,11-Jan-0013 18:26:15
