Time,Node 645.V2_rms,Node 646.V2_rms,Node 671.V1_rms,Node 671.V2_rms,Node 671.V3_rms,Node 692.V3_rms,Node 611.V3_rms,UpperBound,LowerBound
0.0,2447.49609375,2443.5244140625,2167.5849609375,2360.9228515625,2343.742431640625,2343.742431640625,2336.149658203125,2522.0,2282.0
1.0,2447.496826171875,2443.525146484375,2167.59716796875,2360.927490234375,2343.740478515625,2343.740478515625,2336.148681640625,2522.0,2282.0
2.0,2447.496826171875,2443.525146484375,2167.59765625,2360.9267578125,2343.740478515625,2343.740478515625,2336.148681640625,2522.0,2282.0
3.0,2447.496826171875,2443.525146484375,2167.597900390625,2360.927001953125,2343.74072265625,2343.74072265625,2336.14892578125,2522.0,2282.0
4.0,2448.8193359375,2444.845703125,2167.59765625,2360.927490234375,2343.74072265625,2343.74072265625,2336.14892578125,2522.0,2282.0
5.0,2447.496826171875,2443.525146484375,2167.597412109375,2362.2021484375,2343.74072265625,2343.74072265625,2336.14892578125,2522.0,2282.0
6.0,2448.8193359375,2444.845703125,2167.597412109375,2360.927734375,2343.74072265625,2343.74072265625,2336.14892578125,2522.0,2282.0
7.0,2447.496826171875,2443.525146484375,2167.597900390625,2360.9267578125,2343.740478515625,2343.740478515625,2336.148681640625,2522.0,2282.0
8.0,2447.496826171875,2443.525146484375,2167.597900390625,2360.92724609375,2343.74072265625,2343.74072265625,2336.14892578125,2522.0,2282.0
9.0,2447.496826171875,2443.525146484375,2168.769287109375,2360.92724609375,2343.74072265625,2343.74072265625,2336.148681640625,2522.0,2282.0
10.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
11.0,2462.223388671875,2462.223388671875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
12.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
13.0,2460.8935546875,2460.8935546875,2463.7138671875,2457.900390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
14.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
15.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
16.0,2460.8935546875,2460.8935546875,2465.045166015625,2456.572998046875,2453.611328125,2453.611328125,2454.937255859375,2522.0,2282.0
17.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
18.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
19.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
20.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
21.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
22.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
23.0,2460.8935546875,2460.8935546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2454.937255859375,2522.0,2282.0
24.0,2462.836669921875,2464.00732421875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
25.0,2462.8369140625,2464.00732421875,2465.045166015625,2456.572998046875,2453.611328125,2453.611328125,2454.937255859375,2522.0,2282.0
26.0,2463.712890625,2463.279541015625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
27.0,2462.38232421875,2463.27978515625,2463.7138671875,2456.572998046875,2454.937255859375,2454.937255859375,2453.611328125,2522.0,2282.0
28.0,2461.92724609375,2463.882080078125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
29.0,2461.92724609375,2462.55126953125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
30.0,2461.320556640625,2461.579833984375,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
31.0,2461.3203125,2461.57958984375,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
32.0,2460.973388671875,2461.024169921875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
33.0,2460.974609375,2461.026123046875,2463.7138671875,2457.900390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
34.0,2460.408935546875,2460.12060546875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
35.0,2459.866455078125,2459.252197265625,2463.7138671875,2457.900390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
36.0,2459.86572265625,2459.251220703125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
37.0,2459.279541015625,2459.64111328125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
38.0,2459.278564453125,2458.3115234375,2465.045166015625,2456.572998046875,2454.937255859375,2454.937255859375,2453.611328125,2522.0,2282.0
39.0,2459.27880859375,2458.3115234375,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
40.0,2458.75634765625,2457.475341796875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
41.0,2458.473876953125,2457.023193359375,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
42.0,2458.47314453125,2457.02197265625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
43.0,2458.3427734375,2456.8134765625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
44.0,2458.342529296875,2456.81298828125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
45.0,2458.25537109375,2456.67333984375,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
46.0,2458.255126953125,2458.0009765625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
47.0,2458.298828125,2456.7431640625,2465.045166015625,2456.57275390625,2454.937255859375,2454.937255859375,2453.611328125,2522.0,2282.0
48.0,2458.298828125,2456.742919921875,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
49.0,2458.34228515625,2456.812744140625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
50.0,2458.342529296875,2456.81298828125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
51.0,2458.4296875,2456.952392578125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
52.0,2458.429443359375,2456.952392578125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
53.0,2458.625732421875,2457.26611328125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
54.0,2458.62548828125,2457.26611328125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
55.0,2459.888671875,2457.161376953125,2463.7138671875,2457.900390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
56.0,2458.560302734375,2457.16162109375,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
57.0,2458.05908203125,2457.686767578125,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
58.0,2458.05908203125,2456.359375,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
59.0,2457.841064453125,2456.010498046875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
60.0,2457.8427734375,2456.01318359375,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
61.0,2457.5576171875,2455.556640625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
62.0,2457.5576171875,2455.556884765625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
63.0,2457.20849609375,2454.998046875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
64.0,2457.20849609375,2454.998046875,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
65.0,2456.880859375,2454.473876953125,2463.7138671875,2456.57275390625,2453.611328125,2453.611328125,2454.937255859375,2522.0,2282.0
66.0,2456.880859375,2455.800048828125,2463.7138671875,2457.900390625,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
67.0,2456.5751953125,2453.984375,2463.7138671875,2456.57275390625,2454.937255859375,2454.937255859375,2453.611328125,2522.0,2282.0
68.0,2456.5751953125,2453.984375,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
69.0,2456.0966796875,2453.218994140625,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
70.0,2456.09423828125,2453.21484375,2463.7138671875,2456.572998046875,2453.611328125,2453.611328125,2453.611328125,2522.0,2282.0
