Node,Phase,Type,StartSimHour,EndSimHour,StartWhen,EndWhen
652,A,UNDER,0,2.625,Day 1 00:00,Day 1 02:38
652,A,UNDER,25.8125,34.6875,Day 2 01:49,Day 2 10:41
652,A,UNDER,47.75,55.6875,Day 2 23:45,Day 3 07:41
671,A,UNDER,0,2.625,Day 1 00:00,Day 1 02:38
671,A,UNDER,25.8125,34.6875,Day 2 01:49,Day 2 10:41
671,A,UNDER,47.75,55.1875,Day 2 23:45,Day 3 07:11
675,A,UNDER,0,2.625,Day 1 00:00,Day 1 02:38
675,A,UNDER,25.8125,34.6875,Day 2 01:49,Day 2 10:41
675,A,UNDER,47.75,55.6875,Day 2 23:45,Day 3 07:41
680,A,UNDER,0,2.625,Day 1 00:00,Day 1 02:38
680,A,UNDER,25.8125,34.6875,Day 2 01:49,Day 2 10:41
680,A,UNDER,47.75,55.1875,Day 2 23:45,Day 3 07:11
684,A,UNDER,0,2.625,Day 1 00:00,Day 1 02:38
684,A,UNDER,25.8125,34.6875,Day 2 01:49,Day 2 10:41
684,A,UNDER,47.75,55.1875,Day 2 23:45,Day 3 07:11
692,A,UNDER,0,2.625,Day 1 00:00,Day 1 02:38
692,A,UNDER,25.8125,34.6875,Day 2 01:49,Day 2 10:41
692,A,UNDER,47.75,55.1875,Day 2 23:45,Day 3 07:11
