step,day,k,p_load_fc_kw,p_pv_fc_kw,p_load_total_actual_kw,p_pv_total_actual_kw,baseline_grid_kw,battery_agg_kw,battery_action,grid_kw,grid_forecast_kw,soc_predicted_pct,soc_measured_646_pct,mpc_status
1,1,1,770.334,0.128,770.334,0.128,770.206,547.9993,Discharge,222.2067,222.2067,47.9399,49.79,optimal
2,1,2,727.572,0.104,727.572,0.104,727.468,486.2824,Discharge,241.1856,241.1856,46.1117,47.76,optimal
3,1,3,628.524,0.144,628.524,0.144,628.38,371.4731,Discharge,256.9069,256.9069,44.7152,45.98,optimal
4,1,4,587.784,0.212,587.784,0.212,587.572,318.4647,Discharge,269.1073,269.1073,43.518,44.63,optimal
5,1,5,548.304,0.108,548.304,0.108,548.196,268.7801,Discharge,279.4159,279.4159,42.5075,43.47,optimal
6,1,6,546.074,0.058,546.074,0.058,546.016,255.7411,Discharge,290.2749,290.2749,41.5461,42.45,optimal
7,1,7,536.482,0.2,536.482,0.2,536.282,236.4959,Discharge,299.7861,299.7861,40.657,41.47,optimal
8,1,8,531.554,0.048,531.554,0.048,531.506,221.9587,Discharge,309.5473,309.5473,39.8226,40.6,optimal
9,1,9,529.484,0.3,529.484,0.3,529.184,210.4727,Discharge,318.7113,318.7113,39.0313,39.77,optimal
10,1,10,525.65,0.116,525.65,0.116,525.534,197.8689,Discharge,327.6651,327.6651,38.2875,38.99,optimal
11,1,11,564.876,0.07,564.876,0.07,564.806,228.91,Discharge,335.896,335.896,37.4269,38.24,optimal
12,1,12,582.84,0.108,582.84,0.108,582.732,238.9001,Discharge,343.8319,343.8319,36.5288,37.36,optimal
13,1,13,585.75,5.42,585.75,5.42,580.33,227.8646,Discharge,352.4654,352.4654,35.6721,36.48,optimal
14,1,14,638.194,49.568,638.194,49.568,588.626,227.5351,Discharge,361.0909,361.0909,34.8167,35.65,optimal
15,1,15,665.806,127.012,665.806,127.012,538.794,354.1827,Discharge,184.6113,184.6113,33.4852,34.76,optimal
16,1,16,636.794,237.926,636.794,237.926,398.868,208.4316,Discharge,190.4364,190.4364,32.7017,33.5,optimal
17,1,17,676.108,366.944,676.108,366.944,309.164,114.5104,Discharge,194.6536,194.6536,32.2712,32.75,optimal
18,1,18,729.828,505.332,729.828,505.332,224.496,26.5552,Discharge,197.9408,197.9408,32.1713,32.34,optimal
19,1,19,680.404,658.94,680.404,658.94,21.464,-177.5011,Charge,198.9651,198.9651,32.8386,32.32,optimal
20,1,20,682.818,829.604,682.818,829.604,-146.786,-345.7511,Charge,198.9651,198.9651,34.1384,33.07,optimal
21,1,21,710.68,970.704,710.68,970.704,-260.024,-458.9891,Charge,198.9651,198.9651,35.864,34.43,optimal
22,1,22,757.052,1171.376,757.052,1171.376,-414.324,-613.2891,Charge,198.9651,198.9651,38.1696,36.21,optimal
23,1,23,721.462,1275.472,721.462,1275.472,-554.01,-752.9751,Charge,198.9651,198.9651,41.0003,38.56,optimal
24,1,24,763.036,1318.254,763.036,1318.254,-555.218,-754.1831,Charge,198.9651,198.9651,43.8356,41.41,optimal
25,1,25,817.948,1394.428,817.948,1394.428,-576.48,-775.4451,Charge,198.9651,198.9651,46.7508,44.25,optimal
26,1,26,850.872,1450.29,850.872,1450.29,-599.418,-798.3831,Charge,198.9651,198.9651,49.7522,47.16,optimal
27,1,27,832.132,1468.562,832.132,1468.562,-636.43,-838.6067,Charge,202.1767,202.1767,52.9049,50.16,optimal
28,1,28,867.434,1539.744,867.434,1539.744,-672.31,-879.6308,Charge,207.3208,207.3208,56.2118,53.31,optimal
