Time,Node 632.Probe1
0.0,1712252.125
1.0,1617459.125
2.0,1607780.875
3.0,1553033.5
4.0,1544940.375
5.0,1546028.875
6.0,1692136.5
7.0,1731631.5
8.0,1550361.5
9.0,1617956.375
10.0,199012.90625
11.0,219488.359375
12.0,230553.640625
13.0,207657.15625
14.0,224963.015625
15.0,221140.5
16.0,185138.328125
17.0,180844.90625
18.0,201653.375
19.0,194175.53125
20.0,231756.40625
21.0,211748.75
22.0,146933.734375
23.0,264224.71875
24.0,219442.453125
25.0,106723.234375
26.0,117742.03125
27.0,97579.1484375
28.0,138252.125
29.0,122079.4375
30.0,-14670.541015625
31.0,35129.6875
32.0,3372.109375
33.0,120396.09375
34.0,121443.8984375
35.0,116063.4453125
36.0,72334.390625
37.0,43371.5703125
38.0,60024.03125
39.0,-37556.92578125
40.0,-3966.526123046875
41.0,129460.0234375
42.0,113556.4765625
43.0,150442.046875
44.0,137134.78125
45.0,157159.21875
46.0,5190.0751953125
47.0,101438.3046875
48.0,79095.9375
49.0,-31091.65234375
50.0,88159.2109375
51.0,-155088.828125
52.0,-28347.470703125
53.0,-154271.0
54.0,-120741.0546875
55.0,-256660.546875
56.0,-405738.46875
57.0,-420567.875
58.0,-354496.53125
59.0,-418130.40625
60.0,-565931.0
61.0,-630278.0625
62.0,-484685.1875
63.0,-584707.625
64.0,-703731.3125
65.0,-852169.5625
66.0,-867659.9375
67.0,-852564.0625
68.0,-789296.6875
69.0,-686648.625
70.0,-896514.8125
71.0,-857127.6875
72.0,-721863.0
73.0,-913174.75
74.0,-809958.8125
75.0,-949100.0
76.0,-747252.125
77.0,-801954.625
78.0,-635100.4375
79.0,-660920.5625
80.0,-573649.875
81.0,-577390.25
82.0,-509795.15625
83.0,-323348.21875
84.0,-228974.671875
85.0,-417149.53125
86.0,-262645.25
87.0,-203121.75
88.0,-12633.0859375
89.0,-47822.09375
90.0,269865.34375
91.0,263358.53125
92.0,472281.875
93.0,541279.4375
94.0,544335.75
95.0,670157.5625
96.0,581841.875
97.0,646172.8125
98.0,641154.375
99.0,620185.875
100.0,533323.4375
101.0,559941.6875
102.0,644281.75
103.0,687816.4375
104.0,634046.6875
105.0,640230.25
106.0,556179.25
107.0,652258.0625
108.0,673471.8125
109.0,676882.375
110.0,551283.5
111.0,558682.9375
112.0,304152.90625
113.0,385040.46875
114.0,290498.15625
115.0,421010.75
116.0,379691.96875
117.0,292053.40625
118.0,303162.0625
119.0,152545.53125
120.0,137350.859375
121.0,284728.53125
122.0,137216.96875
123.0,131090.90625
124.0,100394.4296875
125.0,140631.15625
126.0,238637.546875
127.0,56394.1171875
128.0,218323.8125
129.0,273317.875
130.0,199339.65625
131.0,260758.546875
132.0,174141.578125
133.0,118992.453125
134.0,126777.890625
135.0,68096.8515625
136.0,183245.625
137.0,72767.625
138.0,72664.5546875
139.0,250939.625
140.0,181272.25
141.0,261842.34375
142.0,274603.8125
143.0,92603.9296875
144.0,143349.0625
145.0,139959.953125
146.0,-61653.98828125
147.0,917.8590087890625
148.0,-69475.8125
149.0,39163.1640625
150.0,-104524.1953125
151.0,-159894.078125
152.0,-177931.25
153.0,-209968.109375
154.0,-322284.0625
155.0,-419244.34375
156.0,-290684.875
157.0,-295102.1875
158.0,-109378.8984375
159.0,-242612.65625
160.0,-235342.609375
161.0,-210564.0625
162.0,-179931.625
163.0,-117794.6015625
164.0,-11712.513671875
165.0,-44782.4453125
166.0,-86003.7421875
167.0,-34015.1171875
168.0,16199.2958984375
169.0,98281.40625
170.0,280672.34375
171.0,148101.703125
172.0,363132.78125
173.0,325006.28125
174.0,552245.625
175.0,533473.9375
176.0,697763.6875
177.0,670283.5
178.0,826405.4375
179.0,751377.5625
180.0,984150.875
181.0,963483.9375
182.0,1190978.125
